Title,Artist,Year,Country,Thumbnail
b'Forladt. Dog ej af venner i n\xc3\xb8den',b'Frants Henningsen',b'1888',b'DK',https://az333959.vo.msecnd.net/images-3/untitled-frants-henningsen-efde299d.jpg
b'Pr\xc3\xa6sentation for en kender',b'Julius Exner',b'1887',b'DK',https://az333960.vo.msecnd.net/images-0/untitled-julius-exner-62794e7b.jpg
b'Portr\xc3\xa6t af J.F. Willumsen',b'Johannes Wilhjelm',b'1930',b'DK',https://az333960.vo.msecnd.net/images-7/untitled-johannes-wilhjelm-68307eb2.jpg
b'The Dream Window in the Old Liselund Castle',b'Georg Achen',b'Castle',,https://az334034.vo.msecnd.net/images-7/the-dream-window-in-the-old-liselund-castle-georg-achen-c9db2b73.jpg
b'Untitled',b'Christian Blache',b'Untitled',,https://az334034.vo.msecnd.net/images-2/untitled-christian-blache-dd02aff2.jpg
b"Adrastos slays himself on Atys' tomb",b'Nicolai Abildgaard',b'1776',b'DK',https://az334034.vo.msecnd.net/images-4/adrastos-slays-himself-on-atys-tomb-nicolai-abildgaard-1776-b317ab8b.jpg
b'Untitled',b'Poul Simon Christiansen',b'Untitled',,https://az334034.vo.msecnd.net/images-1/untitled-poul-simon-christiansen-ec44e10d.jpg
b'The Shore at Moesg\xc3\xa5rd',b'Janus la Cour',b'1890',,https://az334033.vo.msecnd.net/images-5/the-shore-at-moesgard-janus-la-cour-1890-2d2fc7ff.jpg
b'A Funeral. Motif from Northern Zealand',b'J\xc3\xb8rgen Sonne',b'1859',b'DK',https://az334034.vo.msecnd.net/images-4/untitled-jorgen-sonne-03eba2c7.jpg
b'Emigrants at Larsens Square',b'Edvard Petersen',b'1890',,https://az333959.vo.msecnd.net/images-0/untitled-edvard-petersen-78f5232f.jpg
b'A Loggia from Procida',b'Martinus R\xc3\xb8rbye',b'Procida',b'DK',https://az333959.vo.msecnd.net/images-6/a-loggia-from-procida-martinus-rorbye-59070dc6.jpg
|b'Br\xc3\xb8ndgade, Sankt J\xc3\xb8rgensbjerg'|,b'Laurits Andersen Ring',b'1927',b'DK',https://az334033.vo.msecnd.net/images-8/untitled-laurits-andersen-ring-8-bd06a098.jpg
b"Well on St Sophie's Square near the Gate of the Seraglio...",b'Martinus R\xc3\xb8rbye',b'Seraglio...',b'DK',https://az333959.vo.msecnd.net/images-8/well-on-st-sophie-s-square-near-the-gate-of-the-seraglio-in-constantinople-martinus-rorbye-adfd855c.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'Untitled',b'DK',https://az333959.vo.msecnd.net/images-0/untitled-peder-severin-kroyer-10-87498ca5.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az333960.vo.msecnd.net/images-9/untitled-laurits-andersen-ring-36-b911f682.jpg
b'Untitled',b'Peter Holm',b'Untitled',,https://az333959.vo.msecnd.net/images-1/untitled-peter-holm-80d57456.jpg
b'Winterlandscape with Brabrand Church',b'Christian David Gebauer',b'1831',,https://az333960.vo.msecnd.net/images-5/winterlandscape-with-brabrand-church-christian-david-gebauer-1831-0333660a.jpg
b'From the Old Colosseum',b'Valdemar Irminger',b'1888',,https://az333960.vo.msecnd.net/images-9/from-the-old-colosseum-valdemar-irminger-1888-15468eb9.jpg
