Title,Artist,Year,Country,Thumbnail
b'The Last Judgment',b'Hieronymus Bosch',b'1482',b'NL',https://az333960.vo.msecnd.net/images-9/the-last-judgment-hieronymus-bosch-1482-2f276e72.jpg
b'The Judgment of Paris',b'Peter Paul Rubens',b'1606',b'NL',https://az334033.vo.msecnd.net/images-8/the-judgment-of-paris-peter-paul-rubens-1606-1-d7e04895.jpg
b'Boreas Abducting Oreithyia',b'Peter Paul Rubens',b'1620',b'NL',https://az333960.vo.msecnd.net/images-4/boreas-abducting-oreithyia-peter-paul-rubens-1620-927c312c.jpg
b'Abundant Still Life with a Parrot',b'Jan Davidsz. de Heem',b'Parrot',b'NL',https://az333960.vo.msecnd.net/images-9/abundant-still-life-with-a-parrot-jan-davidsz-de-heem-55f5196c.jpg
b"The Artist's Studio",b'Pierre Subleyras',b'1740',,https://az333960.vo.msecnd.net/images-5/the-artist-s-studio-pierre-subleyras-1740-8cae3a4d.jpg
b'Group portrait of an unknown family or company',b'Pieter de Hooch',b'company',b'NL',https://az333960.vo.msecnd.net/images-8/group-portrait-of-an-unknown-family-or-company-pieter-de-hooch-996d2bf2.jpg
b'Dune landscape',b'Adriaen Brouwer',b'landscape',,https://az334034.vo.msecnd.net/images-3/dune-landscape-adriaen-brouwer-5057ea6c.jpg
b'Reading a Jest in the Village Inn',b'Adriaen van Ostade',b'1630',b'NL',https://az333960.vo.msecnd.net/images-3/reading-a-jest-in-the-village-inn-adriaen-van-ostade-1630-183ff643.jpg
b'The Solo',b'Dirck Hals',b'1630',b'NL',https://az333959.vo.msecnd.net/images-3/the-solo-dirck-hals-1630-a032764a.jpg
b'Flowerpiece with prunes',b'Rachel Ruysch',b'prunes',b'NL',https://az333959.vo.msecnd.net/images-4/flowerpiece-with-prunes-rachel-ruysch-48493eac.jpg
|b'Still Life with Globe, Books, Sculpture, and Other Objects'|,b'Jan van der Heyden',b'Objects',b'NL',https://az333960.vo.msecnd.net/images-0/still-life-with-globe-books-sculpture-and-other-objects-jan-van-der-heyden-7da89d47.jpg
b'The Drunken Satyr',b'Peter Paul Rubens',b'Satyr',b'NL',https://az334033.vo.msecnd.net/images-6/the-drunken-satyr-peter-paul-rubens-92f57932.jpg
b'Untitled',b'Cornelis Pietersz Bega',b'1658',,https://az333959.vo.msecnd.net/images-3/untitled-cornelis-pietersz-bega-1658-064ef792.jpg
b'River Bank with Herdsmen',b'Jan Asselijn',b'1650',b'NL',https://az334034.vo.msecnd.net/images-3/river-bank-with-herdsmen-jan-asselijn-1650-c66d5785.jpg
b'Entrance to a Wood',b'Jacob van Ruisdael',b'Wood',b'NL',https://az333959.vo.msecnd.net/images-0/entrance-to-a-wood-jacob-van-ruisdael-1c1e8863.jpg
b"Witch's Initiation",b'David Teniers the Younger',b'1648',b'NL',https://az334034.vo.msecnd.net/images-9/witch-s-initiation-david-teniers-the-younger-1648-9780ee00.jpg
b'Horseman in front of an Inn',b'Gerard ter Borch',b'1645',,https://az334034.vo.msecnd.net/images-6/horseman-in-front-of-an-inn-gerard-ter-borch-1645-966c4a8c.jpg
b'Hilly Landscape with Herders',b'Nicolaes Pieterszoon Berchem',b'1665',,https://az333960.vo.msecnd.net/images-1/hilly-landscape-with-herders-nicolaes-pieterszoon-berchem-1665-9dd1c0b5.jpg
