Title,Artist,Year,Country,Thumbnail
b"Portrait of Giuliano de' Medici",b'Sandro Botticelli',b'1478',b'IT',https://az333959.vo.msecnd.net/images-1/portrait-of-giuliano-de-medici-sandro-botticelli-1478-c480e90e.jpg
b'The Story of Virginia',b'Sandro Botticelli',b'1498',b'IT',https://az334034.vo.msecnd.net/images-6/the-story-of-virginia-sandro-botticelli-1498-e3c4ccf3.jpg
b'Alzano Madonna',b'Giovanni Bellini',b'1485',b'IT',https://az334034.vo.msecnd.net/images-6/alzano-madonna-giovanni-bellini-1485-6df28bce.jpg
b'Portrait of Lucina Brembati',b'Lorenzo Lotto',b'1518',b'IT',https://az333960.vo.msecnd.net/images-3/portrait-of-lucina-brembati-lorenzo-lotto-1518-90e87bde.jpg
b'Crucifixion',b'Vincenzo Foppa',b'1456',,https://az334034.vo.msecnd.net/images-7/crucifixion-vincenzo-foppa-1456-004c2973.jpg
b'Saint Jerome penitent',b'Vincenzo Foppa',b'1460',,https://az333959.vo.msecnd.net/images-2/saint-jerome-penitent-vincenzo-foppa-1460-c2a5dc23.jpg
b'Untitled',b'Titian',b'1508',b'IT',https://az333959.vo.msecnd.net/images-9/untitled-titian-1508-1-519b125e.jpg
b'Untitled',b'Lorenzo Lotto',b'1523',b'IT',https://az334033.vo.msecnd.net/images-1/untitled-lorenzo-lotto-1523-1-9e872985.jpg
b'Untitled',b'Carlo Crivelli',b'1475',,https://az334034.vo.msecnd.net/images-8/untitled-carlo-crivelli-1475-eb33a5f8.jpg
b'St. Sebastian',b'Raphael',b'1501',b'IT',https://az333960.vo.msecnd.net/images-5/st-sebastian-raphael-1501-bc620f83.jpg
b'Fantasy Arch with Human Figures',b'Francesco Guardi',b'1770',b'IT',https://az334034.vo.msecnd.net/images-2/fantasy-arch-with-human-figures-francesco-guardi-1770-003408c6.jpg
b'Untitled',b'Andrea Mantegna',b'1490',b'IT',https://az334033.vo.msecnd.net/images-8/untitled-andrea-mantegna-1490-1-430019dd.jpg
b'Cloister in Venice',b'Francesco Guardi',b'1750',b'IT',https://az333959.vo.msecnd.net/images-6/cloister-in-venice-francesco-guardi-1750-b8e15b8b.jpg
b'Untitled',b'Giovanni Bellini',b'1475',b'IT',https://az333959.vo.msecnd.net/images-5/untitled-giovanni-bellini-1475-f620fcfa.jpg
b'Untitled',b'Pisanello',b'1441',,https://az333959.vo.msecnd.net/images-6/untitled-pisanello-1441-21f522a0.jpg
b'Untitled',b'Lorenzo Lotto',b'1533',b'IT',https://az334034.vo.msecnd.net/images-0/untitled-lorenzo-lotto-1533-b45ad49c.jpg
b'Untitled',b'Titian',b'1508',b'IT',https://az333959.vo.msecnd.net/images-2/untitled-titian-1508-2-bd4392d1.jpg
b'Untitled',b'Giovanni Bellini',b'1455',b'IT',https://az333959.vo.msecnd.net/images-1/untitled-giovanni-bellini-1455-3-a863124c.jpg
