Title,Artist,Year,Country,Thumbnail
b'The Snow Mountain',b'Albert Bierstadt',b'1863',,https://az333959.vo.msecnd.net/images-4/the-snow-mountain-albert-bierstadt-1863-7f403d00.jpg
b'Salutat',b'Thomas Eakins',b'1898',b'US',https://az333959.vo.msecnd.net/images-6/salutat-thomas-eakins-1898-eaae2cdb.jpg
b'Castles of the Rhine',b'Thomas Chambers',b'1850',b'US',https://az334033.vo.msecnd.net/images-8/castles-of-the-rhine-thomas-chambers-1850-bcc01827.jpg
b'Boston Harbor',b'Thomas Chambers',b'1850',b'US',https://az333959.vo.msecnd.net/images-2/boston-harbor-thomas-chambers-1850-1-1ad570ca.jpg
b'Study for "Abraham Offering up Isaac"',b'John Singleton Copley',b'1797',b'US',https://az333960.vo.msecnd.net/images-5/study-for-abraham-offering-up-isaac-john-singleton-copley-1797-c17a2eb0.jpg
b'The Coming Storm',b'Albert Bierstadt',b'1869',,https://az333959.vo.msecnd.net/images-3/the-coming-storm-albert-bierstadt-1869-29bb79c4.jpg
b'Raster to Vector Conversion',b'Image2VectorGraphicsIndia.com',b'2021',,https://az333960.vo.msecnd.net/images-4/raster-to-vector-conversion-image2vectorgraphicsindia-com-2021-3184eb97.jpg
b'Eight Bells',b'Winslow Homer',b'Bells',b'US',https://az333959.vo.msecnd.net/images-7/eight-bells-winslow-homer-a0adda3b.jpg
b'The West Wind',b'Winslow Homer',b'1891',b'US',https://az333960.vo.msecnd.net/images-1/the-west-wind-winslow-homer-1891-fb7beb8f.jpg
b'Street Scene',b'Thomas Moran',b'Scene',b'US',https://az334033.vo.msecnd.net/images-8/street-scene-thomas-moran-531d4d45.jpg
b'Image to Vector Conversion Services',b'Image2VectorGraphicsIndia.com',b'2020',,https://az334034.vo.msecnd.net/images-4/image-to-vector-conversion-services-image2vectorgraphicsindia-com-2020-ae894724.jpg
