Title,Artist,Year,Country,Thumbnail
b'Romantic Landscape with Ruined Tower',b'Thomas Cole',b'1832',b'US',https://az334033.vo.msecnd.net/images-3/romantic-landscape-with-ruined-tower-thomas-cole-1832-d14412b5.jpg
b'The Cross and the World: The Pilgrim of the World on his...',b'Thomas Cole',b'1846',b'US',https://az334034.vo.msecnd.net/images-9/the-cross-and-the-world-the-pilgrim-of-the-world-on-his-journey-thomas-cole-1846-751164b7.jpg
|b'A Studio Reception, Paris'|,b'Thomas Prichard Rossiter',b'1841',,https://az333960.vo.msecnd.net/images-4/a-studio-reception-paris-thomas-prichard-rossiter-1841-1c1579be.jpg
|b'Morning, Looking East over the Hudson Valley from...'|,b'Frederic Edwin Church',b'1848',b'US',https://az334034.vo.msecnd.net/images-2/morning-looking-east-over-the-hudson-valley-from-catskill-mountains-frederic-edwin-church-1848-3cb36615.jpg
b'Muses and Graces',b'Thomas Prichard Rossiter',b'1859',,https://az333959.vo.msecnd.net/images-8/muses-and-graces-thomas-prichard-rossiter-1859-dc513f77.jpg
b'Lake George',b'Homer Dodge Martin',b'1859',,https://az334033.vo.msecnd.net/images-2/lake-george-homer-dodge-martin-1859-14d7decd.jpg
b'Storm King on the Hudson',b'Homer Dodge Martin',b'1862',,https://az334034.vo.msecnd.net/images-2/storm-king-on-the-hudson-homer-dodge-martin-1862-dce5e959.jpg
b'The Dead Abel',b'Thomas Cole',b'1831',b'US',https://az334034.vo.msecnd.net/images-6/the-dead-abel-thomas-cole-1831-95257a95.jpg
b'Wordsworth Manor',b'William Hart',b'1852',,https://az334034.vo.msecnd.net/images-3/wordsworth-manor-william-hart-1852-41fb2b1e.jpg
b'Twilight (Sunset)',b'Frederic Edwin Church',b'1856',b'US',https://az334034.vo.msecnd.net/images-7/twilight-sunset-frederic-edwin-church-1856-1d2254a5.jpg
b'Tivoli Falls',b'William Hart',b'1851',,https://az334034.vo.msecnd.net/images-0/tivoli-falls-william-hart-1851-13162270.jpg
b'Catskill Creek (Summer Afternoon)',b'Asher Brown Durand',b'1855',,https://az333959.vo.msecnd.net/images-7/catskill-creek-summer-afternoon-asher-brown-durand-1855-e99d5a63.jpg
b'Albany from the East Side',b'William Hart',b'1846',,https://az334033.vo.msecnd.net/images-0/albany-from-the-east-side-william-hart-1846-5db26161.jpg
b'Four Times of Day in Italy',b'Thomas Cole',b'1833',b'US',https://az333959.vo.msecnd.net/images-6/four-times-of-day-in-italy-thomas-cole-1833-1add7896.jpg
|b'Agla\xc3\xa9e Louise Augui\xc3\xa9 Ney, Duchess of Elchingen, Princess...'|,b'Fran\xc3\xa7ois G\xc3\xa9rard',b'1812',b'FR',https://az334034.vo.msecnd.net/images-2/aglaee-louise-auguie-ney-duchess-of-elchingen-princess-of-moscow-1782-1854-francois-pascal-simon-gerard-baron-1812-e632e3f9.jpg
