Title,Artist,Year,Country,Thumbnail
b"View from the Artist's Studio in Alservorstadt toward...",b'Jakob Alt',b'1836',,https://az333959.vo.msecnd.net/images-2/view-from-the-artist-s-studio-in-alservorstadt-toward-dornbach-jakob-alt-1836-eb11c11f.jpg
b'Colored Composition of Forms',b'August Macke',b'1914',b'DE',https://az333959.vo.msecnd.net/images-4/colored-composition-of-forms-august-macke-1914-6158bd7e.jpg
b'Self-Portrait with Eyelid Pulled Down',b'Egon Schiele',b'1910',b'AT',https://az334034.vo.msecnd.net/images-7/self-portrait-with-eyelid-pulled-down-egon-schiele-1910-ea9b77fb.jpg
b'Female Lovers',b'Egon Schiele',b'1915',b'AT',https://az334034.vo.msecnd.net/images-9/female-lovers-egon-schiele-1915-384cfdb3.jpg
b'Great Piece of Turf',b'Albrecht D\xc3\xbcrer',b'1503',b'DE',https://az333960.vo.msecnd.net/images-0/great-piece-of-turf-albrecht-durer-1503-eaa0a22d.jpg
b'I Will Gladly Endure for Art and My Loved Ones',b'Egon Schiele',b'1912',b'AT',https://az334034.vo.msecnd.net/images-1/i-will-gladly-endure-for-art-and-my-loved-ones-egon-schiele-1912-b8a29cca.jpg
b'Picnic on the Beach',b'August Macke',b'1913',b'DE',https://az334033.vo.msecnd.net/images-6/picnic-on-the-beach-august-macke-1913-9f345211.jpg
|b'Venice, The Pink Cloud'|,b'Paul Signac',b'1909',b'FR',https://az334034.vo.msecnd.net/images-4/venice-the-pink-cloud-paul-signac-1909-733f696c.jpg
|b'Still Life with Bottle, Bread and red Wallpaper with...'|,b'Alexej von Jawlensky',b'1915',b'RU',https://az333959.vo.msecnd.net/images-4/still-life-with-bottle-bread-and-red-wallpaper-with-swallows-alexej-von-jawlensky-1915-6c9e041b.jpg
b'Young Hare',b'Albrecht D\xc3\xbcrer',b'1502',b'DE',https://az333960.vo.msecnd.net/images-1/young-hare-albrecht-durer-1502-25511d60.jpg
b'Seated Couple',b'Egon Schiele',b'1915',b'AT',https://az333959.vo.msecnd.net/images-0/seated-couple-egon-schiele-1915-c97cd7d3.jpg
b'The White Horse "Gazelle"',b'Henri de Toulouse-Lautrec',b'1881',b'FR',https://az334034.vo.msecnd.net/images-6/the-white-horse-gazelle-henri-de-toulouse-lautrec-1881-4cede7f2.jpg
|b'Flower Piece with Iris, Laburnum, and Geranium'|,b'Edouard Manet',b'1880',b'FR',https://az333960.vo.msecnd.net/images-9/flower-piece-with-iris-laburnum-and-geranium-edouard-manet-1880-1511035c.jpg
b'Garden on Lake Thun',b'August Macke',b'1914',b'DE',https://az333959.vo.msecnd.net/images-9/garden-on-lake-thun-august-macke-1914-27c6ca41.jpg
|b'Nude Self-Portrait, Grimacing'|,b'Egon Schiele',b'1900',b'AT',https://az334034.vo.msecnd.net/images-7/nude-self-portrait-grimacing-egon-schiele-1900-62723de6.jpg
b'Ch\xc3\xa2teau Noir and Mont Sainte-Victoire',b'Paul C\xc3\xa9zanne',b'1890',b'FR',https://az333959.vo.msecnd.net/images-2/chateau-noir-and-mont-sainte-victoire-paul-cezanne-1890-72d6a96b.jpg
b'Self-Portrait in Yellow Vest',b'Egon Schiele',b'1914',b'AT',https://az334034.vo.msecnd.net/images-5/self-portrait-in-yellow-vest-egon-schiele-1914-6b858af7.jpg
b'Young Woman in a Shirt',b'Amedeo Modigliani',b'1918',b'IT',https://az333960.vo.msecnd.net/images-9/young-woman-in-a-shirt-amedeo-modigliani-1918-e96b8606.jpg
b'Girl with Flower hat (Wearing a Turban)',b'Alexej von Jawlensky',b'1910',b'RU',https://az334033.vo.msecnd.net/images-3/young-girl-with-a-flowered-hat-alexej-von-jawlensky-1910-45f05623.jpg
