Title,Artist,Year,Country,Thumbnail
b'A Glimpse of Notre-Dame in the Late Afternoon',b'Henri Matisse',b'1902',b'FR',https://az333960.vo.msecnd.net/images-2/a-glimpse-of-notre-dame-in-the-late-afternoon-henri-matisse-1902-fc5bfc01.jpg
|b'The Marina Piccola, Capri'|,b'Albert Bierstadt',b'1859',,https://az334033.vo.msecnd.net/images-8/the-marina-piccola-capri-albert-bierstadt-1859-0f9514cf.jpg
|b'Sun, Tower, Airplane'|,b'Robert Delaunay',b'1913',b'FR',https://az333959.vo.msecnd.net/images-8/sun-tower-airplane-robert-delaunay-1913-fa623f94.jpg
b'Laramie Peak',b'Albert Bierstadt',b'1870',,https://az333959.vo.msecnd.net/images-0/laramie-peak-albert-bierstadt-1870-740cc58a.jpg
b'The Yellow Christ',b'Paul Gauguin',b'1889',b'FR',https://az333959.vo.msecnd.net/images-1/the-yellow-christ-paul-gauguin-1889-d6816e3d.jpg
b'Woman and Elephant',b'Winslow Homer',b'1877',b'US',https://az333960.vo.msecnd.net/images-9/woman-and-elephant-winslow-homer-1877-3c2341ae.jpg
b'Le bassin du Jas de Bouffan (The Pool at Jas de Bouffan)',b'Paul C\xc3\xa9zanne',b'1878',b'FR',https://az334033.vo.msecnd.net/images-8/le-bassin-du-jas-de-bouffan-the-pool-at-jas-de-bouffan-paul-cezanne-1878-ed694a4a.jpg
b'Rue de village \xc3\xa0 Marlotte (Village Street in Marlotte)',b'Alfred Sisley',b'1866',b'GB',https://az333959.vo.msecnd.net/images-6/rue-de-village-a-marlotte-village-street-in-marlotte-alfred-sisley-1866-a1854985.jpg
b'Rescue of a youth fallen overboard from a fishing boat',b'George Brant Bridgman',b'1888',,https://az334033.vo.msecnd.net/images-2/rescue-of-a-youth-fallen-overboard-from-a-fishing-boat-george-brant-bridgman-1888-d8c145ba.jpg
b'Manao Tupapau',b'Paul Gauguin',b'1892',b'FR',https://az334033.vo.msecnd.net/images-0/manao-tupapau-paul-gauguin-1892-1-51ccfc99.jpg
b'The Old Mill',b'Vincent van Gogh',b'Mill',b'NL',https://az334034.vo.msecnd.net/images-2/the-old-mill-vincent-van-gogh-73ecd067.jpg
b'Manao Tupapau',b'Paul Gauguin',b'1892',b'FR',https://az333959.vo.msecnd.net/images-8/manao-tupapau-paul-gauguin-1892-273862ad.jpg
b'Untitled',b'Juan Gris',b'Untitled',b'ES',https://az334034.vo.msecnd.net/images-8/untitled-juan-gris-e738ee95.jpg
|b'Genesee Falls, Rochester'|,b'Thomas Chambers',b'1850',b'US',https://az334033.vo.msecnd.net/images-4/genesee-falls-rochester-thomas-chambers-1850-1984b9b5.jpg
b'Frauenbildnis (Portrait of a Woman)',b'Ernst Ludwig Kirchner',b'1911',b'DE',https://az333960.vo.msecnd.net/images-2/frauenbildnis-portrait-of-a-woman-ernst-ludwig-kirchner-1911-29520ccf.jpg
b'La Jeune bonne (The Servant Girl)',b'Amedeo Modigliani',b'1918',b'IT',https://az333959.vo.msecnd.net/images-0/la-jeune-bonne-the-servant-girl-amedeo-modigliani-1918-ccbb5fa1.jpg
b'The Wolves (Balkan War)',b'Franz Marc',b'1913',b'DE',https://az333960.vo.msecnd.net/images-6/the-wolves-balkan-war-franz-marc-1913-2e3749b7.jpg
b'Hotel Lobby',b'Max Beckmann',b'1950',b'DE',https://az334034.vo.msecnd.net/images-6/hotel-lobby-max-beckmann-1950-6c557910.jpg
