Title,Artist,Year,Country,Thumbnail
b'Dovedale by Moonlight',b'Joseph Wright of Derby',b'1784',b'GB',https://az334033.vo.msecnd.net/images-9/dovedale-by-moonlight-joseph-wright-of-derby-1784-5493bc3b.jpg
b'Untitled',b'Ernst Ludwig Kirchner',b'Untitled',b'DE',https://az334034.vo.msecnd.net/images-2/untitled-ernst-ludwig-kirchner-3-969bd329.jpg
b'Nude with Coral Necklace',b'Amedeo Modigliani',b'Necklace',b'IT',https://az333960.vo.msecnd.net/images-8/nude-with-coral-necklace-amedeo-modigliani-f25df1c2.jpg
b'Untitled',b'Piet Mondrian',b'Untitled',b'NL',https://az334033.vo.msecnd.net/images-8/untitled-piet-mondrian-3-410d328a.jpg
b'Blind Beggar and his Boy',b'Jusepe de Ribera',b'Boy',b'ES',https://az334034.vo.msecnd.net/images-4/blind-beggar-and-his-boy-jusepe-de-ribera-e87c7dd0.jpg
b'Portrait of a Man',b'Anthony van Dyck',b'1615',b'NL',https://az334033.vo.msecnd.net/images-8/portrait-of-a-man-anthony-van-dyck-1615-bdedf212.jpg
b'The Finding of Moses',b'Antoine Coypel',b'1696',,https://az334034.vo.msecnd.net/images-3/the-finding-of-moses-antoine-coypel-1696-3c507295.jpg
b'Jupiter',b'Maarten van Heemskerck',b'1535',b'NL',https://az334034.vo.msecnd.net/images-2/jupiter-maarten-van-heemskerck-1535-eb91c681.jpg
b'La d\xc3\xa9collation de Saint Jean Baptiste',b'Eug\xc3\xa8ne Delacroix',b'1838',b'FR',https://az334033.vo.msecnd.net/images-1/la-decollation-de-saint-jean-baptiste-eugene-delacroix-1838-57c3fbf2.jpg
b'St Sebastian Tended by Irene and her Maid',b'Hendrick ter Brugghen',b'1625',b'NL',https://az333959.vo.msecnd.net/images-3/untitled-hendrick-ter-brugghen-1625-19ee39f3.jpg
b'Lake with Dead Trees (Catskill)',b'Thomas Cole',b'1825',b'US',https://az334033.vo.msecnd.net/images-0/lake-with-dead-trees-catskill-thomas-cole-1825-8f44c738.jpg
b'The Finding of Erichthonius',b'Peter Paul Rubens',b'Erichthonius',b'NL',https://az334034.vo.msecnd.net/images-0/the-finding-of-erichthonius-peter-paul-rubens-866d360d.jpg
|b'Still Life, 1645'|,b'Jan Davidsz de Heem',b'1645',,https://az333959.vo.msecnd.net/images-7/still-life-1645-jan-davidsz-de-heem-1645-11817c66.jpg
|b'Garden of the Princess, Louvre'|,b'Claude Monet',b'1867',b'FR',https://az333960.vo.msecnd.net/images-1/garden-of-the-princess-louvre-claude-monet-1867-b66e50e0.jpg
b'Portrait of Elisabeth Severance Prentiss',b'Philip de L\xc3\xa1szl\xc3\xb3',b'1932',,https://az333960.vo.msecnd.net/images-1/portrait-of-elisabeth-severance-prentiss-philip-de-laszlo-1932-9a6a26cd.jpg
b'Samson Slaying the Philistines',b'Maarten van Heemskerck',b'1535',b'NL',https://az333959.vo.msecnd.net/images-9/samson-slaying-the-philistines-maarten-van-heemskerck-1535-59d2e81c.jpg
b'Madonna and Child',b'Andrea del Sarto',b'1530',,https://az333959.vo.msecnd.net/images-4/madonna-and-child-andrea-del-sarto-1530-9df94985.jpg
b'Interior of the Old Church at Delft',b'Emanuel de Witte',b'1653',,https://az333959.vo.msecnd.net/images-5/interior-of-the-old-church-at-delft-emanuel-de-witte-1653-95f3c95e.jpg
