Title,Artist,Year,Country,Thumbnail
b'Sleeping woman (Gabri\xc3\xablle Renard)',b'Auguste Renoir',b'1897',b'FR',https://az333960.vo.msecnd.net/images-9/untitled-pierre-auguste-renoir-1897-576213ea.jpg
b'Untitled',b'Edouard Manet',b'1878',b'FR',https://az333959.vo.msecnd.net/images-3/untitled-edouard-manet-1878-6d8f32fd.jpg
b'Landscape in the Riesengebirge',b'Caspar David Friedrich',b'1798',b'DE',https://az333960.vo.msecnd.net/images-2/landscape-in-the-riesengebirge-caspar-david-friedrich-1798-d1ff5f91.jpg
b'Untitled',b'Francisco de Goya',b'1824',b'ES',https://az333960.vo.msecnd.net/images-1/untitled-francisco-de-goya-1824-1-38b751c9.jpg
b'Au Moulin-Rouge : La clownesse Cha-U-Kao',b'Henri de Toulouse-Lautrec',b'1895',b'FR',https://az333960.vo.msecnd.net/images-0/au-moulin-rouge-la-clownesse-cha-u-kao-henri-de-toulouse-lautrec-1895-078f5283.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1865',b'FR',https://az333960.vo.msecnd.net/images-7/untitled-jean-baptiste-camille-corot-1865-6-80dc987e.jpg
b'Le hamac',b'Gustave Courbet',b'1844',b'FR',https://az334033.vo.msecnd.net/images-2/le-hamac-gustave-courbet-1844-5f3488e8.jpg
b'Le Tasse dans la maison des fous',b'Eug\xc3\xa8ne Delacroix',b'1839',b'FR',https://az334033.vo.msecnd.net/images-0/le-tasse-dans-la-maison-des-fous-eugene-delacroix-1839-7cc03821.jpg
b'La d\xc3\xa9b\xc3\xa2cle',b'Claude Monet',b'1880',b'FR',https://az333959.vo.msecnd.net/images-3/la-debacle-claude-monet-1880-1-e96984c0.png
b'Adoration of the Kings in the Snow',b'Pieter Brueghel the Elder',b'1567',b'NL',https://az333959.vo.msecnd.net/images-1/adoration-of-the-kings-in-the-snow-pieter-brueghel-the-elder-1567-f88c5228.jpg
b'City at Moonrise',b'Caspar David Friedrich',b'1817',b'DE',https://az334034.vo.msecnd.net/images-4/city-at-moonrise-caspar-david-friedrich-1817-0bad7ffe.jpg
b'Delphine Ramel',b'Jean-Auguste-Dominique Ingres',b'1859',b'FR',https://az333960.vo.msecnd.net/images-6/delphine-ramel-jean-auguste-dominique-ingres-1859-1843d3a3.jpg
b'Ch\xc3\xa2teau Noir derri\xc3\xa8re les arbres',b'Paul C\xc3\xa9zanne',b'1885',b'FR',https://az334033.vo.msecnd.net/images-7/chateau-noir-derriere-les-arbres-paul-cezanne-1885-3419e55d.jpg
b'Barges on the Canal Saint-Martin',b'Alfred Sisley',b'1870',b'GB',https://az334034.vo.msecnd.net/images-4/barges-on-the-canal-saint-martin-alfred-sisley-1870-85734a84.jpg
|b"A Corner of L'Hermitage, Pontoise"|,b'Camille Pissarro',b'Pontoise',b'FR',https://az333960.vo.msecnd.net/images-8/a-corner-of-l-hermitage-pontoise-camille-pissarro-a8f5a545.jpg
b'Untitled',b'Lucas Cranach the Elder',b'1502',b'DE',https://az333960.vo.msecnd.net/images-6/untitled-lucas-cranach-the-elder-1502-25ecd4fd.jpg
b'Don Quichotte et Sancho Panca dans les montagnes',b'Honor\xc3\xa9 Daumier',b'1866',b'FR',https://az334034.vo.msecnd.net/images-1/don-quichotte-et-sancho-panca-dans-les-montagnes-honore-daumier-1866-04b5e13e.jpg
b'Le retour du march\xc3\xa9',b'Honor\xc3\xa9 Daumier',b'1856',b'FR',https://az334033.vo.msecnd.net/images-4/le-retour-du-marche-honore-daumier-1856-3add6223.jpg
b'Le repos pendant la fuite en Egypte',b'Nicolas Poussin',b'1629',b'FR',https://az333959.vo.msecnd.net/images-4/le-repos-pendant-la-fuite-en-egypte-nicolas-poussin-1629-e80d52b6.jpg
b'Portrait of Victor Chocquet',b'Auguste Renoir',b'1876',b'FR',https://az334034.vo.msecnd.net/images-1/portrait-of-victor-chocquet-pierre-auguste-renoir-1876-895747b0.jpg
b'Roses et lilas',b'Edouard Manet',b'1882',b'FR',https://az334034.vo.msecnd.net/images-9/roses-et-lilas-edouard-manet-1882-1-72aaa170.jpg
b'Portrait de Mme Henriot',b'Auguste Renoir',b'1876',b'FR',https://az333959.vo.msecnd.net/images-1/portrait-de-mme-henriot-pierre-auguste-renoir-1876-7855bd67.jpg
b'Nature morte au plateau de p\xc3\xaaches',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1759',b'FR',https://az333960.vo.msecnd.net/images-1/nature-morte-au-plateau-de-peches-jean-baptiste-simeon-chardin-1759-4f5ef4ad.png
b'Le ch\xc3\xa2teau de cartes',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1735',b'FR',https://az334034.vo.msecnd.net/images-7/le-chateau-de-cartes-jean-baptiste-simeon-chardin-1735-83cce729.jpg
b'Sleeping by the sea',b'Auguste Renoir',b'1897',b'FR',https://az333960.vo.msecnd.net/images-2/sleeping-by-the-sea-pierre-auguste-renoir-1897-3c44c246.jpg
