Title,Artist,Year,Country,Thumbnail
b'Cliffs of Green River',b'Thomas Moran',b'1874',b'US',https://az334033.vo.msecnd.net/images-5/cliffs-of-green-river-thomas-moran-1874-07583456.jpg
|b'Eagle Cliff, Franconia Notch, New Hampshire'|,b'David Johnson',b'1864',,https://az334033.vo.msecnd.net/images-6/eagle-cliff-franconia-notch-new-hampshire-david-johnson-1864-d3932bec.jpg
b'Idle Hours',b'William Merritt Chase',b'Hours',b'US',https://az334033.vo.msecnd.net/images-9/idle-hours-william-merritt-chase-dda7024c.jpg
b'The Caves',b'Robert S. Duncanson',b'1869',,https://az334034.vo.msecnd.net/images-5/the-caves-robert-s-duncanson-1869-27aec8d5.jpg
b'Oregon City on the Willamette River',b'John Mix Stanley',b'1850',,https://az334034.vo.msecnd.net/images-9/oregon-city-on-the-willamette-river-john-mix-stanley-1850-d9ca7c44.jpg
|b'On the Cache la Poudre River, Colorado'|,b'Worthington Whittredge',b'1876',,https://az333959.vo.msecnd.net/images-8/on-the-cache-la-poudre-river-colorado-worthington-whittredge-1876-c0da1fc9.jpg
b'The Fisherman',b'George Bellows',b'1917',b'US',https://az333960.vo.msecnd.net/images-4/the-fisherman-george-bellows-1917-ce2041c1.jpg
b"Parson Weems's Fable",b'Grant Wood',b'1939',b'US',https://az334033.vo.msecnd.net/images-9/parson-weems-s-fable-grant-wood-1939-5e2e0747.jpg
b'Thunder Storm on Narragansett Bay',b'Martin Johnson Heade',b'1868',b'US',https://az333960.vo.msecnd.net/images-7/thunder-storm-on-narragansett-bay-martin-johnson-heade-1868-c4eb551d.jpg
|b'Sunrise, Yosemite Valley'|,b'Albert Bierstadt',b'1870',,https://az334033.vo.msecnd.net/images-4/sunrise-yosemite-valley-albert-bierstadt-1870-c045fc55.jpg
|b'Marshfield Meadows, Massachusetts'|,b'Martin Johnson Heade',b'1866',b'US',https://az333960.vo.msecnd.net/images-9/marshfield-meadows-massachusetts-martin-johnson-heade-1866-c70e5ad4.jpg
b'Chimney and Water Tower',b'Charles Demuth',b'1931',b'US',https://az334034.vo.msecnd.net/images-6/chimney-and-water-tower-charles-demuth-1931-6b40235a.jpg
b'The Narrows from Staten Island',b'Jasper Francis Cropsey',b'1868',b'US',https://az334034.vo.msecnd.net/images-8/the-narrows-from-staten-island-jasper-francis-cropsey-1868-82b3bc0b.jpg
b'Ease',b'William Harnett',b'1887',,https://az334034.vo.msecnd.net/images-4/ease-william-harnett-1887-21756a68.png
b'Chloe and Sam',b'Thomas Hovenden',b'1882',,https://az333960.vo.msecnd.net/images-4/chloe-and-sam-thomas-hovenden-1882-9ed94e2e.jpg
