Title,Artist,Year,Country,Thumbnail
b'Een schilder voor zijn ezel toont een schilderij aan een...',b'Florent Joseph Marie Willems',b'1852',b'BE',https://az333959.vo.msecnd.net/images-0/untitled-florent-joseph-marie-willems-1852-b84f4a20.jpg
b'Lecture on anatomy by Andreas Bonn for the department of...',b'Adriaan de Lelie',b'1792',b'NL',https://az333959.vo.msecnd.net/images-2/lecture-on-anatomy-by-andreas-bonn-for-the-department-of-drawing-of-felix-meritis-adriaan-de-lelie-1792-2298eee4.jpg
b'The directors of the crossbow militia',b'Bartholomeus van der Helst',b'1653',b'NL',https://az334034.vo.msecnd.net/images-2/the-directors-of-the-crossbow-militia-bartholomeus-van-der-helst-1653-fe5bc2c0.jpg
b'Colonade van het Burgerweeshuis',b'Nicolaas van der Waay',b'1936',b'NL',https://az333959.vo.msecnd.net/images-6/untitled-nicolaas-van-der-waay-2-8a5c50f3.jpg
b'Self-portrait met Munttoren',b'Isaac Israels',b'1912',b'NL',https://az334034.vo.msecnd.net/images-0/untitled-isaac-israels-1912-8409d074.jpg
b'Civic guardsmen from the company of captain Jacob...',b'Thomas de Keyser',b'Jacob...',,https://az334033.vo.msecnd.net/images-3/civic-guardsmen-from-the-company-of-captain-jacob-symonszn-de-vries-and-lieutenant-dirck-jacobszn-de-graeff-thomas-de-keyser-bcbfe3d5.jpg
b'The Studio at the Willet-Holthuysens\xe2\x80\x99 Villa in Le V\xc3\xa9sinet',b'Coen Metzelaar',b'1885',,https://az333960.vo.msecnd.net/images-2/untitled-coen-metzelaar-f94abac7.jpg
b'Untitled',b'Isaac Israels',b'Untitled',b'NL',https://az333960.vo.msecnd.net/images-1/untitled-isaac-israels-1-850e7a5a.jpg
b'Kermis op het Haarlemmerplein',b'George Hendrik Breitner',b'1913',b'NL',https://az333960.vo.msecnd.net/images-2/untitled-george-hendrik-breitner-3-5aef0dda.jpg
b"Girls at Amsterdam's Civic Orphanage",b'Nicolaas van der Waay',b'1920',b'NL',https://az333959.vo.msecnd.net/images-7/untitled-nicolaas-van-der-waay-3-bfd35496.jpg
b'River view with a castle among trees',b'Barend Cornelis Koekkoek',b'1845',b'NL',https://az334034.vo.msecnd.net/images-0/river-view-with-a-castle-among-trees-barend-cornelis-koekkoek-1845-12a6898a.jpg
b'Suzanna Sophia Maria Hodshon (1815-1892)',b'Adriaan de Lelie',b'1817',b'NL',https://az333959.vo.msecnd.net/images-3/untitled-adriaan-de-lelie-1817-949c2335.jpg
