Title,Artist,Year,Country,Thumbnail
b'Two Young Men Eating at a Humble Table',b'Diego Vel\xc3\xa1zquez',b'1622',b'ES',https://az334034.vo.msecnd.net/images-6/two-young-men-eating-at-a-humble-table-diego-velazquez-1622-d811c4da.jpg
|b'The intruder , Lady at her toilet, suprised by her lover'|,b'Pieter de Hooch',b'lover',b'NL',https://az333959.vo.msecnd.net/images-5/the-intruder-lady-at-her-toilet-suprised-by-her-lover-pieter-de-hooch-98a46924.jpg
b'Untitled',b'Antonio da Correggio',b'1524',b'IT',https://az333960.vo.msecnd.net/images-2/untitled-antonio-da-correggio-1524-e28e63ef.jpg
b'A Wedding Party',b'Jan Steen',b'1667',b'NL',https://az333960.vo.msecnd.net/images-7/a-wedding-party-jan-steen-1667-1e5a5514.jpg
b'The courtyard of an inn with a game of shuffleboard',b'Adriaen van Ostade',b'1677',b'NL',https://az333960.vo.msecnd.net/images-9/the-courtyard-of-an-inn-with-a-game-of-shuffleboard-adriaen-van-ostade-1677-91b723c4.jpg
b'Dry Toren',b'David Teniers the Younger',b'1660',b'NL',https://az333959.vo.msecnd.net/images-1/dry-toren-david-teniers-the-younger-1660-6ecbc93c.jpg
|b'Architectural Fantasy, with the Old Town Hall, Amsterdam'|,b'Jan van der Heyden',b'1670',b'NL',https://az334033.vo.msecnd.net/images-3/architectural-fantasy-with-the-old-town-hall-amsterdam-jan-van-der-heyden-1670-4d337b8a.jpg
b'Soldiers of the Dutch East India Company Embarking at the...',b'Ludolf Bakhuizen',b'1685',,https://az333959.vo.msecnd.net/images-2/soldiers-of-the-dutch-east-india-company-embarking-at-the-montelbaans-tower-amsterdam-ludolf-bakhuizen-1685-64992242.jpg
|b'The Ch\xc3\xa2teau of Goudestein, on the River Vecht, near Maarsen'|,b'Jan van der Heyden',b'1674',b'NL',https://az333959.vo.msecnd.net/images-8/the-chateau-of-goudestein-on-the-river-vecht-near-maarsen-jan-van-der-heyden-1674-a8ee1ed2.jpg
b'The Smokers',b'Adriaen Brouwer',b'1636',,https://az333959.vo.msecnd.net/images-2/the-smokers-adriaen-brouwer-1636-66aad336.jpg
b'Untitled',b'Jan Steen',b'1661',b'NL',https://az333960.vo.msecnd.net/images-2/untitled-jan-steen-1661-592473fc.jpg
b'Musical company in an interior',b'Pieter de Hooch',b'interior',b'NL',https://az334033.vo.msecnd.net/images-9/musical-company-in-an-interior-pieter-de-hooch-b09fd53c.jpg
b'Chelsea Pensioners reading the Waterloo Dispatch',b'David Wilkie',b'Dispatch',b'GB',https://az333960.vo.msecnd.net/images-9/chelsea-pensioners-reading-the-waterloo-dispatch-david-wilkie-3a4fdbe8.jpg
b'Saint Rosalie Crowned with Roses by Two Angels',b'Anthony van Dyck',b'1624',b'NL',https://az334033.vo.msecnd.net/images-1/saint-rosalie-crowned-with-roses-by-two-angels-anthony-van-dyck-1624-f34bf5bb.jpg
b'Eavesdropper and lovers (hearing)',b'Nicolaes Maes',b'1656',b'NL',https://az333960.vo.msecnd.net/images-0/eavesdropper-and-lovers-hearing-nicolaes-maes-1656-7174f042.jpg
b'Equestrian Portrait of the 1st Duke of Wellington',b'Francisco Goya',b'1812',,https://az334033.vo.msecnd.net/images-2/equestrian-portrait-of-the-1st-duke-of-wellington-francisco-goya-1812-ed09687c.jpg
b'The Milkwoman',b'Nicolaes Maes',b'1656',b'NL',https://az334034.vo.msecnd.net/images-8/the-milkwoman-nicolaes-maes-1656-5debe65c.jpg
b'Large Ships and Boats in a Calm',b'Willem van de Velde the Younger',b'1660',,https://az333960.vo.msecnd.net/images-2/large-ships-and-boats-in-a-calm-willem-van-de-velde-the-younger-1660-2982e80a.jpg
