Title,Artist,Year,Country,Thumbnail
b"L'art et la Litt\xc3\xa9rature",b'William-Adolphe Bouguereau',b'1867',b'FR',https://az333960.vo.msecnd.net/images-2/l-art-et-la-litterature-william-adolphe-bouguereau-1867-7ee7cd83.jpg
b"Soldier's Farewell",b'Gustave Dor\xc3\xa9',b'1873',b'FR',https://az333960.vo.msecnd.net/images-6/soldier-s-farewell-gustave-dore-1873-ba2a16d9.jpg
b'The Marabou',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1888',b'FR',https://az334033.vo.msecnd.net/images-8/the-marabou-jean-leon-gerome-1888-32241353.jpg
b'A Mountain Stream',b'Gustave Courbet',b'1860',b'FR',https://az334034.vo.msecnd.net/images-4/a-mountain-stream-gustave-courbet-1860-c0947a0f.jpg
b'An Autumn Evening',b'Th\xc3\xa9odore Rousseau',b'Evening',b'FR',https://az333959.vo.msecnd.net/images-3/an-autumn-evening-theodore-rousseau-48108078.jpg
b'Playing Bowles In The Fosse at Antibes',b'Jean-Louis Ernest Meissonier',b'1885',b'FR',https://az334033.vo.msecnd.net/images-9/playing-bowles-in-the-fosse-at-antibes-jean-louis-ernest-meissonier-1885-7cc97e61.jpg
b'Barn Yard',b'Charles Jacque',b'Yard',,https://az334034.vo.msecnd.net/images-3/barn-yard-charles-jacque-2b069062.jpg
b'Two Oracles',b'Jules-\xc3\x89mile Saintin',b'1872',,https://az333959.vo.msecnd.net/images-0/two-oracles-jules-emile-saintin-1872-27bb2ad5.jpg
b'Autumn in the Catskills',b'Thomas Cole',b'1827',b'US',https://az333960.vo.msecnd.net/images-4/autumn-in-the-catskills-thomas-cole-1827-3b9bd0f7.jpg
b'The Stoning of Saint Paul',b'Jean Baptiste de Champaigne',b'1667',b'NL',https://az334034.vo.msecnd.net/images-1/the-stoning-of-saint-paul-jean-baptiste-de-champaigne-1667-4639b299.jpg
b'Apple Gatherers',b'Jean-Fran\xc3\xa7ois Millet',b'1852',b'FR',https://az333959.vo.msecnd.net/images-8/apple-gatherers-jean-francois-millet-1852-e0c16ed4.jpg
b'Peasants Resting',b'Jules Breton',b'1882',,https://az333960.vo.msecnd.net/images-9/peasants-resting-jules-breton-1882-08c6f347.jpg
b'Le Soir',b'Jules Breton',b'1880',,https://az333960.vo.msecnd.net/images-3/le-soir-jules-breton-1880-348c802e.jpg
b'The Rose',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1887',b'FR',https://az333960.vo.msecnd.net/images-1/the-rose-jean-leon-gerome-1887-84a76cab.jpg
b'The Lunatic',b'Hugues Merle',b'1871',b'FR',https://az333959.vo.msecnd.net/images-6/the-lunatic-hugues-merle-1871-b7187387.jpg
b'The Red Cow',b'Constant Troyon',b'Cow',,https://az333960.vo.msecnd.net/images-4/the-red-cow-constant-troyon-1a36db0e.jpg
