Title,Artist,Year,Country,Thumbnail
b'The Little Shepherdess',b'Paul Peel',b'1892',b'CA',https://az333959.vo.msecnd.net/images-8/the-young-shepardess-paul-peel-1892-35036ce9.jpg
b'Portrait of a Seated Woman with a Handkerchief',b'Carel Fabritius',b'1644',b'NL',https://az333960.vo.msecnd.net/images-5/portrait-of-a-seated-woman-with-a-handkerchief-carel-fabritius-1644-bd38e374.jpg
b'Adoration',b'Paul Peel',b'1885',b'CA',https://az333960.vo.msecnd.net/images-0/adoration-paul-peel-1885-70ba6aec.jpg
b'Portrait of a woman with a lap dog',b'Rembrandt',b'dog',b'NL',https://az333960.vo.msecnd.net/images-0/portrait-of-a-woman-with-a-lap-dog-rembrandt-de753bf6.jpg
b'Portrait of Isaak Abrahamsz. Massa',b'Frans Hals',b'1626',b'NL',https://az333959.vo.msecnd.net/images-1/portrait-of-isaak-abrahamsz-massa-frans-hals-1626-d5c088b4.png
|b'Pont Boieldieu in Rouen, Rainy Weather'|,b'Camille Pissarro',b'1896',b'FR',https://az334033.vo.msecnd.net/images-9/pont-boieldieu-in-rouen-rainy-weather-camille-pissarro-1896-b15b641b.jpg
|b'Still Life with Walnuts, Tobacco and Wine'|,b'Hubert van Ravesteyn',b'Wine',,https://az334033.vo.msecnd.net/images-5/still-life-with-walnuts-tobacco-and-wine-hubert-van-ravesteyn-de3fa7ae.jpg
b'Marchesa Casati',b'Augustus John',b'Casati',,https://az333959.vo.msecnd.net/images-7/marchesa-casati-augustus-john-3d6c2d26.png
b'Daedalus and Icarus',b'Anthony van Dyck',b'1634',b'NL',https://az333960.vo.msecnd.net/images-3/daedalus-and-icarus-anthony-van-dyck-1634-d9dd41e4.jpg
b'"I am half sick of shadows" said the Lady of Shalott',b'John William Waterhouse',b'1915',b'GB',https://az334034.vo.msecnd.net/images-7/i-am-half-sick-of-shadows-said-the-lady-of-shalott-john-william-waterhouse-1915-b21c3ec0.jpg
b'Street Scene',b'Ernst Ludwig Kirchner',b'Scene',b'DE',https://az333960.vo.msecnd.net/images-2/street-scene-ernst-ludwig-kirchner-baf56bf4.jpg
b'Massacre of the Innocents by Rubens',b'Peter Paul Rubens',b'1610',b'NL',https://az334034.vo.msecnd.net/images-1/massacre-of-the-innocents-by-rubens-peter-paul-rubens-1610-32c3730c.jpg
b'Ariadne',b'Edward Burne-Jones',b'1862',b'GB',https://az334033.vo.msecnd.net/images-4/ariadne-edward-burne-jones-1862-f92d7f4e.jpg
b"Feuillage d'automne",b'Tom Thomson',b'1915',,https://az334034.vo.msecnd.net/images-4/feuillage-d-automne-tom-thomson-1915-c8095af6.jpg
b'Scene in the Northwest: Portrait of John Henry Lefroy',b'Paul Kane',b'1845',,https://az334034.vo.msecnd.net/images-3/scene-in-the-northwest-portrait-of-john-henry-lefroy-paul-kane-1845-6ab85c5c.jpg
b'Portrait of Vincent Laurensz van der Vinne',b'Frans Hals',b'1655',b'NL',https://az334034.vo.msecnd.net/images-3/portrait-of-vincent-laurensz-van-der-vinne-frans-hals-1655-67ac041f.jpg
b'A Four-year-old Girl with a Pot of Carnations',b'Jan Albertsz Rotius',b'Carnations',,https://az333960.vo.msecnd.net/images-1/a-four-year-old-girl-with-a-pot-of-carnations-jan-albertsz-rotius-1c86299a.jpg
b'The West Wind',b'Tom Thomson',b'1917',,https://az334033.vo.msecnd.net/images-6/the-west-wind-tom-thomson-1917-69390101.jpg
