Title,Artist,Year,Country,Thumbnail
b'Letter Rack',b'Evert Collier',b'1698',b'NL',https://az333960.vo.msecnd.net/images-6/letter-rack-evert-collier-1698-f5a9b41d.jpg
b'The feigned death of Juliet',b'Frederic Leighton',b'1858',b'GB',https://az333959.vo.msecnd.net/images-8/the-feigned-death-of-juliet-frederic-leighton-1858-8a87721d.jpg
b'The Four Times of Day: Evening',b'Claude-Joseph Vernet',b'1757',b'FR',https://az333960.vo.msecnd.net/images-1/the-four-times-of-day-evening-claude-joseph-vernet-1757-79481dba.jpg
b'The Foam Sprite',b'Herbert James Draper',b'1897',b'GB',https://az334034.vo.msecnd.net/images-4/the-foam-sprite-herbert-james-draper-1897-d9b66834.jpg
b'A holiday at Mentone',b'Charles Conder',b'1888',,https://az333959.vo.msecnd.net/images-1/a-holiday-at-mentone-charles-conder-1888-edf90025.jpg
b'An architectural capriccio',b'Francesco Guardi',b'1750',b'IT',https://az334033.vo.msecnd.net/images-6/an-architectural-capriccio-francesco-guardi-1750-690178f3.jpg
|b'A view of Vesuvius from Posillipo, Naples'|,b'Joseph Wright of Derby',b'1789',b'GB',https://az333959.vo.msecnd.net/images-2/a-view-of-vesuvius-from-posillipo-naples-joseph-wright-of-derby-1789-6065e37c.jpg
b'A summer morning',b'Rupert Bunny',b'1897',b'AU',https://az333960.vo.msecnd.net/images-3/a-summer-morning-rupert-bunny-1897-0f9d48c4.jpg
b'King Henry VIII',b'Anonymous',b'VIII',,https://az334034.vo.msecnd.net/images-9/king-henry-viii-anonymous-af412b74.jpg
b'The Four Times of Day: Midday',b'Claude-Joseph Vernet',b'1757',b'FR',https://az333959.vo.msecnd.net/images-6/the-four-times-of-day-midday-claude-joseph-vernet-1757-6fa146da.jpg
b'Circe Invidiosa',b'John William Waterhouse',b'1892',b'GB',https://az333960.vo.msecnd.net/images-7/circe-invidiosa-john-william-waterhouse-1892-1-eb018559.jpg
b'The Favourites of the Emperor Honorius',b'John William Waterhouse',b'1883',b'GB',https://az334034.vo.msecnd.net/images-5/the-favourites-of-the-emperor-honorius-john-william-waterhouse-1883-9812660d.jpg
