Title,Artist,Year,Country,Thumbnail
b'Nighthawks',b'Edward Hopper',b'1942',b'US',https://az333959.vo.msecnd.net/images-4/nighthawks-edward-hopper-1942-41b93588.jpg
b'The Bedroom',b'Vincent van Gogh',b'1889',b'NL',https://az334034.vo.msecnd.net/images-5/bedroom-in-arles-vincent-van-gogh-d60dfbf9.jpg
b'The Banquet',b'Ren\xc3\xa9 Magritte',b'1958',b'BE',https://az334034.vo.msecnd.net/images-0/the-banquet-rene-magritte-1958-e38cb31a.jpg
b'Woman at Her Toilette',b'Berthe Morisot',b'1880',b'FR',https://az334034.vo.msecnd.net/images-3/woman-at-her-toilette-berthe-morisot-5e0b885f.jpg
b"The Child's Bath",b'Mary Cassatt',b'1893',b'US',https://az333959.vo.msecnd.net/images-2/the-child-s-bath-mary-cassatt-1893-71f3c596.jpg
b'\xce\xa4he two bathers',b'William-Adolphe Bouguereau',b'1884',b'FR',https://az334034.vo.msecnd.net/images-3/untitled-william-adolphe-bouguereau-1884-36ce5b7b.jpg
b'Resting',b'Antonio Mancini',b'1887',b'IT',https://az333960.vo.msecnd.net/images-8/resting-antonio-mancini-1887-59b1fc27.jpg
b'The Eye',b'Ren\xc3\xa9 Magritte',b'1935',b'BE',https://az334033.vo.msecnd.net/images-1/the-eye-rene-magritte-1932-5751ee15.jpg
|b'Champs de Mars, the Red Tower'|,b'Robert Delaunay',b'1911',b'FR',https://az333959.vo.msecnd.net/images-7/champs-de-mars-the-red-tower-robert-delaunay-1911-1f799b12.jpg
b'A Sunday Afternoon on the Island of La Grande Jatte',b'Georges Seurat',b'1886',b'FR',https://az333960.vo.msecnd.net/images-8/a-sunday-afternoon-on-the-island-of-la-grande-jatte-georges-seurat-1884-1-8241366c.jpg
b'Paris Street; Rainy Day',b'Gustave Caillebotte',b'1877',b'FR',https://az334033.vo.msecnd.net/images-7/paris-street-rainy-day-gustave-caillebotte-1877-14a049fa.jpg
|b'Arrival of the Normandy Train, Gare Saint-Lazare'|,b'Claude Monet',b'1877',b'FR',https://az333960.vo.msecnd.net/images-5/arrival-of-the-normandy-train-gare-saint-lazare-claude-monet-06d63757.jpg
|b'The Fountain, Villa Torlonia, Frascati, Italy'|,b'John Singer Sargent',b'1907',b'US',https://az334033.vo.msecnd.net/images-3/the-fountain-villa-torlonia-frascati-italy-john-singer-sargent-b484c4ef.jpg
b'Time Transfixed',b'Ren\xc3\xa9 Magritte',b'1938',b'BE',https://az333959.vo.msecnd.net/images-1/time-transfixed-rene-magritte-1938-cfd18e53.jpg
