Title,Artist,Year,Country,Thumbnail
b'The Hunt in the Forest',b'Paolo Uccello',b'1470',b'IT',https://az333959.vo.msecnd.net/images-8/the-hunt-in-the-forest-paolo-uccello-1470-07a3447a.jpg
b'The Annunciation',b'Paolo Uccello',b'1425',b'IT',https://az334034.vo.msecnd.net/images-6/untitled-paolo-uccello-1425-cc84618a.jpg
b'Acme and Septimius',b'Frederic Leighton',b'1868',b'GB',https://az333959.vo.msecnd.net/images-6/acme-and-septimius-frederic-leighton-1868-7c365f5a.jpg
b'Deposition',b'Anthony van Dyck',b'Deposition',b'NL',https://az334034.vo.msecnd.net/images-3/deposition-anthony-van-dyck-2-6aaad989.jpg
b'A Converted British Family Sheltering a Christian...',b'William Holman Hunt',b'1849',b'GB',https://az333960.vo.msecnd.net/images-9/a-converted-british-family-sheltering-a-christian-missionary-from-the-persecution-of-the-druids-william-holman-hunt-1849-19750bf3.jpg
|b"Julie Pissarro Sewing, the 'Red House', Pontoise"|,b'Camille Pissarro',b'Pontoise',b'FR',https://az334033.vo.msecnd.net/images-8/julie-pissarro-sewing-the-red-house-pontoise-camille-pissarro-ce1910c6.jpg
b'Music',b'Edward Burne-Jones',b'1877',b'GB',https://az334034.vo.msecnd.net/images-1/music-edward-burne-jones-1877-9e619987.jpg
b'Portrait of Giacomo Doria',b'Titian',b'1533',b'IT',https://az334034.vo.msecnd.net/images-5/portrait-of-giacomo-doria-titian-1533-e6c533d3.jpg
b'Moses exposed by the river',b'Nicolas Poussin',b'river',b'FR',https://az334034.vo.msecnd.net/images-0/moses-exposed-by-the-river-nicolas-poussin-5d9a1a04.jpg
b'John Ruskin',b'John Everett Millais',b'1854',b'GB',https://az334034.vo.msecnd.net/images-8/john-ruskin-john-everett-millais-1853-3dcbd7c5.jpg
b'Portrait of Mademoiselle Claus',b'Edouard Manet',b'Claus',b'FR',https://az334033.vo.msecnd.net/images-4/portrait-of-mademoiselle-claus-edouard-manet-c8eb43f6.jpg
b'Reading Madonna',b'Giorgione',b'1505',,https://az333960.vo.msecnd.net/images-9/reading-madonna-giorgione-1505-a5496811.jpg
b'Jeanne Pissarro Called Minette Holding a Fan',b'Camille Pissarro',b'Fan',b'FR',https://az334034.vo.msecnd.net/images-1/jeanne-pissarro-called-minette-holding-a-fan-camille-pissarro-4e40a3c2.jpg
|b'Bath Road, London, (sketch)'|,b'Camille Pissarro',b'1897',b'FR',https://az334034.vo.msecnd.net/images-4/untitled-camille-pissarro-70-396dfbb0.jpg
b'Bouquet of Pink Peonies',b'Camille Pissarro',b'Peonies',b'FR',https://az334033.vo.msecnd.net/images-1/bouquet-of-pink-peonies-camille-pissarro-3e079679.jpg
b"Bathsheba's Bath",b'Johann K\xc3\xb6nig',b'1610',b'DE',https://az334033.vo.msecnd.net/images-1/bathsheba-s-bath-johann-konig-1610-f45fb561.jpg
b'Still life of fruit and flowers',b'Clara Peeters',b'flowers',,https://az333960.vo.msecnd.net/images-0/still-life-of-fruit-and-flowers-clara-peeters-263d9c3e.jpg
b'Ascanius Shooting the Stag of Sylvia',b'Claude Lorrain',b'1682',b'FR',https://az334034.vo.msecnd.net/images-8/ascanius-shooting-the-stag-of-sylvia-claude-lorrain-1682-678bb532.jpg
b'A Garden Urn',b'Edouard Manet',b'1878',b'FR',https://az333959.vo.msecnd.net/images-7/a-garden-urn-edouard-manet-1878-454c2f6e.jpg
b'Interior with a Still Life',b'Abraham Mignon',b'1670',b'DE',https://az334033.vo.msecnd.net/images-4/interior-with-a-still-life-abraham-mignon-1670-651c2f39.jpg
b'Brick Kiln at \xc3\x89ragny',b'Camille Pissarro',b'1885',b'FR',https://az333959.vo.msecnd.net/images-4/brick-kiln-at-eragny-camille-pissarro-1885-778754ab.jpg
b'Portrait of Jan van Huysum',b'Arnold Boonen',b'1720',,https://az334033.vo.msecnd.net/images-1/portrait-of-jan-van-huysum-arnold-boonen-1720-1-88b67356.jpg
b'Shakuntala writing a love letter on a lotus leaf',b'Raja Ravi Varma',b'leaf',,https://az333960.vo.msecnd.net/images-4/shakuntala-writing-a-love-letter-on-a-lotus-leaf-raja-ravi-varma-b6c951e3.jpg
b"A 'Forest Floor' Still Life of Flowers",b'Rachel Ruysch',b'1720',b'NL',https://az334034.vo.msecnd.net/images-5/a-forest-floor-still-life-of-flowers-rachel-ruysch-1720-fdebf063.jpg
b"A Man holding a Carnation to a Woman's Nose: An Allegory...",b'Nicolaes Maes',b'1660',b'NL',https://az334033.vo.msecnd.net/images-7/a-man-holding-a-carnation-to-a-woman-s-nose-an-allegory-of-the-sense-of-smell-nicolaes-maes-1660-154fdb9e.jpg
b'A Vase of Flowers',b'Hans Bollongier',b'1636',b'NL',https://az333960.vo.msecnd.net/images-0/a-vase-of-flowers-hans-bollongier-1636-cf2d7306.jpg
b'Young Woman with a Macaw',b'Giovanni Battista Tiepolo',b'1750',b'IT',https://az333959.vo.msecnd.net/images-5/young-woman-with-a-macaw-giovanni-battista-tiepolo-1750-be8547eb.jpg
b'The Village of \xc3\x89ragny',b'Camille Pissarro',b'1885',b'FR',https://az333960.vo.msecnd.net/images-3/the-village-of-eragny-camille-pissarro-1885-9ed46892.jpg
b'A Vase of Flowers',b'Godfried Schalcken',b'1675',b'NL',https://az333959.vo.msecnd.net/images-9/a-vase-of-flowers-godfried-schalcken-1675-1629492f.jpg
b'Pretty Baa-Lambs',b'Ford Madox Brown',b'1852',b'GB',https://az334034.vo.msecnd.net/images-9/pretty-baa-lambs-ford-madox-brown-1852-c8e79fcc.jpg
b'View from my Window',b'Camille Pissarro',b'Window',b'FR',https://az334033.vo.msecnd.net/images-6/view-from-my-window-camille-pissarro-50d0cee2.jpg
b'A windmill near Zaandam',b'Claude Monet',b'1871',b'FR',https://az334034.vo.msecnd.net/images-2/a-windmill-near-zaandam-claude-monet-1871-37fb8c49.jpg
|b'The Tuileries Gardens, Rainy Weather'|,b'Camille Pissarro',b'1899',b'FR',https://az333960.vo.msecnd.net/images-3/the-tuileries-gardens-rainy-weather-camille-pissarro-1899-8b371362.jpg
