Title,Artist,Year,Country,Thumbnail
b'The Kiss',b'Gustav Klimt',b'1908',b'AT',https://az333960.vo.msecnd.net/images-7/the-kiss-gustav-klimt-1909-d4aa987e.jpg
b'Umarmung (Liebespaar II)',b'Egon Schiele',b'1917',b'AT',https://az333959.vo.msecnd.net/images-8/umarmung-liebespaar-ii-egon-schiele-7e104bdc.jpg
b'Avenue in the Park of Schloss Kammer',b'Gustav Klimt',b'1912',b'AT',https://az333960.vo.msecnd.net/images-2/avenue-in-the-park-of-schloss-kammer-gustav-klimt-1912-0ac9494f.jpg
b'Beethoven Frieze',b'Gustav Klimt',b'1902',b'AT',https://az334034.vo.msecnd.net/images-1/untitled-gustav-klimt-1-14ebbdc6.jpg
b'Mohnfeld',b'Gustav Klimt',b'1907',b'AT',https://az333960.vo.msecnd.net/images-9/mohnfeld-gustav-klimt-1907-84e7400c.jpg
b'The Five Senses by Hans Makart',b'Hans Makart',b'Makart',b'AT',https://az334034.vo.msecnd.net/images-6/the-five-senses-by-hans-makart-hans-makart-69b470c2.jpg
b'Sea beach in the fog',b'Caspar David Friedrich',b'1807',b'DE',https://az333960.vo.msecnd.net/images-4/sea-beach-in-the-fog-caspar-david-friedrich-1807-c825fd85.jpg
|b'Bildnis der Frau des K\xc3\xbcnstlers, Edith Schiele'|,b'Egon Schiele',b'Schiele',b'AT',https://az334034.vo.msecnd.net/images-6/bildnis-der-frau-des-kunstlers-edith-schiele-egon-schiele-21330031.jpg
b'Street in Pontoise (Rue de Gisors)',b'Camille Pissarro',b'Gisors)',b'FR',https://az333960.vo.msecnd.net/images-3/street-in-pontoise-rue-de-gisors-camille-pissarro-067ef6d0.jpg
b'Dr. Hugo Koller',b'Egon Schiele',b'1918',b'AT',https://az334034.vo.msecnd.net/images-9/dr-hugo-koller-egon-schiele-1918-f9bf7ab0.jpg
b'Napoleon Crossing the Alps',b'Jacques-Louis David',b'1801',b'FR',https://az334034.vo.msecnd.net/images-7/napoleon-crossing-the-alps-jacques-louis-david-1801-c2027432.jpg
b'Ober\xc3\xb6sterreichisches Bauernhaus',b'Gustav Klimt',b'1911',b'AT',https://az333959.vo.msecnd.net/images-3/oberosterreichisches-bauernhaus-gustav-klimt-1911-763c1625.jpg
b'Death and the Maiden',b'Egon Schiele',b'1915',b'AT',https://az334033.vo.msecnd.net/images-0/untitled-egon-schiele-1915-b71cac22.jpg
b'Rocky ravine in the Elbe Sandstone Mountains',b'Caspar David Friedrich',b'1822',b'DE',https://az334034.vo.msecnd.net/images-4/rocky-ravine-in-the-elbe-sandstone-mountains-caspar-david-friedrich-1822-ac455b9f.jpg
b'The Plain of Auvers / Wheat Fields near Auvers',b'Vincent van Gogh',b'1889',b'NL',https://az334034.vo.msecnd.net/images-6/untitled-vincent-van-gogh-256-e6e063c2.jpg
b'Woman Playing the Spinet',b'Hans Makart',b'1871',b'AT',https://az334033.vo.msecnd.net/images-8/woman-playing-the-spinet-hans-makart-1871-d5f51633.jpg
b'Adam und Eva',b'Gustav Klimt',b'1917',b'AT',https://az334033.vo.msecnd.net/images-8/adam-und-eva-gustav-klimt-1917-bfcf81d1.jpg
b'Die breite F\xc3\xb6hre n\xc3\xa4chst der Br\xc3\xbchl bei M\xc3\xb6dling',b'Ludwig Ferdinand Schnorr von Carolsfeld',b'1838',,https://az334034.vo.msecnd.net/images-7/untitled-ludwig-ferdinand-schnorr-von-carolsfeld-d7bdba66.jpg
b'Familie',b'Gustav Klimt',b'1909',b'AT',https://az333960.vo.msecnd.net/images-7/familie-gustav-klimt-1909-e80d1bf4.jpg
b'Der Findling',b'Ferdinand Mallitsch',b'1851',,https://az333959.vo.msecnd.net/images-5/der-findling-ferdinand-mallitsch-1851-3acd29a3.jpg
b'Moonrise After the Harvest I',b'Theodor von H\xc3\xb6rmann',b'I',,https://az334034.vo.msecnd.net/images-5/moonrise-after-the-harvest-i-theodor-von-hormann-ca73801e.jpg
b'Austria und die Cholera',b'Leopold Bucher',b'1835',,https://az334033.vo.msecnd.net/images-7/austria-und-die-cholera-leopold-bucher-1835-645ba285.jpg
b'Die Niljagd',b'Hans Makart',b'1876',b'AT',https://az334033.vo.msecnd.net/images-2/die-niljagd-hans-makart-1876-28d0c604.jpg
b'Die Evangelisten Matth\xc3\xa4us und Lukas',b'Anonymous',b'1430',,https://az333960.vo.msecnd.net/images-1/die-evangelisten-matthaus-und-lukas-anonymous-1430-ece4af8e.jpg
b'Der Teich',b'Franti\xc5\xa1ek Slab\xc3\xbd',b'1899',,https://az333960.vo.msecnd.net/images-7/der-teich-frantisek-slaby-1899-0925f2f7.jpg
b'Fr\xc3\xbchmesse',b'Adolph von Menzel',b'1852',b'DE',https://az333960.vo.msecnd.net/images-1/fruhmesse-adolph-von-menzel-1852-c78cb6be.jpg
b'B\xc3\xb6hmerwald (aus der Mappe \xe2\x80\x9e16 Ansichten tschechischer...',b'Ferdinand Frantisek Engelm\xc3\xbcller',b'1902',,https://az334033.vo.msecnd.net/images-3/bohmerwald-aus-der-mappe-16-ansichten-tschechischer-landschaften-ceska-krajina-ferdinand-frantisek-engelmuller-1902-ed8fda94.jpg
b'Kaiser Ferdinand II. stehend',b'Johann Peter Krafft',b'1839',,https://az333959.vo.msecnd.net/images-8/kaiser-ferdinand-ii-stehend-johann-peter-krafft-1839-97166486.jpg
b'Therese Rockert',b'Peter Fendi',b'1829',b'AT',https://az333960.vo.msecnd.net/images-6/therese-rockert-peter-fendi-1829-90b9bb80.jpg
b'The Death of Dido',b'Franz Anton Maulbertsch',b'1786',,https://az334033.vo.msecnd.net/images-2/the-death-of-dido-franz-anton-maulbertsch-1786-df57ca98.jpg
b'Standing Fieldman',b'Franz Anton Maulbertsch',b'1758',,https://az334034.vo.msecnd.net/images-0/standing-fieldman-franz-anton-maulbertsch-1758-8efdd7b2.jpg
b'Magdalena Werner',b'Ferdinand Georg Waldm\xc3\xbcller',b'1835',b'AT',https://az333959.vo.msecnd.net/images-4/magdalena-werner-ferdinand-georg-waldmuller-1835-94aa203b.jpg
|b'Woman, why are you weeping?'|,b'Fritz von Uhde',b'weeping?',,https://az334034.vo.msecnd.net/images-3/woman-why-are-you-weeping-fritz-von-uhde-6e07a5ac.jpg
b'Aloisia Eltz im Lehnstuhl',b'Ferdinand Georg Waldm\xc3\xbcller',b'1834',b'AT',https://az334034.vo.msecnd.net/images-3/aloisia-eltz-im-lehnstuhl-ferdinand-georg-waldmuller-1834-25ba9d0c.jpg
b'\xc3\x96sterreichischer Husar',b'Piotr Micha\xc5\x82owski',b'1830',,https://az333960.vo.msecnd.net/images-1/osterreichischer-husar-piotr-michalowski-1830-c292fdd8.jpg
b'Der galante Helfer',b'Adam Johann Braun',b'1785',,https://az333959.vo.msecnd.net/images-6/der-galante-helfer-adam-johann-braun-1785-914ebb89.jpg
b'Blick von der H\xc3\xbctteneckalm auf den Hallst\xc3\xa4tter See und...',b'Friedrich Loos',b'1832',,https://az333960.vo.msecnd.net/images-5/blick-von-der-hutteneckalm-auf-den-hallstatter-see-und-den-dachstein-friedrich-loos-1832-570a149e.jpg
b'Familienbildnis',b'Martin Johann Schmidt',b'1790',,https://az334034.vo.msecnd.net/images-0/familienbildnis-martin-johann-schmidt-1790-dd691b87.jpg
b'Stillleben mit Wildente und Jagdtasche I',b'Carl Schuch',b'1881',,https://az334033.vo.msecnd.net/images-5/stillleben-mit-wildente-und-jagdtasche-i-carl-schuch-1881-c84d9393.jpg
b'The Martyrdom of the Holy Quirinus',b'Franz Anton Maulbertsch',b'1791',,https://az333959.vo.msecnd.net/images-3/the-martyrdom-of-the-holy-quirinus-franz-anton-maulbertsch-1791-5303185a.jpg
|b'Beethoven Frieze (plate 4, left wall): Yearning for...'|,b'Gustav Klimt',b'1901',b'AT',https://az333959.vo.msecnd.net/images-2/beethoven-frieze-plate-4-left-wall-yearning-for-happiness-gustav-klimt-1901-06d30b4a.jpg
|b'Radbot, Graf von Habsburg zeigt seinem Bruder Bischof...'|,b'Ferdinand Schubert',b'1853',,https://az334033.vo.msecnd.net/images-1/radbot-graf-von-habsburg-zeigt-seinem-bruder-bischof-werner-seine-bewaffneten-getreuen-ferdinand-schubert-1853-19f31b92.jpg
b'Kopf eines Fleischerhundes',b'Anton Romako',b'1881',b'AT',https://az334034.vo.msecnd.net/images-7/kopf-eines-fleischerhundes-anton-romako-1881-e310c0e1.jpg
b'Der kleine Patient',b'Franz Rumpler',b'1873',,https://az333959.vo.msecnd.net/images-7/der-kleine-patient-franz-rumpler-1873-6e609625.jpg
b'Die Rast',b'Wenzel Franz J\xc3\xa4ger',b'1905',,https://az334034.vo.msecnd.net/images-8/die-rast-wenzel-franz-jager-1905-ed3f44f1.jpg
b'M\xc3\xbchlwehr in Plankenberg',b'Emil Jakob Schindler',b'1890',,https://az333959.vo.msecnd.net/images-8/muhlwehr-in-plankenberg-emil-jakob-schindler-1890-0791e2d8.jpg
b'The Naschmarkt in Vienna',b'Carl Moll',b'1894',,https://az333960.vo.msecnd.net/images-2/the-naschmarkt-in-vienna-carl-moll-1894-883ffa26.jpg
b'Holl\xc3\xa4ndische Winterlandschaft (Schneewehen)',b'Remigius Adrianus Haanen',b'1870',,https://az334033.vo.msecnd.net/images-7/hollandische-winterlandschaft-schneewehen-remigius-adrianus-haanen-1870-5c3b5b62.jpg
b'Die Heilige Sippe',b'Felix Ivo Leicher',b'1770',,https://az333959.vo.msecnd.net/images-5/die-heilige-sippe-felix-ivo-leicher-1770-d6fb7271.jpg
b'Tod Mariens',b'Anonymous',b'1500',,https://az334034.vo.msecnd.net/images-0/tod-mariens-anonymous-1500-e41d096d.jpg
b'Der Judaskuss',b'Giuseppe Diotti',b'1840',,https://az334033.vo.msecnd.net/images-4/der-judaskuss-giuseppe-diotti-1840-de45b25d.jpg
b'Damenbildnis',b'Anonymous',b'1830',,https://az333959.vo.msecnd.net/images-6/damenbildnis-anonymous-1830-1351763b.jpg
b'Der Schah von Persien N\xc4\x81ser ad-D\xc4\xabn Sch\xc4\x81h',b'Hakob Hovnatanyan',b'1865',,https://az334034.vo.msecnd.net/images-2/der-schah-von-persien-naser-ad-din-schah-hakob-hovnatanyan-1865-3653dd35.jpg
b'Christus und die neun Engelch\xc3\xb6re erwarten Maria vor...',b'Josef Winterhalder der J\xc3\xbcngere',b'1781',,https://az333959.vo.msecnd.net/images-8/christus-und-die-neun-engelchore-erwarten-maria-vor-seinem-und-ihrem-thron-josef-winterhalder-der-jungere-1781-eb5542ff.jpg
b'Landschaft mit Reptilien und Insekten (I)',b'Johann Adalbert Angermayer',b'1735',,https://az334033.vo.msecnd.net/images-7/landschaft-mit-reptilien-und-insekten-i-johann-adalbert-angermayer-1735-e5828fa5.jpg
b'Italienische Landschaft mit pfl\xc3\xbcgendem Landmann (Die...',b'Joseph Anton Koch',b'1825',b'AT',https://az333960.vo.msecnd.net/images-1/italienische-landschaft-mit-pflugendem-landmann-die-serpentara-bei-olevano-landschaft-bei-paliano-joseph-anton-koch-1825-5a7ecd00.jpg
b'Evening',b'Johann Franz Nepomuk Lauterer',b'Evening',,https://az333960.vo.msecnd.net/images-5/evening-johann-franz-nepomuk-lauterer-85f42b97.jpg
|b'Herr Wohlleben, der Bruder des Wiener B\xc3\xbcrgermeisters...'|,b'Ferdinand Georg Waldm\xc3\xbcller',b'1836',b'AT',https://az333959.vo.msecnd.net/images-8/herr-wohlleben-der-bruder-des-wiener-burgermeisters-franz-wohlleben-ferdinand-georg-waldmuller-1836-0c8c93c6.jpg
b'Alter Mann auf dem Totenbett',b'Gustav Klimt',b'1899',b'AT',https://az334034.vo.msecnd.net/images-4/alter-mann-auf-dem-totenbett-gustav-klimt-1899-c8e7bbdd.jpg
|b'Beethoven Frieze (plate 8, right wall): Yearning for...'|,b'Gustav Klimt',b'1901',b'AT',https://az333960.vo.msecnd.net/images-2/beethoven-frieze-plate-8-right-wall-yearning-for-happiness-is-assuaged-in-poetry-gustav-klimt-1901-7bff9b08.jpg
b'Amalie Zuckerkandl',b'Gustav Klimt',b'1917',b'AT',https://az334033.vo.msecnd.net/images-9/amalie-zuckerkandl-gustav-klimt-1917-267d9520.jpg
b'Die f\xc3\xbcnf Sinne: Das Geh\xc3\xb6r',b'Hans Makart',b'1850',b'AT',https://az334033.vo.msecnd.net/images-9/die-funf-sinne-das-gehor-hans-makart-1850-0aed1e08.jpg
b'Leopold Musch at the age of 35',b'Johann Michael Neder',b'1848',,https://az334034.vo.msecnd.net/images-7/leopold-musch-at-the-age-of-35-johann-michael-neder-1848-3e512fb3.jpg
b'Waldlichtung mit Disteln',b'Anton Romako',b'1885',b'AT',https://az334034.vo.msecnd.net/images-7/waldlichtung-mit-disteln-anton-romako-1885-64ea97eb.jpg
b'Aus den Tuilerien \xe2\x80\x93 Grauer Tag',b'Tina Blau',b'1883',,https://az333959.vo.msecnd.net/images-7/aus-den-tuilerien-grauer-tag-tina-blau-1883-ec4a9078.jpg
b'Islamischer Theologe mit Koran',b'Osman Hamdi Bey',b'1902',,https://az334034.vo.msecnd.net/images-6/islamischer-theologe-mit-koran-osman-hamdi-bey-1902-16cb6fd6.jpg
