Title,Artist,Year,Country,Thumbnail
b'Landscape with Trees and Figures',b'Vincent van Gogh',b'1889',b'NL',https://az334034.vo.msecnd.net/images-7/untitled-vincent-van-gogh-153-5e2819aa.jpg
b'Vahine no te vi',b'Paul Gauguin',b'vi',b'FR',https://az334033.vo.msecnd.net/images-2/vahine-no-te-vi-paul-gauguin-9df168ce.jpg
b'A Smiling Young Man (Titus)',b'Rembrandt',b'(Titus)',b'NL',https://az333959.vo.msecnd.net/images-8/a-smiling-young-man-titus-rembrandt-30fc3881.jpg
b'Portrait of a woman aged 28',b'Frans Hals',b'1634',b'NL',https://az334034.vo.msecnd.net/images-4/portrait-of-a-woman-aged-28-frans-hals-1634-6a10b5e0.jpg
b'Portrait of Dorothea Berck',b'Frans Hals',b'1644',b'NL',https://az334033.vo.msecnd.net/images-5/portrait-of-dorothea-berck-frans-hals-1644-df2fa4da.jpg
b'Portrait de la princesse Anna Alexandrovna Golytsyna',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1797',b'FR',https://az334033.vo.msecnd.net/images-8/portrait-de-la-princesse-anna-alexandrovna-golytsyna-louise-elisabeth-vigee-le-brun-1797-4cf6e5fd.jpg
b'Avenue des oliviers',b'Auguste Renoir',b'1905',b'FR',https://az334034.vo.msecnd.net/images-1/avenue-des-oliviers-pierre-auguste-renoir-1905-d86093a7.jpg
b'Portrait of Nicolaas Rockox',b'Anonymous',b'1642',,https://az333960.vo.msecnd.net/images-7/portrait-of-nicolaas-rockox-anonymous-1642-3d46b165.jpg
|b'Paysage, \xc3\xa9tude (La ferme)'|,b'Auguste Renoir',b'1900',b'FR',https://az334034.vo.msecnd.net/images-3/paysage-etude-la-ferme-pierre-auguste-renoir-1900-50b4b0df.jpg
b'Madonna Adoring the Child with Five Angels',b'Sandro Botticelli',b'1480',b'IT',https://az334033.vo.msecnd.net/images-7/madonna-adoring-the-child-with-five-angels-sandro-botticelli-1480-c1f59231.jpg
b'Portrait of Emilia Pia da Montefeltro',b'Raphael',b'1504',b'IT',https://az334034.vo.msecnd.net/images-7/portrait-of-emilia-pia-da-montefeltro-raphael-1504-31dc3da0.jpg
b'Mountains Mont Sainte-Victoire Seen from the Bib\xc3\xa9mus Quarry',b'Paul C\xc3\xa9zanne',b'1898',b'FR',https://az333959.vo.msecnd.net/images-2/mountains-mont-sainte-victoire-seen-from-the-bibemus-quarry-paul-cezanne-1898-6f58866a.jpg
b'The Forager',b'Gilbert Gaul',b'Forager',,https://az333959.vo.msecnd.net/images-4/the-forager-gilbert-gaul-f580902b.jpg
|b'View of St. Lazare Railway Station, Paris'|,b'Norbert Goeneutte',b'1887',b'FR',https://az334033.vo.msecnd.net/images-1/view-of-st-lazare-railway-station-paris-norbert-goeneutte-1887-6bb4fa51.jpg
b'Bust of an Old Man Wearing a Red Hat',b'Rembrandt',b'Hat',b'NL',https://az334033.vo.msecnd.net/images-0/bust-of-an-old-man-wearing-a-red-hat-rembrandt-183670cf.jpg
b'The Game of Knucklebones',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1734',b'FR',https://az333960.vo.msecnd.net/images-4/the-game-of-knucklebones-jean-baptiste-simeon-chardin-1734-71c633a2.jpg
b'Preparatory Sketch for the Painting La Gr\xc3\xa8ve du Bas-Butin...',b'Georges Seurat',b'1886',b'FR',https://az333960.vo.msecnd.net/images-6/preparatory-sketch-for-the-painting-la-greve-du-bas-butin-honfleur-georges-seurat-1886-0104ceba.jpg
|b'Le pont de Waterloo, effet de soleil avec fum\xc3\xa9es'|,b'Claude Monet',b'1900',b'FR',https://az333960.vo.msecnd.net/images-5/le-pont-de-waterloo-effet-de-soleil-avec-fumees-claude-monet-1900-563a81e9.png
|b'Charing Cross Bridge, reflets sur la Tamise'|,b'Claude Monet',b'1900',b'FR',https://az333959.vo.msecnd.net/images-5/charing-cross-bridge-reflets-sur-la-tamise-claude-monet-1900-8967f2dd.jpg
b"Environs de Ville-d'Avray",b'Jean-Baptiste-Camille Corot',b'1860',b'FR',https://az333960.vo.msecnd.net/images-6/environs-de-ville-d-avray-camille-corot-1860-2e05052e.jpg
b"Portrait d'un architecte et de sa famille",b'Marguerite G\xc3\xa9rard',b'1788',,https://az333960.vo.msecnd.net/images-1/portrait-d-un-architecte-et-de-sa-famille-marguerite-gerard-1788-b6a0ede7.jpg
b'Vase de fleurs',b'Auguste Renoir',b'1890',b'FR',https://az333960.vo.msecnd.net/images-0/vase-de-fleurs-pierre-auguste-renoir-1890-d0da9eae.jpg
b'In the Garden',b'Joshua Johnson',b'1802',,https://az333959.vo.msecnd.net/images-5/in-the-garden-joshua-johnson-1802-3297718a.png
b'Rinaldo and Armida',b'Anthony van Dyck',b'1629',b'NL',https://az334034.vo.msecnd.net/images-8/rinaldo-and-armida-anthony-van-dyck-1629-1-d43ea487.jpg
b'Moses Sweetening the Bitter Waters of Marah',b'Nicolas Poussin',b'1628',b'FR',https://az333959.vo.msecnd.net/images-8/moses-sweetening-the-bitter-waters-of-marah-nicolas-poussin-1628-b8bcfedd.jpg
