Title,Artist,Year,Country,Thumbnail
|b'Symphony in White, No. 3'|,b'James Abbott McNeill Whistler',b'1865',b'US',https://az333960.vo.msecnd.net/images-6/symphony-in-white-no-3-james-abbott-mcneill-whistler-1865-52cf320b.jpg
b"L'\xc3\xa9glise de Varengeville \xc3\xa0 contre-jour",b'Claude Monet',b'1882',b'FR',https://az334033.vo.msecnd.net/images-9/l-eglise-de-varengeville-a-contre-jour-claude-monet-1882-d53d1f5b.jpg
b'Nautilus Cup with Silver Vessels',b'Jan Davidsz. de Heem',b'Vessels',b'NL',https://az333959.vo.msecnd.net/images-9/nautilus-cup-with-silver-vessels-jan-davidsz-de-heem-701d798b.jpg
b'Tomb of the Duke of Devonshire',b'Sebastiano Ricci',b'1725',b'IT',https://az334034.vo.msecnd.net/images-2/tomb-of-the-duke-of-devonshire-sebastiano-ricci-1725-485596c6.jpg
b'Portrait of Niccol\xc3\xb2 Vitelli',b'Luca Signorelli',b'1492',,https://az334034.vo.msecnd.net/images-3/portrait-of-niccolo-vitelli-luca-signorelli-1492-19d2eb7c.jpg
b'A Wooded Landscape',b'Jacob van Ruisdael',b'Landscape',b'NL',https://az333960.vo.msecnd.net/images-8/a-wooded-landscape-jacob-van-ruisdael-40e81dd0.jpg
b'Paolo and Francesca',b'Jean-Auguste-Dominique Ingres',b'1817',b'FR',https://az333959.vo.msecnd.net/images-5/paolo-and-francesca-jean-auguste-dominique-ingres-1817-fd102841.jpg
b'Peasant Woman Digging',b'Vincent van Gogh',b'1885',b'NL',https://az333960.vo.msecnd.net/images-2/peasant-woman-digging-vincent-van-gogh-1885-bde1adf3.jpg
b'Hercules and Deianira',b'Jan Gossaert',b'1517',b'NL',https://az333959.vo.msecnd.net/images-1/hercules-and-deianira-jan-gossaert-1517-916e3a58.jpg
b'Miss Bentham',b'George Bellows',b'Bentham',b'US',https://az334034.vo.msecnd.net/images-0/miss-bentham-george-bellows-a479dd31.jpg
b'Portrait of a man with a skull',b'Frans Hals',b'1611',b'NL',https://az334033.vo.msecnd.net/images-8/portrait-of-a-man-with-a-skull-frans-hals-1611-b702a9eb.jpg
b'The Harvest Wagon',b'Thomas Gainsborough',b'1767',b'GB',https://az334033.vo.msecnd.net/images-0/the-harvest-wagon-thomas-gainsborough-1767-454958cd.jpg
b'The Nativity',b'Jan de Beer',b'Nativity',,https://az333960.vo.msecnd.net/images-5/the-nativity-jan-de-beer-c08ecb14.jpg
b'Untitled',b'Nicolas Poussin',b'Untitled',b'FR',https://az333960.vo.msecnd.net/images-8/untitled-nicolas-poussin-1-2d69c687.jpg
b'A Woman Seated in a Garden',b'Henri de Toulouse-Lautrec',b'1890',b'FR',https://az334033.vo.msecnd.net/images-4/a-woman-seated-in-a-garden-henri-de-toulouse-lautrec-1890-73f4c788.jpg
b'Portrait of Countess Golovina',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1797',b'FR',https://az334033.vo.msecnd.net/images-7/portrait-of-countess-golovina-louise-elisabeth-vigee-le-brun-1797-3584b37b.jpg
b'The Madonna and Child with the Infant Saint John the Baptist',b'Sandro Botticelli',b'1450',b'IT',https://az334033.vo.msecnd.net/images-0/the-madonna-and-child-with-the-infant-saint-john-the-baptist-sandro-botticelli-1450-e657b828.jpg
b'Jason Taming the Bulls of Aeetes',b'Jean Fran\xc3\xa7ois de Troy',b'1742',,https://az333960.vo.msecnd.net/images-1/jason-taming-the-bulls-of-aeetes-jean-francois-de-troy-1742-07316eca.jpg
b'Portrait of a Man',b'Christoph Amberger',b'1540',,https://az333960.vo.msecnd.net/images-3/portrait-of-a-man-christoph-amberger-1540-cc153547.jpg
b'The Entry of Bonaparte into Milan',b'Hippolyte Bellang\xc3\xa9',b'1823',,https://az333959.vo.msecnd.net/images-9/the-entry-of-bonaparte-into-milan-hippolyte-bellange-1823-bd383592.jpg
b'Lovers in a Landscape',b'Nicolas Lancret',b'1736',b'FR',https://az333959.vo.msecnd.net/images-5/lovers-in-a-landscape-nicolas-lancret-1736-7c03aafd.jpg
b'The Attributes of Painting',b'Fran\xc3\xa7ois Bonvin',b'1879',,https://az334034.vo.msecnd.net/images-6/the-attributes-of-painting-francois-bonvin-1879-f071f9b8.jpg
b'A Beach near Trouville',b'Eug\xc3\xa8ne Louis Boudin',b'1895',,https://az334033.vo.msecnd.net/images-2/a-beach-near-trouville-eugene-louis-boudin-1895-45c5cae9.jpg
b'A Landscape with Distant Mountains',b'Jean-Baptiste Camille Corot',b'1842',,https://az334034.vo.msecnd.net/images-8/a-landscape-with-distant-mountains-jean-baptiste-camille-corot-1842-0621bf9b.jpg
b'A mother and child by the sea',b'Johan Christian Dahl',b'1840',b'NO',https://az334033.vo.msecnd.net/images-1/a-mother-and-child-by-the-sea-johan-christian-dahl-1840-744102b0.jpg
b'Bleaching Ground',b'David Teniers the Younger',b'1645',b'NL',https://az334034.vo.msecnd.net/images-0/bleaching-ground-david-teniers-the-younger-1645-794a49a0.jpg
b'The Sun Rising through Vapour.',b'J M W Turner',b'1809',,https://az334034.vo.msecnd.net/images-6/the-sun-rising-through-vapour-j-m-w-turner-1809-12a725c5.jpg
b'A Pastoral Landscape',b'Claude Lorrain',b'1645',b'FR',https://az334033.vo.msecnd.net/images-3/a-pastoral-landscape-claude-lorrain-1645-9d771e0e.jpg
b'The Reader',b'Marguerite G\xc3\xa9rard',b'1817',,https://az333959.vo.msecnd.net/images-1/the-reader-marguerite-gerard-1817-e0925bd1.jpg
