Title,Artist,Year,Country,Thumbnail
b'Mont Sainte-Victoire (La Montagne Sainte-Victoire)',b'Paul C\xc3\xa9zanne',b'1895',b'FR',https://az333960.vo.msecnd.net/images-0/mont-sainte-victoire-seen-from-bellevue-paul-cezanne-1885-9988d8a9.jpg
b'Woman with White Stockings',b'Gustave Courbet',b'1864',b'FR',https://az334033.vo.msecnd.net/images-8/untitled-gustave-courbet-5-57387885.jpg
b'Le Linge',b'Edouard Manet',b'1875',b'FR',https://az334034.vo.msecnd.net/images-5/untitled-edouard-manet-1875-b0fd7b52.jpg
b'Girl with a Polka-Dot Blouse',b'Amedeo Modigliani',b'1919',b'IT',https://az334034.vo.msecnd.net/images-3/girl-with-a-polka-dot-blouse-amedeo-modigliani-1919-a438700a.jpg
b'Le Bateau goudronn\xc3\xa9',b'Edouard Manet',b'1873',b'FR',https://az333959.vo.msecnd.net/images-1/untitled-edouard-manet-1873-2c5edadb.jpg
b'Reclining Nude from the Back',b'Amedeo Modigliani',b'1917',b'IT',https://az334034.vo.msecnd.net/images-7/reclining-nude-from-the-back-amedeo-modigliani-ace23622.jpg
b'Mr. Loulou (Louis Le Ray)',b'Paul Gauguin',b'1890',b'FR',https://az333959.vo.msecnd.net/images-1/mr-loulou-louis-le-ray-paul-gauguin-1890-c189efe6.jpg
b'The Factory at Asnieres',b'Vincent van Gogh',b'1887',b'NL',https://az334034.vo.msecnd.net/images-6/the-factory-at-asnieres-vincent-van-gogh-1887-6b194fe3.jpg
b'Bouquet of Flowers with China Asters and Tokyos',b'Henri Rousseau',b'1910',b'FR',https://az334033.vo.msecnd.net/images-0/bouquet-of-flowers-with-china-asters-and-tokyos-henri-rousseau-1910-342ed211.jpg
b'Models',b'Georges Seurat',b'1888',b'FR',https://az334034.vo.msecnd.net/images-8/untitled-georges-seurat-1884-9cd54db7.jpg
b"The Rabbit's Meal (Le Repas du lapin)",b'Henri Rousseau',b'1908',b'FR',https://az334033.vo.msecnd.net/images-1/the-rabbit-s-meal-le-repas-du-lapin-henri-rousseau-1908-45473838.jpg
b'Henriot Family (La Famille Henriot)',b'Auguste Renoir',b'1875',b'FR',https://az334033.vo.msecnd.net/images-5/henriot-family-la-famille-henriot-pierre-auguste-renoir-1875-0155712a.jpg
b'Cypresses and Houses at Cagnes (Cypr\xc3\xa8s et maisons \xc3\xa0 Cagnes)',b'Amedeo Modigliani',b'1919',b'IT',https://az334034.vo.msecnd.net/images-1/cypresses-and-houses-at-cagnes-amedeo-modigliani-5232c8ee.jpg
b'Nude Woman on a Bed',b'Vincent van Gogh',b'1887',b'NL',https://az333959.vo.msecnd.net/images-2/nude-woman-on-a-bed-vincent-van-gogh-1887-02cfe7e9.jpg
b'Woman Walking in an Exotic Forest',b'Henri Rousseau',b'1905',b'FR',https://az334034.vo.msecnd.net/images-4/woman-walking-in-an-exotic-forest-femme-se-promenant-dans-une-foret-exotique-henri-rousseau-1905-a63cfad5.jpg
b'Jeanne H\xc3\xa9buterne',b'Amedeo Modigliani',b'1919',b'IT',https://az333960.vo.msecnd.net/images-1/jeanne-hebuterne-amedeo-modigliani-1919-4cbc0548.jpg
b'Sleeping Shepherd',b'Titian',b'1510',b'IT',https://az333959.vo.msecnd.net/images-6/endymion-and-his-flock-titian-1508-cc32c6de.jpg
b'Saint George and the Dragon (Saint Georges et le dragon)',b'Odilon Redon',b'1910',b'FR',https://az333959.vo.msecnd.net/images-5/saint-george-and-the-dragon-saint-georges-et-le-dragon-odilon-redon-1910-1bead890.jpg
