Title,Artist,Year,Country,Thumbnail
b'Achilles Lamenting the Death of Patroclus',b'Nikolai Ge',b'1855',,https://az333959.vo.msecnd.net/images-3/achilles-lamenting-the-death-of-patroclus-nikolai-ge-1855-ed49656b.jpg
b'Night at the Rodos island',b'Ivan Aivazovsky',b'island',b'RU',https://az333960.vo.msecnd.net/images-6/night-at-the-rodos-island-ivan-aivazovsky-d8929f14.jpg
b'Moonlight night. Zdravnevo',b'Ilya Repin',b'Zdravnevo',b'RU',https://az333959.vo.msecnd.net/images-8/moonlight-night-zdravnevo-ilya-repin-a9a05828.jpg
b'Untitled',b'Ivan Khrutsky',b'1896',,https://az333959.vo.msecnd.net/images-6/untitled-ivan-khrutsky-1896-49828c4b.jpg
b'Partisan Madonna of Minsk',b'Mikhail Savicki',b'Minsk',,https://az334034.vo.msecnd.net/images-6/partisan-madonna-of-minsk-mikhail-savicki-2df299b7.jpg
b'Untitled',b'Yehuda Pen',b'Untitled',b'LT',https://az334034.vo.msecnd.net/images-0/untitled-yehuda-pen-5339609a.jpg
b'Untitled',b'Stanislav Zhukovsky',b'Untitled',,https://az334034.vo.msecnd.net/images-0/untitled-stanislav-zhukovsky-1-2433e124.jpg
b'Untitled',b'Jacob Kruger',b'Untitled',,https://az333960.vo.msecnd.net/images-3/untitled-jacob-kruger-2-e072f51d.jpg
b'View of the Borghese Gardens in Rome',b'Hubert Robert',b'1772',b'FR',https://az333960.vo.msecnd.net/images-9/view-of-the-borghese-gardens-in-rome-hubert-robert-1772-85f28262.jpg
b'Untitled',b'Jacob Kruger',b'Untitled',,https://az334033.vo.msecnd.net/images-8/untitled-jacob-kruger-1-48a81bb9.jpg
b'At the church',b'Ferdynand Ruszczyc',b'1899',,https://az334034.vo.msecnd.net/images-7/untitled-ferdynand-ruszczyc-15f1e609.jpg
b'New fairy tale',b'Nikolay Bogdanov-Belsky',b'tale',b'RU',https://az334034.vo.msecnd.net/images-4/new-fairy-tale-nikolay-bogdanov-belsky-51791d0f.jpg
b'Untitled',b'Ivan Shishkin',b'1884',b'RU',https://az334033.vo.msecnd.net/images-6/untitled-ivan-shishkin-19e6e781.jpg
b'Untitled',b'Nikolai Nevrev',b'Untitled',,https://az333960.vo.msecnd.net/images-1/untitled-nikolai-nevrev-aa11ad79.jpg
b'View of a Fountain with an Obelisk and the Ruins of an...',b'Hubert Robert',b'1790',b'FR',https://az334033.vo.msecnd.net/images-1/view-of-a-fountain-with-an-obelisk-and-the-ruins-of-an-aqueduct-hubert-robert-1790-148ca015.jpg
b'Portrait of Micha\xc5\x82 Serwacy Wi\xc5\x9bniowiecki',b'Anonymous',b'Wi\xc5\x9bniowiecki',,https://az334034.vo.msecnd.net/images-2/portrait-of-michal-serwacy-wisniowiecki-anonymous-430d3d42.jpg
b'Untitled',b'Pieter Thijs',b'Untitled',,https://az334033.vo.msecnd.net/images-6/untitled-pieter-thijs-1-d515db42.jpg
b'Untitled',b'Anonymous',b'Untitled',,https://az333959.vo.msecnd.net/images-3/untitled-anonymous-41-ec924f12.png
b'Untitled',b'Lev Alperovich',b'1905',,https://az334033.vo.msecnd.net/images-2/untitled-lev-alperovich-1905-8242c5ca.jpg
b'Untitled',b'Anonymous',b'Untitled',,https://az334033.vo.msecnd.net/images-1/untitled-anonymous-274-aa350949.jpg
b'Untitled',b'Philips Wouwerman',b'Untitled',,https://az334033.vo.msecnd.net/images-0/untitled-philips-wouwerman-2-94c3c207.jpg
b'Untitled',b'Andreas Stech',b'1670',,https://az333960.vo.msecnd.net/images-2/untitled-andreas-stech-1670-62b7bfda.png
b'Untitled',b'Apollinary Goravsky',b'1857',,https://az333960.vo.msecnd.net/images-5/untitled-apollinary-goravsky-1857-637910c3.jpg
b'Untitled',b'Louis de Silvestre',b'1720',,https://az334034.vo.msecnd.net/images-3/untitled-louis-de-silvestre-1720-1-eb0a7b4f.jpg
b'Midsummer night',b'Micha\xc5\x9b Filipovi\xc4\x8d',b'night',,https://az333959.vo.msecnd.net/images-1/midsummer-night-michas-filipovic-1f842d0f.jpg
b"In the Protected Peter's the Great Oak Grove (In Sestroreck)",b'Ivan Shishkin',b'1886',b'RU',https://az334033.vo.msecnd.net/images-6/in-the-protected-peter-s-the-great-oak-grove-in-sestroreck-ivan-shishkin-1886-dd8bdd12.jpg
b'Untitled',b'Anonymous',b'1620',,https://az334034.vo.msecnd.net/images-2/untitled-anonymous-1620-29e3fae5.jpg
b'Woman near sea',b'Lev Alperovich',b'1905',,https://az334034.vo.msecnd.net/images-7/woman-near-sea-lev-alperovich-1905-06b3d0eb.jpg
b'Rest',b'Carl Friedrich Schulz',b'Rest',,https://az334034.vo.msecnd.net/images-5/rest-carl-friedrich-schulz-4ee068ec.jpg
b'Untitled',b'Anonymous',b'1630',,https://az333960.vo.msecnd.net/images-7/untitled-anonymous-1630-4-aa1c4b05.jpg
b'Untitled',b'Mikola Tarasika\xc5\xad',b'1940',,https://az333959.vo.msecnd.net/images-2/untitled-mikola-tarasikau-1940-22d155b1.jpg
b'Mercury and Argus',b'Jan van Kessel the Elder',b'Argus',,https://az333960.vo.msecnd.net/images-1/mercury-and-argus-jan-van-kessel-the-elder-b6272793.jpg
