Title,Artist,Year,Country,Thumbnail
b'The Oath-taking in the Church of Aghia Lavra',b'Theodoros Vryzakis',b'1851',b'GR',https://az334034.vo.msecnd.net/images-7/the-oath-taking-in-the-church-of-aghia-lavra-theodoros-vryzakis-1851-31e3bdd4.jpg
b'Archangel Eliel with Harquebus',b'Nikolaos Gyzis',b'1894',b'GR',https://az333959.vo.msecnd.net/images-8/archangel-eliel-with-harquebus-nikolaos-gyzis-1894-3f0f617c.jpg
b'Girl from Megara',b'Nikolaos Gyzis',b'1875',b'GR',https://az333960.vo.msecnd.net/images-5/girl-from-megara-nikolaos-gyzis-1875-385619c1.jpg
b'Tailor \xce\x99\xce\x99\xce\x99',b'Nikos Hadjikyriakos-Ghika',b'1936',,https://az334034.vo.msecnd.net/images-4/tailor-nikos-hadjikyriakos-ghika-1936-601f9603.jpg
b'Old man wearing a red fez',b'Nikolaos Gyzis',b'1842',b'GR',https://az334033.vo.msecnd.net/images-1/old-man-wearing-a-red-fez-nikolaos-gyzis-1842-8d170b1c.jpg
b'Adoration of the Magi',b'El Greco',b'1565',b'GR',https://az334034.vo.msecnd.net/images-3/untitled-el-greco-1565-d9d3e192.jpg
b'Shell',b'Nikos Hadjikyriakos-Ghika',b'1930',,https://az333960.vo.msecnd.net/images-8/shell-nikos-hadjikyriakos-ghika-1930-8f9735c8.jpg
b'Interior with grandmother',b'Nikos Hadjikyriakos-Ghika',b'1921',,https://az333960.vo.msecnd.net/images-7/interior-with-grandmother-nikos-hadjikyriakos-ghika-1921-5b2fb395.jpg
b'\xce\x9c\xce\xb9\xce\xba\xcf\x81\xce\xae \xce\x8e\xce\xb4\xcf\x81\xce\xb1',b'Nikos Hadjikyriakos-Ghika',b'1947',,https://az333959.vo.msecnd.net/images-0/mikri-udra-nikos-hadjikyriakos-ghika-1947-08f8152a.jpg
b'Party by the sea II',b'Nikos Hadjikyriakos-Ghika',b'1979',,https://az333959.vo.msecnd.net/images-0/party-by-the-sea-ii-nikos-hadjikyriakos-ghika-1979-98b92b1c.jpg
|b'Aristophanes, "Plutus"'|,b'Yannis Moralis',b'1957',b'GR',https://az333960.vo.msecnd.net/images-1/aristophanes-plutus-yannis-moralis-1957-8e59b5cf.jpg
b'Greek Warrior / \xce\x88\xce\xbb\xce\xbb\xce\xb7\xce\xbd\xce\xb1\xcf\x82 \xce\xb1\xcf\x81\xce\xbc\xce\xb1\xcf\x84\xce\xbf\xce\xbb\xcf\x8c\xcf\x82',b'Carl Haag',b'1861',b'DE',https://az334033.vo.msecnd.net/images-5/ellinas-armatolos-greek-warrior-carl-haag-1861-75526c2f.jpg
b'St Catherine and scenes from her life',b'Konstantinos Tzanes',b'life',b'GR',https://az333960.vo.msecnd.net/images-4/st-catherine-and-scenes-from-her-life-emmanuel-tzanes-0fecc8c6.jpg
b'St Mark the Evangelist',b'Emmanuel Tzanes',b'1657',b'GR',https://az334033.vo.msecnd.net/images-1/st-mark-the-evangelist-emmanuel-tzanes-1657-43ff1336.jpg
b'London Roofs I',b'Nikos Hadjikyriakos-Ghika',b'I',,https://az333959.vo.msecnd.net/images-6/london-roofs-i-nikos-hadjikyriakos-ghika-38264d77.jpg
b'Green and silver',b'Nikos Hadjikyriakos-Ghika',b'1957',,https://az333959.vo.msecnd.net/images-0/green-and-silver-nikos-hadjikyriakos-ghika-1957-cde5e2ed.jpg
b'Angel',b'Yannis Moralis',b'1960',b'GR',https://az333960.vo.msecnd.net/images-7/angel-yannis-moralis-1960-4d97884b.jpg
b'Two boats at Aspropyrgos',b'Nikos Hadjikyriakos-Ghika',b'1934',,https://az333960.vo.msecnd.net/images-1/two-boats-at-aspropyrgos-nikos-hadjikyriakos-ghika-1934-222edccc.jpg
b'The Bazaar at Athens',b'Edward Dodwell',b'1800',,https://az334034.vo.msecnd.net/images-7/the-bazaar-at-athens-edward-dodwell-1800-56a9d1dd.jpg
b'Lord Byron',b'Anonymous',b'1830',,https://az333960.vo.msecnd.net/images-1/lord-byron-anonymous-1830-47db3908.jpg
b'Othon as a young man',b'Joseph Karl Stieler',b'1832',,https://az334034.vo.msecnd.net/images-4/othon-as-a-young-man-joseph-karl-stieler-1832-1ddabd30.jpg
b'The assassination of Capodistria',b'Dionysios Tsokos',b'1850',,https://az333959.vo.msecnd.net/images-7/the-assassination-of-capodistria-dionysios-tsokos-1850-333e4cb5.jpg
b'The Death of Markos Botsaris',b'Filippo Marsigli',b'1836',,https://az333959.vo.msecnd.net/images-6/the-death-of-markos-botsaris-filippo-marsigli-1836-f2e50033.jpg
b'Dionysios Solomos',b'Anonymous',b'1800',,https://az334034.vo.msecnd.net/images-3/dionysios-solomos-anonymous-1800-0319e2d5.jpg
b'View of Marathon',b'Andrew MacCallum',b'1874',,https://az333960.vo.msecnd.net/images-8/view-of-marathon-andrew-maccallum-1874-fea071a1.jpg
b'The Temple of Athena Nike. View from the North-East',b'Carl Werner',b'1877',,https://az334033.vo.msecnd.net/images-9/the-temple-of-athena-nike-view-from-the-north-east-carl-werner-1877-770e23e0.jpg
|b'Rhodes, the Old Harbour'|,b'Thomas Hope',b'1769',,https://az334033.vo.msecnd.net/images-0/rhodes-the-old-harbour-thomas-hope-1769-bcb03272.jpg
b'Aspasia Karpouni',b'Hans Kundm\xc3\xbcller',b'1850',,https://az334033.vo.msecnd.net/images-9/aspasia-karpouni-hans-kundmuller-1850-913349c9.jpg
b'Eleftherios Venizelos Taming the Bulgarian Tiger',b'Anonymous',b'1900',,https://az334033.vo.msecnd.net/images-3/eleftherios-venizelos-taming-the-bulgarian-tiger-anonymous-1900-3974e6af.jpg
b'Triple locket',b'Anonymous',b'1810',,https://az334034.vo.msecnd.net/images-7/triple-locket-anonymous-1810-f39ac3d7.jpg
b'The Prostasis  of the Caryatids on the Erechtheion',b'Carl Werner',b'1877',,https://az334034.vo.msecnd.net/images-8/the-prostasis-of-the-caryatids-on-the-erechtheion-carl-werner-1877-e8372cc4.jpg
b'View of Argostoli on Cephalonia island',b'Anonymous',b'1770',,https://az334034.vo.msecnd.net/images-1/view-of-argostoli-on-cephalonia-island-anonymous-1770-4ac761a7.jpg
b'View of Thebes',b'Hugh William Williams',b'1819',,https://az334033.vo.msecnd.net/images-0/view-of-thebes-hugh-william-williams-1819-9c13fb87.jpg
b'View of Athens',b'William Page',b'1820',,https://az333960.vo.msecnd.net/images-9/view-of-athens-william-page-1820-d879324d.jpg
b'View of Argostoli on the island of Cephalonia',b'Joseph Cartwright',b'1820',,https://az333960.vo.msecnd.net/images-3/view-of-argostoli-on-the-island-of-cephalonia-joseph-cartwright-1820-0bd1da7e.jpg
b'View of Athens with the Acropolis and the Odeion of...',b'Purser William',b'1800',,https://az334033.vo.msecnd.net/images-4/view-of-athens-with-the-acropolis-and-the-odeion-of-herodes-atticus-purser-william-1800-30ca698b.jpg
