Title,Artist,Year,Country,Thumbnail
b'Fugue',b'Wassily Kandinsky',b'1914',b'RU',https://az333960.vo.msecnd.net/images-2/fugue-vasily-kandinsky-1914-5db0dd9b.jpg
|b'Composition No.VI, Composition 9 (Blue Fa\xc3\xa7ade)'|,b'Piet Mondrian',b'1914',b'NL',https://az334033.vo.msecnd.net/images-9/composition-no-vi-composition-9-blue-facade-piet-mondrian-1914-ad155ae2.jpg
b'Forest Scene (Path from Mas Jolie to Ch\xc3\xa2teau noir)',b'Paul C\xc3\xa9zanne',b'1900',b'FR',https://az334033.vo.msecnd.net/images-4/forest-scene-path-from-mas-jolie-to-chateau-noir-paul-cezanne-1900-76c2dbc2.jpg
b'Le vallon',b'Paul Gauguin',b'1892',b'FR',https://az334034.vo.msecnd.net/images-0/le-vallon-paul-gauguin-1892-18207b47.jpg
b'The Hungry Lion Throws Itself on the Antelope',b'Henri Rousseau',b'1905',b'FR',https://az333960.vo.msecnd.net/images-9/the-hungry-lion-throws-itself-on-the-antelope-henri-rousseau-1905-f788e0de.jpg
|b'Composition No. XVI, Composition 1 (Trees)'|,b'Piet Mondrian',b'1912',b'NL',https://az333959.vo.msecnd.net/images-9/composition-no-xvi-composition-1-trees-piet-mondrian-1912-fb7a4cf6.jpg
b'The Japanese Bridge',b'Claude Monet',b'1921',b'FR',https://az334034.vo.msecnd.net/images-3/the-japanese-bridge-claude-monet-1921-d4f87845.jpg
b'Stoneware Pitcher',b'Paul C\xc3\xa9zanne',b'Pitcher',b'FR',https://az333960.vo.msecnd.net/images-8/stoneware-pitcher-paul-cezanne-3b6e29f9.jpg
b'The Water-lily Pond',b'Claude Monet',b'1917',b'FR',https://az333959.vo.msecnd.net/images-7/the-water-lily-pond-claude-monet-1917-1-5116b430.jpg
b'Seven Bathers',b'Paul C\xc3\xa9zanne',b'1900',b'FR',https://az334033.vo.msecnd.net/images-8/seven-bathers-paul-cezanne-1900-2d5c37cd.jpg
