Title,Artist,Year,Country,Thumbnail
b'Samson and Delilah',b'Jose Echenagus\xc3\xada Errazquin',b'1887',b'ES',https://az334033.vo.msecnd.net/images-6/samson-and-delilah-jose-echenagusia-errazquin-1887-83af28f8.jpg
b'The Wrong Moment',b'Eduardo Zamacois y Zabala',b'1868',b'ES',https://az333959.vo.msecnd.net/images-2/the-wrong-moment-eduardo-zamacois-y-zabala-1868-67c1b059.jpg
b'Deposition',b'Anthony van Dyck',b'1639',b'NL',https://az334034.vo.msecnd.net/images-2/deposition-anthony-van-dyck-1639-7870612c.jpg
b'Bathing in Renter\xc3\xada',b'Dante Gabriel Rossetti',b'1900',b'GB',https://az333960.vo.msecnd.net/images-0/bathing-in-renteria-dante-gabriel-rossetti-1900-00a1ae3d.jpg
b'Lot and His Daughters',b'Orazio Gentileschi',b'1628',b'IT',https://az333960.vo.msecnd.net/images-5/lot-and-his-daughters-orazio-gentileschi-1628-e1a85cef.jpg
b'Kissing the Relic',b'Joaquin Sorolla y Bastida',b'Relic',b'ES',https://az334034.vo.msecnd.net/images-0/kissing-the-relic-joaquin-sorolla-f593be74.jpg
b'Saint Francis in Prayer before the Crucifix',b'El Greco',b'1590',b'GR',https://az334034.vo.msecnd.net/images-0/st-francis-in-prayer-before-the-crucifix-el-greco-71688cb3.jpg
b'Nude Woman Reading',b'Robert Delaunay',b'1920',b'FR',https://az333960.vo.msecnd.net/images-3/nude-woman-reading-robert-delaunay-1920-8b32ca18.jpg
b'The Laundresses in Arles',b'Paul Gauguin',b'1888',b'FR',https://az333960.vo.msecnd.net/images-3/untitled-paul-gauguin-1888-4-a71180a9.jpg
b'Jesters Playing \xe2\x80\x9cCochonnet\xe2\x80\x9d',b'Eduardo Zamacois y Zabala',b'1868',b'ES',https://az334034.vo.msecnd.net/images-2/jesters-playing-cochonnet-eduardo-zamacois-y-zabala-be6e69f0.jpg
b'Ophelia',b'Thomas Francis Dicksee',b'1864',b'GB',https://az334034.vo.msecnd.net/images-2/ophelia-thomas-francis-dicksee-1864-4de63ba5.jpg
