Title,Artist,Year,Country,Thumbnail
b'Lilium Auratum',b'John Frederick Lewis',b'1871',,https://az334033.vo.msecnd.net/images-4/lilium-auratum-john-frederick-lewis-1871-f9933b15.jpg
b'Phyllis and Demophoon',b'Edward Burne-Jones',b'1870',b'GB',https://az333960.vo.msecnd.net/images-5/phyllis-and-demophoon-edward-burne-jones-4222edb5.jpg
b'Manfred on the Jungfrau',b'John Martin',b'1837',,https://az333959.vo.msecnd.net/images-4/manfred-on-the-jungfrau-john-martin-1837-d7e697bd.jpg
b'The Blind Girl',b'John Everett Millais',b'1856',b'GB',https://az334034.vo.msecnd.net/images-3/the-blind-girl-john-everett-millais-1856-6cd318b3.jpg
b'The Last of England',b'Ford Madox Brown',b'1855',b'GB',https://az333959.vo.msecnd.net/images-0/the-last-of-england-ford-madox-brown-1855-44ac2320.jpg
b'Star of Bethlehem',b'Edward Burne-Jones',b'1885',b'GB',https://az334033.vo.msecnd.net/images-4/star-of-bethlehem-edward-burne-jones-1885-cd58d9cf.jpg
b'Valentine Rescuing Sylvia from Proteus',b'William Holman Hunt',b'Proteus',b'GB',https://az334033.vo.msecnd.net/images-6/valentine-rescuing-sylvia-from-proteus-william-holman-hunt-c3499318.jpg
b'Psyche entering the Portals of Olympus',b'Edward Burne-Jones',b'1872',b'GB',https://az333959.vo.msecnd.net/images-5/psyche-entering-the-portals-of-olympus-edward-burne-jones-1872-3f265bb4.jpg
b'The Wizard',b'Edward Burne-Jones',b'1896',b'GB',https://az334034.vo.msecnd.net/images-6/the-wizard-edward-burne-jones-1896-59d843eb.jpg
b'The Long Engagement',b'Arthur Hughes',b'1854',,https://az334034.vo.msecnd.net/images-2/the-long-engagement-arthur-hughes-1854-b4f00017.jpg
b'The Merciful Knight',b'Edward Burne-Jones',b'1863',b'GB',https://az333959.vo.msecnd.net/images-4/the-merciful-knight-edward-burne-jones-1863-8c6ea687.jpg
b'The Three Graces',b'Edward Burne-Jones',b'1885',b'GB',https://az333959.vo.msecnd.net/images-5/the-three-graces-edward-burne-jones-1885-32f940fb.jpg
b'Phyllis and Demophoon',b'Edward Burne-Jones',b'1870',b'GB',https://az334034.vo.msecnd.net/images-1/phyllis-and-demophoon-edward-burne-jones-1870-1-f6c71863.jpg
b'White Chevy - Red Trailer',b'John Salt',b'1975',b'GB',https://az333960.vo.msecnd.net/images-5/white-chevy-red-trailer-c-john-salt-1975-733bf7fd.jpg
b'The Feast of Peleus',b'Edward Burne-Jones',b'1877',b'GB',https://az334034.vo.msecnd.net/images-5/the-feast-of-peleus-edward-burne-jones-1877-38943a5f.jpg
b'Georgiana Burne-Jones',b'Edward Burne-Jones',b'1863',b'GB',https://az333959.vo.msecnd.net/images-7/georgiana-burne-jones-edward-burne-jones-1863-97c6017c.jpg
b'The Distrest Poet',b'William Hogarth',b'1736',b'GB',https://az333960.vo.msecnd.net/images-4/the-distrest-poet-william-hogarth-1736-439ba9d9.jpg
b'King Mark and La Belle Iseult',b'Edward Burne-Jones',b'1862',b'GB',https://az333960.vo.msecnd.net/images-0/king-mark-and-la-belle-iseult-edward-burne-jones-1862-398d8c1e.jpg
