Title,Artist,Year,Country,Thumbnail
b'In the Wings at the Circus',b'Henri de Toulouse-Lautrec',b'1887',b'FR',https://az333960.vo.msecnd.net/images-6/in-the-wings-at-the-circus-henri-de-toulouse-lautrec-1887-db3b29bb.jpg
b'The Seine at Bougival',b'Camille Pissarro',b'1870',b'FR',https://az334033.vo.msecnd.net/images-1/the-seine-at-bougival-camille-pissarro-1870-94d8a8a6.jpg
b'Masked Ball at the Opera',b'Edouard Manet',b'1873',b'FR',https://az334034.vo.msecnd.net/images-6/masked-ball-at-the-opera-edouard-manet-1873-1-1ab7c81c.jpg
b'Self-Portrait with a Hat',b'Paul C\xc3\xa9zanne',b'1890',b'FR',https://az333959.vo.msecnd.net/images-5/self-portrait-with-a-hat-paul-cezanne-1890-99c3fe13.jpg
b'Vegetable Garden',b'Camille Pissarro',b'1878',b'FR',https://az333959.vo.msecnd.net/images-9/vegetable-garden-camille-pissarro-1878-8c10f874.jpg
b'Liberty Inviting Artists to Take Part in the 22nd...',b'Henri Rousseau',b'1906',b'FR',https://az334033.vo.msecnd.net/images-5/liberty-inviting-artists-to-take-part-in-the-22nd-exhibition-of-the-societe-des-artistes-independants-henri-rousseau-1906-06510d21.jpg
b'Mont Sainte-Victoire and Ch\xc3\xa2teau Noir',b'Paul C\xc3\xa9zanne',b'1904',b'FR',https://az334033.vo.msecnd.net/images-5/mont-sainte-victoire-and-chateau-noir-paul-cezanne-1904-a39f7be4.jpg
b"Les Sables-d'Olonne",b'Charles-Fran\xc3\xa7ois Daubigny',b'1800',b'FR',https://az334034.vo.msecnd.net/images-6/les-sables-d-olonne-charles-francois-daubigny-1800-5f1f7483.jpg
b'Self-Portrait',b'Edouard Manet',b'1878',b'FR',https://az334034.vo.msecnd.net/images-4/self-portrait-edouard-manet-1878-4872e2a2.jpg
b'Don Quixote in the Mountains',b'Honor\xc3\xa9 Daumier',b'1850',b'FR',https://az333960.vo.msecnd.net/images-3/don-quixote-in-the-mountains-honore-daumier-1850-fabcfc9e.jpg
|b'Kitchen Garden at the Jardin de Maubuisson, Pontoise'|,b'Camille Pissarro',b'Pontoise',b'FR',https://az334034.vo.msecnd.net/images-5/kitchen-garden-at-the-jardin-de-maubuisson-pontoise-camille-pissarro-f7516383.jpg
b'Meadowland (The Pasture)',b'Henri Rousseau',b'1910',b'FR',https://az334033.vo.msecnd.net/images-0/meadowland-the-pasture-henri-rousseau-1910-9f756749.jpg
b'Young Woman in the Woods',b'Jean-Baptiste-Camille Corot',b'1865',b'FR',https://az333959.vo.msecnd.net/images-9/young-woman-in-the-woods-jean-baptiste-camille-corot-1865-a21ab876.jpg
b"Quai d'Ivry",b'Henri Rousseau',b'1907',b'FR',https://az334033.vo.msecnd.net/images-5/quai-d-ivry-henri-rousseau-1907-e49e07bf.jpg
b'Snow Effect in a Quarry',b'Gustave Courbet',b'1870',b'FR',https://az333959.vo.msecnd.net/images-1/snow-effect-in-a-quarry-gustave-courbet-1870-dfbfd2c3.jpg
b'Woman Milking a Cow',b'Jean-Fran\xc3\xa7ois Millet',b'1854',b'FR',https://az333960.vo.msecnd.net/images-6/woman-milking-a-cow-jean-francois-millet-1854-fe70e2d0.jpg
b'Windmills on Montmartre',b'Vincent van Gogh',b'1886',b'NL',https://az334033.vo.msecnd.net/images-8/windmills-on-montmartre-vincent-van-gogh-1886-154559b8.jpg
b'The Beach near Trouville',b'Eug\xc3\xa8ne Boudin',b'1865',b'FR',https://az333960.vo.msecnd.net/images-1/the-beach-near-trouville-eugene-boudin-1865-57813724.jpg
b'Self-Portrait with a Hat',b'Narashige Koide',b'1924',,https://az333960.vo.msecnd.net/images-7/self-portrait-with-a-hat-narashige-koide-1924-fbe42464.jpg
b"Still Life with Horse's Head",b'Paul Gauguin',b'1886',b'FR',https://az334033.vo.msecnd.net/images-1/still-life-with-horse-s-head-paul-gauguin-1886-b988edae.jpg
b'Woman Sewing',b'Asai Ch\xc5\xab',b'1902',,https://az334033.vo.msecnd.net/images-9/woman-sewing-asai-chu-1902-e904e57c.jpg
b'Bridge in Grez-sur-Loing',b'Asai Ch\xc5\xab',b'1902',,https://az334033.vo.msecnd.net/images-0/bridge-in-grez-sur-loing-asai-chu-1902-b2588653.jpg
b'Lady',b'Okada Saburosuke',b'1907',,https://az333960.vo.msecnd.net/images-2/lady-okada-saburosuke-1907-94a26aca.jpg
b'Boy',b'Sekine Shoji',b'1919',,https://az333960.vo.msecnd.net/images-0/boy-sekine-shoji-1919-29059cc5.jpg
b'Garage',b'Yuzo Saeki',b'1927',,https://az333959.vo.msecnd.net/images-8/garage-yuzo-saeki-1927-fdf1a253.jpg
b'Seated Portrait of Reiko with a Doll',b'Ry\xc5\xabsei Kishida',b'1920',,https://az334034.vo.msecnd.net/images-9/seated-portrait-of-reiko-with-a-doll-ryusei-kishida-1920-dfac4ed9.jpg
b'Bathers',b'Jean-Baptiste Pater',b'1700',,https://az334034.vo.msecnd.net/images-9/bathers-jean-baptiste-pater-1700-8e849e73.jpg
b'Washing Place in Grez-sur-Loing',b'Asai Ch\xc5\xab',b'1901',,https://az334034.vo.msecnd.net/images-3/washing-place-in-grez-sur-loing-asai-chu-1901-b4e6033f.jpg
b'Reclining Nude',b'Narashige Koide',b'Nude',,https://az333960.vo.msecnd.net/images-4/reclining-nude-narashige-koide-4005fbb9.jpg
b'Self-Portrait',b'Nakamura Tsune',b'1909',,https://az333960.vo.msecnd.net/images-8/self-portrait-nakamura-tsune-1909-e6f937d8.jpg
b'Woman with a Pumpkin',b'Ry\xc5\xabsei Kishida',b'1914',,https://az334034.vo.msecnd.net/images-0/woman-with-a-pumpkin-ryusei-kishida-1914-79114275.jpg
