Title,Artist,Year,Country,Thumbnail
b'Violinist with a skull and a music book',b'Judith Leyster',b'book',b'NL',https://az333959.vo.msecnd.net/images-2/violinist-with-a-skull-and-a-music-book-judith-leyster-3850dabb.jpg
b'Untitled',b'Anthony van Dyck',b'1620',b'NL',https://az334033.vo.msecnd.net/images-3/untitled-anthony-van-dyck-1620-3-3c48137c.jpg
|b'Fontainebleau, en For\xc3\xaat'|,b'Jean-Baptiste-Camille Corot',b'1823',b'FR',https://az334034.vo.msecnd.net/images-9/fontainebleau-en-foret-camille-corot-1823-0850e71f.jpg
|b'Valley of the Loue, near Ornans'|,b'Gustave Courbet',b'1860',b'FR',https://az333960.vo.msecnd.net/images-5/valley-of-the-loue-near-ornans-gustave-courbet-1860-d59dd98b.jpg
b'Elegant Figures in a Woodland Glade',b'Adolphe Joseph Thomas Monticelli',b'Glade',,https://az334034.vo.msecnd.net/images-9/elegant-figures-in-a-woodland-glade-adolphe-joseph-thomas-monticelli-205618a4.jpg
b'Figures Resting and Promenading in an Oak Forest',b'Jan van der Heyden',b'1690',b'NL',https://az334034.vo.msecnd.net/images-2/figures-resting-and-promenading-in-an-oak-forest-jan-van-der-heyden-1690-ca8d197a.jpg
b'Flower Piece',b'Jean-Baptiste Monnoyer',b'1690',,https://az334033.vo.msecnd.net/images-8/flower-piece-jean-baptiste-monnoyer-1690-dfd265bf.jpg
b'The Pianist',b'Eug\xc3\xa8ne Carri\xc3\xa8re',b'1900',b'FR',https://az333960.vo.msecnd.net/images-7/the-pianist-eugene-carriere-1900-88d7c553.jpg
b'Untitled',b'Edwin Long',b'1886',,https://az334034.vo.msecnd.net/images-8/untitled-edwin-long-1886-4666124f.jpg
b'The Temple in Dendera',b'David Roberts',b'1841',,https://az334033.vo.msecnd.net/images-6/the-temple-in-dendera-david-roberts-1841-6d8caf6c.jpg
b'Sunset',b'Georges Seurat',b'1881',b'FR',https://az334034.vo.msecnd.net/images-5/sunset-georges-seurat-1881-5ae0a41b.jpg
b'Self-portrait of Rolinda Sharples with her mother Ellen...',b'Rolinda Sharples',b'1816',,https://az334033.vo.msecnd.net/images-0/self-portrait-of-rolinda-sharples-with-her-mother-ellen-sharples-rolinda-sharples-1816-71112a19.jpg
b'Les Adieux: The Farewells',b'James Tissot',b'1871',b'FR',https://az333959.vo.msecnd.net/images-1/les-adieux-the-farewells-james-tissot-1871-fd289ecf.jpg
b'Avallon',b'Henri Harpignies',b'1869',,https://az334034.vo.msecnd.net/images-7/avallon-henri-harpignies-1869-80d50408.jpg
b'Unconscious Rivals',b'Lawrence Alma-Tadema',b'1893',b'NL',https://az333959.vo.msecnd.net/images-1/unconscious-rivals-lawrence-alma-tadema-1893-71cbce1d.jpg
