Title,Artist,Year,Country,Thumbnail
b'The Ancient of Days',b'William Blake',b'Days',b'GB',https://az334034.vo.msecnd.net/images-0/the-ancient-of-days-william-blake-f5747889.jpg
b'The Whore of Babylon',b'William Blake',b'Babylon',b'GB',https://az334034.vo.msecnd.net/images-5/the-whore-of-babylon-william-blake-f7bc4088.jpg
b'Plant study with peppers',b'Maria Sibylla Merian',b'peppers',,https://az334033.vo.msecnd.net/images-9/plant-study-with-peppers-maria-sibylla-merian-43fba63d.jpg
b'Icon of the Triumph of Orthodoxy',b'Anonymous',b'1375',,https://az333959.vo.msecnd.net/images-2/icon-of-the-triumph-of-orthodoxy-anonymous-1375-5bba1c5f.jpg
b'Admonitions Scroll',b'Gu Kaizhi',b'Scroll',,https://az333960.vo.msecnd.net/images-4/admonitions-scroll-gu-kaizhi-8cccc25b.jpg
|b'Rustam Mourns Suhrab (British Museum 1922,0711,0.2)'|,b'Muin Musavvir',b'1649',,https://az333960.vo.msecnd.net/images-8/rustam-mourns-suhrab-british-museum-1922-0711-0-2-muin-musavvir-1649-a5850d1e.jpg
b'Greta Bridge',b'John Sell Cotman',b'1805',,https://az333959.vo.msecnd.net/images-5/greta-bridge-john-sell-cotman-1805-0b8150e8.jpg
b'The Fall of Phaeton',b'Michelangelo',b'1533',b'IT',https://az334034.vo.msecnd.net/images-1/the-fall-of-phaeton-michelangelo-1533-c370f00b.jpg
b'Plant study with butterflies',b'Maria Sibylla Merian',b'butterflies',,https://az334033.vo.msecnd.net/images-9/plant-study-with-butterflies-maria-sibylla-merian-5d5c3237.jpg
b'The Golden Cell',b'Odilon Redon',b'Cell',b'FR',https://az334034.vo.msecnd.net/images-9/the-golden-cell-odilon-redon-7aca74dd.jpg
b'Self-portrait',b'Margaret Sarah Carpenter',b'Self-portrait',,https://az334034.vo.msecnd.net/images-8/self-portrait-margaret-sarah-carpenter-a5607973.jpg
b'My Lady Greensleeves',b'Dante Gabriel Rossetti',b'1859',b'GB',https://az333960.vo.msecnd.net/images-5/my-lady-greensleeves-dante-gabriel-rossetti-1859-a9d1a67e.jpg
b'Nebamun hunting in the marshes',b'Anonymous',b'1390',,https://az333960.vo.msecnd.net/images-1/nebamun-hunting-in-the-marshes-anonymous-1390-8944d6ef.jpg
b'Rostam sleeping while Rakhsh fights a lion (British...',b'Sultan Muhammad',b'1518',,https://az333959.vo.msecnd.net/images-7/rostam-sleeping-while-rakhsh-fights-a-lion-british-museum-1948-1211-0-23-sultan-muhammad-1518-3e82b55c.jpg
