Title,Artist,Year,Country,Thumbnail
b'Jesus Ministered to by Angels',b'James Tissot',b'1894',b'FR',https://az334034.vo.msecnd.net/images-9/jesus-ministered-to-by-angels-james-tissot-1b1865f3.jpg
b'Apple Tree in Bloom (Pommier en fleurs)',b'Gustave Caillebotte',b'1885',b'FR',https://az334034.vo.msecnd.net/images-1/pommier-en-fleurs-lang-fr-en-apple-tree-in-bloom-gustave-caillebotte-ddaaf7fa.jpg
b'Studio Interior',b'William Merritt Chase',b'1882',b'US',https://az334034.vo.msecnd.net/images-9/studio-interior-william-merritt-chase-1882-dc5eaa7e.jpg
b'Portrait of M. Paul Sescau (Portrait de M. Paul Sescau)',b'Henri de Toulouse-Lautrec',b'1891',b'FR',https://az334033.vo.msecnd.net/images-5/portrait-of-m-paul-sescau-portrait-de-m-paul-sescau-henri-de-toulouse-lautrec-74c1e17f.jpg
b'A Canal in Venice',b'Mart\xc3\xadn Rico',b'1903',b'ES',https://az334034.vo.msecnd.net/images-0/a-canal-in-venice-martin-rico-315177de.jpg
b"The Soul of the Good Thief (L'\xc3\xa2me du bon Larron)",b'James Tissot',b'1894',b'FR',https://az333960.vo.msecnd.net/images-9/the-soul-of-the-good-thief-james-tissot-e1d84c8b.jpg
b"The Woman with an Issue of Blood (L'h\xc3\xa9moro\xc3\xafsse)",b'James Tissot',b'1896',b'FR',https://az334033.vo.msecnd.net/images-0/the-woman-with-an-issue-of-blood-james-tissot-b2b03137.jpg
b'The Village of Gardanne',b'Paul C\xc3\xa9zanne',b'1886',b'FR',https://az333960.vo.msecnd.net/images-2/the-village-of-gardanne-paul-cezanne-3facb5ce.jpg
b"The Equestrienne (L'Amazone)",b'Edouard Manet',b'1876',b'FR',https://az334034.vo.msecnd.net/images-4/the-equestrienne-edouard-manet-05621bde.jpg
b'School Girl in an Interior',b'Carl Larsson',b'1910',b'SE',https://az334033.vo.msecnd.net/images-5/school-girl-in-an-interior-carl-larsson-8695cc8f.jpg
b'South Sea Islander (S\xc3\xbcdsee-Insulaner II)',b'Emil Nolde',b'1915',b'DE',https://az334033.vo.msecnd.net/images-9/south-sea-islander-sudsee-insulaner-ii-emil-nolde-97b6e2a5.jpg
b"The Young Woman of Albano (L'Albanaise)",b'Jean-Baptiste-Camille Corot',b'1872',b'FR',https://az333960.vo.msecnd.net/images-7/untitled-jean-baptiste-camille-corot-1872-1-e1b3a22b.jpg
b'Self-portrait',b'Henri Rousseau',b'1903',b'FR',https://az334034.vo.msecnd.net/images-8/self-portrait-henri-rousseau-6d24d7ff.jpg
b'Market Scene in Venice',b'Alessandro Milesi',b'1894',b'IT',https://az333959.vo.msecnd.net/images-8/market-scene-in-venice-alessandro-milesi-898e2a8d.jpg
b'The Voice from on High',b'James Tissot',b'1894',b'FR',https://az333960.vo.msecnd.net/images-6/the-voice-from-on-high-james-tissot-c7004015.jpg
