Title,Artist,Year,Country,Thumbnail
b'The Rape of Proserpina',b'Hans von Aachen',b'1587',b'DE',https://az333959.vo.msecnd.net/images-0/the-rape-of-proserpina-hans-von-aachen-1587-47ffa66e.jpg
b'Portrait of a Man with a Blue Chaperon',b'Jan van Eyck',b'1435',b'BE',https://az334033.vo.msecnd.net/images-9/portrait-of-a-man-with-a-blue-chaperon-jan-van-eyck-1435-119bd274.jpg
b'Flower Garland',b'Jan Philip van Thielen',b'1661',,https://az334034.vo.msecnd.net/images-4/flower-garland-jan-philip-van-thielen-1661-8bee38ff.jpg
b"Collector's Cabinet of Curiosities",b'Georg Hainz',b'1664',,https://az334033.vo.msecnd.net/images-3/collector-s-cabinet-of-curiosities-georg-hainz-1664-36adcb1e.jpg
b'Peasant women with distaff',b'Nicolae Grigorescu',b'1900',,https://az333960.vo.msecnd.net/images-9/peasant-women-with-distaff-nicolae-grigorescu-1900-50d27f00.jpg
b'Mann mit der blauen Sendelbinde',b'Jan van Eyck',b'1439',b'BE',https://az333960.vo.msecnd.net/images-7/untitled-jan-van-eyck-88288503.jpg
b'Saint Jerome penitent',b'Lorenzo Lotto',b'1513',b'IT',https://az333959.vo.msecnd.net/images-9/saint-jerome-penitent-lorenzo-lotto-1513-e3d826a1.jpg
b'Winter Landscape with a Bird-trap',b'Pieter Breughel the Younger',b'1631',,https://az333960.vo.msecnd.net/images-0/winter-landscape-with-a-bird-trap-pieter-breughel-the-younger-1631-605ced71.jpg
b'Landscape with Packhorses',b'Philips Wouwerman',b'1660',,https://az333960.vo.msecnd.net/images-2/landscape-with-packhorses-philips-wouwerman-1660-da8db63d.jpg
b'Dutch Country Pub',b'David Teniers the Younger',b'1660',b'NL',https://az334034.vo.msecnd.net/images-6/dutch-country-pub-david-teniers-the-younger-1660-ee5cc93c.jpg
b'Man with Pipe at the Window',b'Frans van Mieris the Elder',b'1658',b'NL',https://az334033.vo.msecnd.net/images-3/man-with-pipe-at-the-window-frans-van-mieris-the-elder-1658-cc338384.jpg
