Title,Artist,Year,Country,Thumbnail
b'Ballettprobe',b'Edgar Degas',b'1873',b'FR',https://az334033.vo.msecnd.net/images-8/untitled-edgar-degas-1874-7793d4f1.jpg
b'The Charity of a Beggar at Ornans',b'Gustave Courbet',b'1868',b'FR',https://az333960.vo.msecnd.net/images-5/the-charity-of-a-beggar-at-ornans-gustave-courbet-1868-b2c1199c.png
|b'Woman with a Parasol, Mademoiselle Aub\xc3\xa9 de la Holde'|,b'Gustave Courbet',b'1865',b'FR',https://az334034.vo.msecnd.net/images-9/woman-with-a-parasol-mademoiselle-aube-de-la-holde-gustave-courbet-1865-fd3d356d.png
|b'The Bell Tower at Noisy-le-Roi, Autumn'|,b'Alfred Sisley',b'1874',b'GB',https://az334034.vo.msecnd.net/images-8/the-bell-tower-at-noisy-le-roi-autumn-alfred-sisley-1874-162b668f.jpg
b'The Washerwomen',b'Gustave Courbet',b'Washerwomen',b'FR',https://az333960.vo.msecnd.net/images-8/the-washerwomen-gustave-courbet-36e9645f.jpg
b'Portrait of a man',b'Anonymous',b'man',,https://az334034.vo.msecnd.net/images-7/portrait-of-a-man-anonymous-22-728a1cf0.jpg
b'Le Ch\xc3\xa2teau de M\xc3\xa9dan',b'Paul C\xc3\xa9zanne',b'1879',b'FR',https://az334034.vo.msecnd.net/images-6/le-chateau-de-medan-paul-cezanne-1879-909338a0.jpg
b'Still Life',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1729',b'FR',https://az334034.vo.msecnd.net/images-4/still-life-jean-baptiste-simeon-chardin-1729-e636eb40.jpg
b'Oysters',b'Fran\xc3\xa7ois Bonvin',b'1883',,https://az333959.vo.msecnd.net/images-9/oysters-francois-bonvin-1883-c94f72cd.jpg
b'A Woman Adjusting Her Stocking',b'Jean-Fran\xc3\xa7ois Millet',b'1848',b'FR',https://az333959.vo.msecnd.net/images-6/a-woman-adjusting-her-stocking-jean-francois-millet-1848-173795f7.jpg
b'Self-portrait as a Burger',b'Rembrandt',b'Burger',b'NL',https://az334034.vo.msecnd.net/images-1/self-portrait-as-a-burger-rembrandt-309d5f62.jpg
b'Spring Flowers',b'Henri Fantin-Latour',b'1878',b'FR',https://az334033.vo.msecnd.net/images-6/spring-flowers-henri-fantin-latour-1878-c35de28f.jpg
b'Two Brown Horses in a Stall',b'Th\xc3\xa9odore G\xc3\xa9ricault',b'Stall',b'FR',https://az334034.vo.msecnd.net/images-8/two-brown-horses-in-a-stall-theodore-gericault-6af0c5af.jpg
|b'In the Tuileries, Woman with a Parasol'|,b'Edgar Degas',b'1880',b'FR',https://az333960.vo.msecnd.net/images-1/in-the-tuileries-woman-with-a-parasol-edgar-degas-1880-31e51f07.jpg
b'Roses in a Champagne Glass',b'Edouard Manet',b'1882',b'FR',https://az333959.vo.msecnd.net/images-5/roses-in-a-champagne-glass-edouard-manet-1882-d2ffc7dc.jpg
b'The Ray',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1728',b'FR',https://az333960.vo.msecnd.net/images-3/the-ray-jean-baptiste-simeon-chardin-1728-6f20cebd.jpg
b'Fruit',b'Edouard Manet',b'Fruit',b'FR',https://az333960.vo.msecnd.net/images-5/fruit-edouard-manet-c8ffab9c.jpg
|b'The Old Fish Market, Brussels'|,b'Eug\xc3\xa8ne Louis Boudin',b'1871',,https://az333959.vo.msecnd.net/images-5/the-old-fish-market-brussels-eugene-louis-boudin-1871-a9420b7d.jpg
b'Horse Tied to a Tree',b'Edgar Degas',b'1877',b'FR',https://az334034.vo.msecnd.net/images-4/horse-tied-to-a-tree-edgar-degas-1877-bb435ea9.jpg
b'In the Forest',b'Adolphe Joseph Thomas Monticelli',b'Forest',,https://az333960.vo.msecnd.net/images-6/in-the-forest-adolphe-joseph-thomas-monticelli-0192444b.jpg
b'A Volunteer',b'Thomas Couture',b'1848',b'FR',https://az334034.vo.msecnd.net/images-8/a-volunteer-thomas-couture-1848-407d8b41.jpg
b'Still Life with a Copper Pot',b'Fran\xc3\xa7ois Bonvin',b'1879',,https://az333960.vo.msecnd.net/images-2/still-life-with-a-copper-pot-francois-bonvin-1879-b03b475e.jpg
|b'Still Life with a Jug, Cheese, Onions, Fish and a Knife'|,b'Fran\xc3\xa7ois Bonvin',b'1854',,https://az334034.vo.msecnd.net/images-2/still-life-with-a-jug-cheese-onions-fish-and-a-knife-francois-bonvin-1854-90fd903a.jpg
|b'Still Life, Pear and Plate'|,b'Louis Gustave Ricard',b'Plate',,https://az334033.vo.msecnd.net/images-7/still-life-pear-and-plate-louis-gustave-ricard-5ed4a4b7.jpg
b'Village Street with Poultry',b'Adolphe Hervier',b'Poultry',,https://az333959.vo.msecnd.net/images-4/village-street-with-poultry-adolphe-hervier-59b41a78.jpg
b'Still Life with a Book and an Ink Well',b'Fran\xc3\xa7ois Bonvin',b'1875',,https://az334033.vo.msecnd.net/images-0/still-life-with-a-book-and-an-ink-well-francois-bonvin-1875-3ace120c.jpg
|b'Deauville, the Dock'|,b'Eug\xc3\xa8ne Louis Boudin',b'1891',,https://az333959.vo.msecnd.net/images-8/deauville-the-dock-eugene-louis-boudin-1891-b2f3e6d1.jpg
b'Washerwomen on the Banks of the River Touques',b'Eug\xc3\xa8ne Louis Boudin',b'1891',,https://az334034.vo.msecnd.net/images-1/washerwomen-on-the-banks-of-the-river-touques-eugene-louis-boudin-1891-1cc4d6f0.jpg
b'Strolling Players',b'Adolphe Joseph Thomas Monticelli',b'1861',,https://az334034.vo.msecnd.net/images-5/strolling-players-adolphe-joseph-thomas-monticelli-1861-1bb54d34.jpg
b'The Violin',b'Fran\xc3\xa7ois Bonvin',b'Violin',,https://az334034.vo.msecnd.net/images-4/the-violin-francois-bonvin-4cbfe791.jpg
b"'Miss'",b'Fran\xc3\xa7ois Bonvin',b'1863',,https://az334033.vo.msecnd.net/images-5/miss-francois-bonvin-1863-a6797221.jpg
b'The Fugitives',b'Honor\xc3\xa9 Daumier',b'Fugitives',b'FR',https://az333960.vo.msecnd.net/images-5/the-fugitives-honore-daumier-1-6723e6c9.jpg
b'The Stud Farm',b'Th\xc3\xa9odore G\xc3\xa9ricault',b'Farm',b'FR',https://az333960.vo.msecnd.net/images-5/the-stud-farm-theodore-gericault-e5aadeaa.jpg
b'Still Life',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1750',b'FR',https://az333960.vo.msecnd.net/images-7/still-life-jean-baptiste-simeon-chardin-1750-97f84696.jpg
b'The White Horse',b'Alexis-Joseph Perignon',b'Horse',,https://az333960.vo.msecnd.net/images-2/the-white-horse-alexis-joseph-perignon-14ca8801.jpg
b'The Burden',b'Honor\xc3\xa9 Daumier',b'1856',b'FR',https://az333960.vo.msecnd.net/images-1/the-burden-honore-daumier-1856-8b0672a5.jpg
