Title,Artist,Year,Country,Thumbnail
b'Untitled',b'Diego Vel\xc3\xa1zquez',b'1630',b'ES',https://az334033.vo.msecnd.net/images-5/untitled-diego-velazquez-1630-1-16a4297c.jpg
b'Romulus and Remus',b'Peter Paul Rubens',b'1615',b'NL',https://az333959.vo.msecnd.net/images-0/romulus-and-remus-peter-paul-rubens-1615-9f6a4bfa.jpg
b'Portrait of Pope Urban VIII',b'Pietro da Cortona',b'1624',b'IT',https://az333960.vo.msecnd.net/images-4/portrait-of-pope-urban-viii-pietro-da-cortona-1624-d2210f25.jpg
b'Untitled',b'Pietro da Cortona',b'1627',b'IT',https://az333960.vo.msecnd.net/images-3/untitled-pietro-da-cortona-1627-a5b905aa.jpg
b'Saint Sebastian',b'Guido Reni',b'Sebastian',b'IT',https://az333960.vo.msecnd.net/images-9/saint-sebastian-guido-reni-1-39d88a18.jpg
b'Christ on the Cross',b'Gabri\xc3\xabl Metsu',b'1664',b'NL',https://az334033.vo.msecnd.net/images-9/christ-on-the-cross-gabriel-metsu-1664-2ea90317.jpg
b'Mystic marriage of Saint Catherine',b'Pietro Faccini',b'Catherine',,https://az334033.vo.msecnd.net/images-0/mystic-marriage-of-saint-catherine-pietro-faccini-868420a6.jpg
b'Self-Portrait',b'Giovanni Bellini',b'1500',b'IT',https://az333959.vo.msecnd.net/images-1/self-portrait-giovanni-bellini-1500-1b17d654.jpg
b'Meeting between Esau and Jacob',b'Giovanni Maria Bottala',b'1638',,https://az333959.vo.msecnd.net/images-0/meeting-between-esau-and-jacob-giovanni-maria-bottala-1638-9569368c.jpg
b'Lucretia',b'Guido Reni',b'Lucretia',b'IT',https://az334034.vo.msecnd.net/images-8/lucretia-guido-reni-1-d1e32b77.jpg
b'Ulysses and Circe',b'Giovanni Andrea Sirani',b'Circe',,https://az334033.vo.msecnd.net/images-0/ulysses-and-circe-giovanni-andrea-sirani-4ce34268.jpg
b'Baptism of Christ',b'Titian',b'1512',b'IT',https://az333959.vo.msecnd.net/images-0/baptism-of-christ-titian-1512-74477921.jpg
b'Dinner at the House of the Pharisee',b'Maria Felice Tibaldi',b'Pharisee',,https://az333960.vo.msecnd.net/images-9/dinner-at-the-house-of-the-pharisee-maria-felice-tibaldi-6249c37b.jpg
b'A Witch',b'Salvator Rosa',b'1646',b'IT',https://az334033.vo.msecnd.net/images-9/a-witch-salvator-rosa-dfe5d1e4.jpg
b'Esther before Ahasuerus',b'Giuseppe Bonati',b'1650',,https://az334033.vo.msecnd.net/images-3/esther-before-ahasuerus-giuseppe-bonati-1650-e6c9195a.jpg
b'Penitent Magdalene',b'Anonymous',b'1650',,https://az334034.vo.msecnd.net/images-5/penitent-magdalene-anonymous-1650-71be6a9a.jpg
b'Polyphemus',b'Guido Reni',b'1639',b'IT',https://az334033.vo.msecnd.net/images-4/polyphemus-guido-reni-1639-471c4582.jpg
b'Allegory',b'Simon Vouet',b'1640',,https://az334034.vo.msecnd.net/images-1/allegory-simon-vouet-1640-24b361c8.jpg
b'The Persian Sibyl',b'Guercino',b'1647',b'IT',https://az334034.vo.msecnd.net/images-2/the-persian-sibyl-guercino-1647-4647631c.jpg
b'The Burial of Saint Petronilla',b'Guercino',b'1623',b'IT',https://az334034.vo.msecnd.net/images-9/the-burial-of-saint-petronilla-guercino-1623-eba03d65.jpg
b'Old pilgrim',b'Michiel Sweerts',b'1650',,https://az334033.vo.msecnd.net/images-6/old-pilgrim-michiel-sweerts-1650-e59096ce.jpg
b'Portrait of a Young Man',b'Ludovico Carracci',b'1583',,https://az334034.vo.msecnd.net/images-6/portrait-of-a-young-man-ludovico-carracci-1583-997e5290.jpg
b'The Peace',b'Paolo Veronese',b'1551',b'IT',https://az334033.vo.msecnd.net/images-9/the-peace-paolo-veronese-1551-1709b576.jpg
b'View of the Colosseum',b'Anonymous',b'1544',,https://az334033.vo.msecnd.net/images-4/view-of-the-colosseum-anonymous-1544-fc0ab592.jpg
b'Clelia crossing the Tiber on a horse',b'Cristofano Gherardi',b'horse',,https://az334033.vo.msecnd.net/images-5/clelia-crossing-the-tiber-on-a-horse-cristofano-gherardi-90513d9f.jpg
b'Christ in Glory',b'Francesco Bassano the Younger',b'Glory',,https://az334034.vo.msecnd.net/images-3/christ-in-glory-francesco-bassano-the-younger-d02023e2.jpg
b'Good Luck',b'Caravaggio',b'1594',,https://az333960.vo.msecnd.net/images-7/good-luck-caravaggio-1594-9785cf94.jpg
b'Madonna with the Child and angels',b'Pietro da Cortona',b'1625',b'IT',https://az334034.vo.msecnd.net/images-9/madonna-with-the-child-and-angels-pietro-da-cortona-1625-c1877930.jpg
b'Penitent Magdalene',b'Domenico Tintoretto',b'1590',,https://az333960.vo.msecnd.net/images-5/penitent-magdalene-domenico-tintoretto-1590-9b33f15b.jpg
b'Battle of Zama',b'Pedro de Rubiales',b'1580',,https://az334034.vo.msecnd.net/images-3/battle-of-zama-pedro-de-rubiales-1580-b608e957.jpg
b'The allume mines of Tolfa',b'Pietro da Cortona',b'1635',b'IT',https://az334033.vo.msecnd.net/images-7/the-allume-mines-of-tolfa-pietro-da-cortona-1635-17ba6e2a.jpg
b'Battle of Alexander versus Darius',b'Pietro da Cortona',b'1650',b'IT',https://az334034.vo.msecnd.net/images-9/battle-of-alexander-versus-darius-pietro-da-cortona-1650-ff6629b8.jpg
b'Madonna in Glory',b'Giovanni Baglione',b'1630',,https://az333960.vo.msecnd.net/images-6/madonna-in-glory-giovanni-baglione-1630-40bd8d75.jpg
b'Cleopatra and Octavian',b'Guercino',b'1639',b'IT',https://az334033.vo.msecnd.net/images-3/cleopatra-and-octavian-guercino-1639-dd04655a.jpg
b'Adoration of the Magi',b'Scarsellino',b'1577',,https://az334034.vo.msecnd.net/images-4/adoration-of-the-magi-scarsellino-1577-0218ee80.jpg
