Title,Artist,Year,Country,Thumbnail
b'Venetian Canal',b'Antonio Reyna Manescau',b'1937',b'ES',https://az334034.vo.msecnd.net/images-9/venetian-canal-antonio-reyna-manescau-1937-b8d51b4b.jpg
b'View of Venice',b'Antonio Reyna Manescau',b'1880',b'ES',https://az333959.vo.msecnd.net/images-3/view-of-venice-antonio-reyna-manescau-1880-6fdcc2d5.jpg
b'A Summer\xe2\x80\x99s Day on the Seine',b'Mart\xc3\xadn Rico',b'1870',b'ES',https://az334033.vo.msecnd.net/images-0/a-summer-s-day-on-the-seine-martin-rico-1870-d710b9c0.jpg
|b'La Puerto del Sol, Madrid'|,b'Enrique Mart\xc3\xadnez Cubells',b'1902',,https://az334034.vo.msecnd.net/images-4/la-puerto-del-sol-madrid-enrique-martinez-cubells-1902-c3ff47a0.jpg
b'The Trinity of the Earth',b'Ger\xc3\xb3nimo Antonio de Ezquerra',b'1733',,https://az333960.vo.msecnd.net/images-3/the-trinity-of-the-earth-geronimo-antonio-de-ezquerra-1733-271dacb4.jpg
b'Exterior Port and Abra of Bilbao with Punta Galea',b'Juan Mart\xc3\xadnez Abades',b'1903',,https://az333959.vo.msecnd.net/images-2/exterior-port-and-abra-of-bilbao-with-punta-galea-juan-martinez-abades-1903-d189913c.jpg
b'Bank of the Guadaira with Boat',b'Emilio S\xc3\xa1nchez-Perrier',b'1890',,https://az333960.vo.msecnd.net/images-2/bank-of-the-guadaira-with-boat-emilio-sanchez-perrier-1890-3a88c9d3.jpg
b'Playing on the Beach',b'Cecilio Pla',b'1934',,https://az334033.vo.msecnd.net/images-4/playing-on-the-beach-cecilio-pla-1934-ea89a335.jpg
|b'La Concha, nocturno'|,b'Dar\xc3\xado de Regoyos',b'1906',,https://az334033.vo.msecnd.net/images-8/la-concha-nocturno-dario-de-regoyos-1906-b0d37974.jpg
b'Venice',b'Antonio Reyna Manescau',b'1937',b'ES',https://az334034.vo.msecnd.net/images-7/venice-antonio-reyna-manescau-1937-b80375df.jpg
b'Untitled',b'Francisco de Zurbar\xc3\xa1n',b'1650',b'ES',https://az334034.vo.msecnd.net/images-0/untitled-francisco-de-zurbaran-9-9ffe03ab.jpg
b'Return to the Abbey',b'Eduardo Zamacois y Zabala',b'1868',b'ES',https://az333959.vo.msecnd.net/images-1/return-to-the-abbey-eduardo-zamacois-y-zabala-1868-8dff255c.jpg
b'Choirboys',b'Jos\xc3\xa9 Gallegos y Arnosa',b'1885',,https://az334034.vo.msecnd.net/images-0/choirboys-jose-gallegos-y-arnosa-1885-85ddb844.jpg
b'River Landscape with Washerwoman and Fisherman',b'Andr\xc3\xa9s Cort\xc3\xa9s y Aguilar',b'1863',,https://az333960.vo.msecnd.net/images-7/river-landscape-with-washerwoman-and-fisherman-andres-cortes-y-aguilar-1863-91cfcf18.jpg
b'Sun dawn over the Coast of Malaga',b'Guillermo G\xc3\xb3mez Gil',b'1918',,https://az334033.vo.msecnd.net/images-0/sun-dawn-over-the-coast-of-malaga-guillermo-gomez-gil-1918-b59e8e25.jpg
b'Washerwomen and Fishermen in a Coastal Landscape',b'Andr\xc3\xa9s Cort\xc3\xa9s y Aguilar',b'1863',,https://az333960.vo.msecnd.net/images-9/washerwomen-and-fishermen-in-a-coastal-landscape-andres-cortes-y-aguilar-1863-633031e7.jpg
b'The Rosary of Dawn',b'Lucas Vel\xc3\xa1zquez',b'1860',,https://az333959.vo.msecnd.net/images-5/the-rosary-of-dawn-lucas-velazquez-1860-ee23244f.jpg
b'Port of Bilbao',b'Antonio Mu\xc3\xb1oz Degrain',b'1900',,https://az334034.vo.msecnd.net/images-9/port-of-bilbao-antonio-munoz-degrain-1900-54e32c45.jpg
b'Port of Algeciras',b'Angel Cortellini y S\xc3\xa1nchez',b'1912',,https://az334033.vo.msecnd.net/images-4/port-of-algeciras-angel-cortellini-y-sanchez-1912-baab7df5.jpg
b'View of the Sierra de Guadarrama from El Plant\xc3\xado',b'Aureliano de Beruete',b'1901',,https://az333959.vo.msecnd.net/images-5/view-of-the-sierra-de-guadarrama-from-el-plantio-aureliano-de-beruete-1901-199bfa0f.jpg
b'The Carnival in Rome 1881',b'Jos\xc3\xa9 Benlliure y Gil',b'1881',,https://az333960.vo.msecnd.net/images-8/the-carnival-in-rome-1881-jose-benlliure-y-gil-1881-83cd59b6.jpg
b'Girl with Flowers',b'Emilio Sala',b'1906',,https://az333960.vo.msecnd.net/images-1/girl-with-flowers-emilio-sala-1906-704e1564.jpg
b'The Magician at the Palace',b'Eugenio Lucas Villaamil',b'1894',,https://az333960.vo.msecnd.net/images-5/the-magician-at-the-palace-eugenio-lucas-villaamil-1894-a23457f0.jpg
b'Indoor dance',b'Joaqu\xc3\xadn Dom\xc3\xadnguez B\xc3\xa9cquer',b'1838',,https://az334033.vo.msecnd.net/images-8/indoor-dance-joaquin-dominguez-becquer-1838-ee6f6bef.jpg
b'View of Cadiz',b'Manuel Barr\xc3\xb3n y Carrillo',b'1854',,https://az333959.vo.msecnd.net/images-4/view-of-cadiz-manuel-barron-y-carrillo-1854-6c963baa.jpg
b'Dance at the Palace',b'Eugenio Lucas Villaamil',b'1894',,https://az334033.vo.msecnd.net/images-5/dance-at-the-palace-eugenio-lucas-villaamil-1894-8934e34c.jpg
b'Flight into Egypt.',b'Abraham Bloemaert',b'1651',b'NL',https://az334034.vo.msecnd.net/images-4/flight-into-egypt-abraham-bloemaert-1651-ab3f0186.jpg
b'Untitled',b'Ger\xc3\xb3nimo Antonio de Ezquerra',b'1737',,https://az334034.vo.msecnd.net/images-2/untitled-geronimo-antonio-de-ezquerra-1737-fbbcd5a8.jpg
b'Gathering Seaweed on the Banks of the Berb\xc3\xa9s',b'Juan Mart\xc3\xadnez Abades',b'1892',,https://az334034.vo.msecnd.net/images-8/gathering-seaweed-on-the-banks-of-the-berbes-juan-martinez-abades-1892-6487f883.jpg
b'Landscape with Aqueduct',b'Lucas Vel\xc3\xa1zquez',b'1874',,https://az334033.vo.msecnd.net/images-4/landscape-with-aqueduct-lucas-velazquez-1874-00a25109.jpg
b'Almond Trees in Blossom',b'Dar\xc3\xado de Regoyos',b'1905',,https://az334033.vo.msecnd.net/images-4/almond-trees-in-blossom-dario-de-regoyos-1905-9aaccae9.jpg
b'Preparing for the Catch',b'Emilio Oc\xc3\xb3n y Rivas',b'1897',,https://az334034.vo.msecnd.net/images-9/preparing-for-the-catch-emilio-ocon-y-rivas-1897-37ce5bdd.jpg
b'At the Market',b'Joaqu\xc3\xadn Turina y Areal',b'1903',,https://az334033.vo.msecnd.net/images-6/at-the-market-joaquin-turina-y-areal-1903-0958b7d4.jpg
b'Rompeolas de San Sebasti\xc3\xa1n',b'Joaqu\xc3\xadn Sorolla',b'1917',,https://az334033.vo.msecnd.net/images-0/rompeolas-de-san-sebastian-joaquin-sorolla-1917-ea0c1347.jpg
b'Washerwoman',b'Guillermo G\xc3\xb3mez Gil',b'1896',,https://az334034.vo.msecnd.net/images-7/washerwoman-guillermo-gomez-gil-1896-d4830cf3.jpg
b'Marina II',b'Guillermo G\xc3\xb3mez Gil',b'1942',,https://az333960.vo.msecnd.net/images-8/marina-ii-guillermo-gomez-gil-1942-8fa90826.jpg
b'Entering the Bullring Sun.jpg',b'Eugenio Lucas Villaamil',b'1885',,https://az333959.vo.msecnd.net/images-4/entering-the-bullring-sun-jpg-eugenio-lucas-villaamil-1885-cc06700e.jpg
b'The Chapel of the Benavente Family in Medina de Rioseco',b'Jenaro P\xc3\xa9rez Villaamil',b'1842',,https://az333960.vo.msecnd.net/images-6/the-chapel-of-the-benavente-family-in-medina-de-rioseco-jenaro-perez-villaamil-1842-63616351.jpg
b'Los Mayos',b'Ignacio Pinazo Camarlench',b'1989',,https://az334034.vo.msecnd.net/images-6/los-mayos-ignacio-pinazo-camarlench-1989-3ce2c088.jpg
b'The Port of Seville',b'Adolfo Gir\xc3\xa1ldez y Pe\xc3\xb1alver',b'1920',,https://az334033.vo.msecnd.net/images-6/the-port-of-seville-adolfo-giraldez-y-penalver-1920-3534cf7f.jpg
b'Maja and bullfighter',b'Joaqu\xc3\xadn Dom\xc3\xadnguez B\xc3\xa9cquer',b'1838',,https://az334034.vo.msecnd.net/images-4/maja-and-bullfighter-joaquin-dominguez-becquer-1838-c1e46b00.jpg
b'Vendiendo melones',b'Joaqu\xc3\xadn Sorolla',b'1890',,https://az334033.vo.msecnd.net/images-9/vendiendo-melones-joaquin-sorolla-1890-6ddf7766.jpg
b'The Priest',b'Bernardo Ferr\xc3\xa1ndiz B\xc3\xa1denes',b'1885',,https://az333960.vo.msecnd.net/images-2/the-priest-bernardo-ferrandiz-badenes-1885-454a43d8.jpg
b'Left Doll',b'Emilio Sala',b'1910',,https://az334033.vo.msecnd.net/images-2/left-doll-emilio-sala-1910-1583b84f.jpg
