Title,Artist,Year,Country,Thumbnail
b'La Joute des mariniers entre le Pont-Notre-Dame et le...',b'Nicolas-Jean-Baptiste Raguenet',b'1751',,https://az333959.vo.msecnd.net/images-2/untitled-nicolas-jean-baptiste-raguenet-1752-185cdd5f.jpg
b'The Pont Neuf and the Samaritaine',b'Nicolas-Jean-Baptiste Raguenet',b'1775',,https://az333960.vo.msecnd.net/images-8/the-pont-neuf-and-the-samaritaine-nicolas-jean-baptiste-raguenet-1775-a556f825.jpg
|b'Eiffel Tower and Champ-de-Mars, January 1889: Work for...'|,b'Paul-Louis Delance',b'1889',b'FR',https://az333959.vo.msecnd.net/images-1/eiffel-tower-and-champ-de-mars-january-1889-work-for-the-world-s-fair-paul-louis-delance-1889-efa9acb9.jpg
|b'The H\xc3\xb4tel des Monnaies, The Pont Royal and The Louvre,...'|,b'Jean-Baptiste Lallemand',|b'Louvre,...'|,,https://az334034.vo.msecnd.net/images-0/the-hotel-des-monnaies-the-pont-royal-and-the-louvre-from-the-pont-neuf-circa-1775-jean-baptiste-lallemand-0643de6a.jpg
b'Portrait of Franz Liszt',b'Henri Lehmann',b'1839',,https://az334033.vo.msecnd.net/images-6/portrait-of-franz-liszt-henri-lehmann-1839-a3161833.jpg
|b'Demolition of Houses on the pont Notre-Dame, 1786'|,b'Hubert Robert',b'1781',b'FR',https://az333959.vo.msecnd.net/images-2/demolition-of-houses-on-the-pont-notre-dame-1786-hubert-robert-1781-0b7e1bdc.jpg
b'The Emperor Presents to Haussmann the Plan of Annexation...',b'Adolphe Yvon',b'1865',b'FR',https://az334033.vo.msecnd.net/images-0/the-emperor-presents-to-haussmann-the-plan-of-annexation-of-the-communes-adolphe-yvon-1865-67ab940f.jpg
b'Church of the Sorbonne in Ruins',b'Hubert Robert',b'1800',b'FR',https://az334034.vo.msecnd.net/images-9/church-of-the-sorbonne-in-ruins-hubert-robert-1800-bd8961f0.jpg
b'The Bastille in the Early Days of Its Demolition',b'Hubert Robert',b'1789',b'FR',https://az333959.vo.msecnd.net/images-1/the-bastille-in-the-early-days-of-its-demolition-hubert-robert-1789-c518c4e9.jpg
|b'Demolition Works on the Pont-au-Change, 1788'|,b'Hubert Robert',b'1788',b'FR',https://az334034.vo.msecnd.net/images-0/demolition-works-on-the-pont-au-change-1788-hubert-robert-1788-4a07d4f8.jpg
b'Madame R\xc3\xa9camier',b'Fran\xc3\xa7ois G\xc3\xa9rard',b'1805',b'FR',https://az334033.vo.msecnd.net/images-1/untitled-francois-gerard-1-ce800653.jpg
|b'Looting of Royal Tombs in Saint-Denis Basilica, October 1793'|,b'Hubert Robert',b'1788',b'FR',https://az333960.vo.msecnd.net/images-2/looting-of-royal-tombs-in-saint-denis-basilica-october-1793-hubert-robert-1788-d014c2f1.jpg
b'Aguado Gallery',b'Anonymous',b'1840',,https://az333959.vo.msecnd.net/images-9/aguado-gallery-anonymous-1840-5492ce1d.jpg
b'Place du Ch\xc3\xa2telet',b'\xc3\x89tienne Bouhot',b'1810',,https://az333960.vo.msecnd.net/images-8/place-du-chatelet-etienne-bouhot-1810-47237221.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'Untitled',b'FR',https://az334034.vo.msecnd.net/images-2/untitled-jean-baptiste-camille-corot-9-b5537e13.jpg
b"Mademoiselle S'Nabou",b'Adolphe Yvon',b'1892',b'FR',https://az334034.vo.msecnd.net/images-4/mademoiselle-s-nabou-adolphe-yvon-1892-ba9bb69c.jpg
b'Portrait of Baron Georges-Eug\xc3\xa8ne Haussmann',b'Adolphe Yvon',b'1867',b'FR',https://az333959.vo.msecnd.net/images-0/portrait-of-baron-georges-eugene-haussmann-adolphe-yvon-1867-9aa119a4.jpg
|b'Ms. Hamelin, born Jeanne Genevi\xc3\xa8ve Fortun\xc3\xa9e Lormier-Lagrave'|,b'Andrea Appiani',b'Lormier-Lagrave',,https://az334034.vo.msecnd.net/images-6/ms-hamelin-born-jeanne-genevieve-fortunee-lormier-lagrave-andrea-appiani-e2e76113.jpg
