Title,Artist,Year,Country,Thumbnail
b'Madonna of the Rose Garden',b'Michelino Molinari da Besozzo',b'1420',,https://az334033.vo.msecnd.net/images-1/madonna-of-the-rose-garden-michelino-molinari-da-besozzo-1420-cecd3d8c.jpg
b'Portrait of a Child with a Drawing',b'Giovanni Francesco Caroto',b'Drawing',,https://az333960.vo.msecnd.net/images-2/untitled-giovanni-francesco-caroto-0ec07d48.jpg
b'Untitled',b'Paolo Veronese',b'Untitled',b'IT',https://az333959.vo.msecnd.net/images-0/untitled-paolo-veronese-8-84d7d6d3.jpg
b'Untitled',b'Carlo Crivelli',b'1460',,https://az333960.vo.msecnd.net/images-8/untitled-carlo-crivelli-1460-884eea31.jpg
b'Untitled',b'Giovanni Battista Tiepolo',b'Untitled',b'IT',https://az333959.vo.msecnd.net/images-7/untitled-giovanni-battista-tiepolo-1-8a7c22fb.jpg
b'Capriccio: Ruins of an Arch and Farmhouses by a Lagoon',b'Francesco Guardi',b'1780',b'IT',https://az333960.vo.msecnd.net/images-3/capriccio-ruins-of-an-arch-and-farmhouses-by-a-lagoon-francesco-guardi-1780-87c35e04.jpg
b'Madonna of the Quail',b'Pisanello',b'1420',,https://az334033.vo.msecnd.net/images-0/madonna-of-the-quail-pisanello-1420-f56eba54.jpg
b'Untitled',b'Andrea Mantegna',b'1495',b'IT',https://az333960.vo.msecnd.net/images-0/untitled-andrea-mantegna-1495-4-31d2f91a.jpg
b'Untitled',b'Giovanni Bellini',b'Untitled',b'IT',https://az334034.vo.msecnd.net/images-5/untitled-giovanni-bellini-1-4b5f91a3.jpg
b'Untitled',b'Paolo Veronese',b'Untitled',b'IT',https://az334034.vo.msecnd.net/images-0/untitled-paolo-veronese-7-7ca69584.jpg
b'Untitled',b'Girolamo dai Libri',b'Untitled',,https://az333959.vo.msecnd.net/images-5/untitled-girolamo-dai-libri-01664ba5.jpg
