Title,Artist,Year,Country,Thumbnail
b'\xc3\x89tretat',b'Eug\xc3\xa8ne Boudin',b'1891',b'FR',https://az333959.vo.msecnd.net/images-3/etretat-eugene-boudin-1891-175c2af4.jpg
b'Landscape',b'William Louis Sonntag',b'1857',,https://az334034.vo.msecnd.net/images-2/landscape-william-louis-sonntag-1857-06c0042c.jpg
b"At the Fortune Teller's",b'Alma Erdmann',b'1900',,https://az334033.vo.msecnd.net/images-3/at-the-fortune-teller-s-alma-erdmann-1900-96b15bfe.jpg
b'Children Dancing on the Strand',b'George William Russell',b'1914',,https://az334033.vo.msecnd.net/images-9/children-dancing-on-the-strand-george-william-russell-1914-cbc206ec.jpg
b'Meeting of the Austrian and Prussian Commanders',b'Christian Sell',b'1869',,https://az333960.vo.msecnd.net/images-0/meeting-of-the-austrian-and-prussian-commanders-christian-sell-1869-c7551dda.jpg
b'Scottish Lovers',b'Daniel Maclise',b'1863',,https://az334034.vo.msecnd.net/images-0/scottish-lovers-daniel-maclise-1863-876c59a5.jpg
b'Boglands',b'George William Russell',b'1935',,https://az333960.vo.msecnd.net/images-8/boglands-george-william-russell-1935-d6fafda2.jpg
|b'Mount Washington from the Saco River, a Sketch'|,b'Sanford Robinson Gifford',b'1858',b'US',https://az333959.vo.msecnd.net/images-1/mount-washington-from-the-saco-river-a-sketch-sanford-robinson-gifford-1858-d4b2c83a.jpg
b'Capriccio of Classical Ruins with Boats',b'Hubert Robert',b'1760',b'FR',https://az333960.vo.msecnd.net/images-5/capriccio-of-classical-ruins-with-boats-hubert-robert-1760-a88ce68f.jpg
b"The Artist's Studio",b'Auguste-Xavier Leprince',b'1826',,https://az333959.vo.msecnd.net/images-8/the-artist-s-studio-auguste-xavier-leprince-1826-2839b45b.jpg
b'The River Sambre at Charleroi',b'Maximilien Luce',b'1896',,https://az334034.vo.msecnd.net/images-0/the-river-sambre-at-charleroi-maximilien-luce-1896-75d33893.jpg
b'Lady Torrens and her Family',b'John Linnell',b'1820',,https://az334033.vo.msecnd.net/images-5/lady-torrens-and-her-family-john-linnell-1820-65ae20cc.jpg
b'Italian Village',b'Carl R\xc3\xb6tteken',b'Village',,https://az334034.vo.msecnd.net/images-3/italian-village-carl-rotteken-6a1d9d55.jpg
b'Woman dressing',b'Georges Kars',b'1929',,https://az334033.vo.msecnd.net/images-4/woman-dressing-georges-kars-1929-9e522873.jpg
