Title,Artist,Year,Country,Thumbnail
b'Clara',b'Jos\xc3\xa9 Malhoa',b'Clara',,https://az334033.vo.msecnd.net/images-0/clara-jose-malhoa-11e1f1f4.jpg
b'View of Penha de Fran\xc3\xa7a',b'Tom\xc3\xa1s da Anuncia\xc3\xa7\xc3\xa3o',b'1857',,https://az333960.vo.msecnd.net/images-8/view-of-penha-de-franca-tomas-da-anunciacao-1857-b1d8340c.jpg
b'Waiting for the boats',b'Jo\xc3\xa3o Marques de Oliveira',b'boats',,https://az333959.vo.msecnd.net/images-2/waiting-for-the-boats-joao-marques-de-oliveira-2c224e28.jpg
b'Song of A\xc3\xa7ude - A Poem in Colour',b'Amadeo de Souza Cardoso',b'1915',b'PT',https://az334033.vo.msecnd.net/images-2/song-of-acude-a-poem-in-colour-amadeo-de-souza-cardoso-1915-33fa0b80.jpg
b'Belas Moor at Sunset',b'Ant\xc3\xb3nio Carvalho de Silva Porto',b'1879',,https://az333959.vo.msecnd.net/images-5/belas-moor-at-sunset-antonio-carvalho-de-silva-porto-1879-c8e55c3a.jpg
b'Portrait of Manuel Gustavo Bordalo Pinheiro',b'Columbano Bordalo Pinheiro',b'1884',,https://az334033.vo.msecnd.net/images-6/portrait-of-manuel-gustavo-bordalo-pinheiro-columbano-bordalo-pinheiro-1884-46486c84.jpg
b'The return from the market',b'Ant\xc3\xb3nio Carvalho de Silva Porto',b'1886',,https://az333959.vo.msecnd.net/images-2/the-return-from-the-market-antonio-carvalho-de-silva-porto-1886-cef16270.jpg
b'Self-portrait by Silva Porto',b'Ant\xc3\xb3nio Carvalho de Silva Porto',b'1870',,https://az333959.vo.msecnd.net/images-5/self-portrait-by-silva-porto-antonio-carvalho-de-silva-porto-1870-e0e66ef6.jpg
b'Head (c.1913 - 1915)',b'Amadeo de Souza Cardoso',b'1913',b'PT',https://az334033.vo.msecnd.net/images-3/head-c-1913-1915-amadeo-de-souza-cardoso-1913-d5780801.jpg
b'O Pobre Rabequista',b'Jos\xc3\xa9 Rodrigues',b'1855',,https://az334033.vo.msecnd.net/images-0/o-pobre-rabequista-jose-rodrigues-1855-2025740e.jpg
b'An amateur concert',b'Columbano Bordalo Pinheiro',b'concert',,https://az333960.vo.msecnd.net/images-4/an-amateur-concert-columbano-bordalo-pinheiro-fc7d8b0b.jpg
b'Untitled',b'Jo\xc3\xa3o Cristino da Silva',b'1855',,https://az334033.vo.msecnd.net/images-3/untitled-joao-cristino-da-silva-1855-d7f5e3ab.jpg
b'In\xc3\xaas de Castro Preaching the Assassins',b'Francisco Augusto Metrass',b'1855',,https://az333960.vo.msecnd.net/images-6/ines-de-castro-preaching-the-assassins-francisco-augusto-metrass-1855-cfed7974.jpg
