Title,Artist,Year,Country,Thumbnail
|b'Early Morning, Yosemite Valley'|,b'Thomas Hill',b'1884',b'US',https://az333960.vo.msecnd.net/images-6/early-morning-yosemite-valley-thomas-hill-1884-a88111bd.jpg
b'The Emerald Pool',b'Worthington Whittredge',b'1868',,https://az334033.vo.msecnd.net/images-1/the-emerald-pool-worthington-whittredge-1868-65b884ec.jpg
b'The Emerald Pool',b'Albert Bierstadt',b'1870',,https://az333959.vo.msecnd.net/images-0/the-emerald-pool-albert-bierstadt-1870-98d20a46.jpg
b'Orestes Pursued by the Furies',b'William-Adolphe Bouguereau',b'Furies',b'FR',https://az333959.vo.msecnd.net/images-8/orestes-pursued-by-the-furies-william-adolphe-bouguereau-96d933ad.jpg
b'Salvator Rosa Sketching the Banditti',b'Thomas Moran',b'1860',b'US',https://az333959.vo.msecnd.net/images-0/salvator-rosa-sketching-the-banditti-thomas-moran-1860-5a1c8625.jpg
b'Untitled (Hudson River Landscape with Indian)',b'DeWitt Clinton Boutelle',b'1848',,https://az333960.vo.msecnd.net/images-1/untitled-hudson-river-landscape-with-indian-dewitt-clinton-boutelle-1848-8cc8bee0.jpg
b'The Loss of Virginity',b'Paul Gauguin',b'1891',b'FR',https://az334034.vo.msecnd.net/images-2/the-loss-of-virginity-paul-gauguin-1891-646bbd08.jpg
b'Une Japonaise',b'Jules Lefebvre',b'1882',b'FR',https://az334034.vo.msecnd.net/images-8/une-japonaise-jules-lefebvre-1882-ed3f1b9a.jpg
|b'Mrs. Abraham White, Jr., and Daughter Rose'|,b'Joshua Johnson',b'1810',,https://az334033.vo.msecnd.net/images-5/mrs-abraham-white-jr-and-daughter-rose-joshua-johnson-1810-628322ab.jpg
b'Minnehaha Falls',b'Albert Bierstadt',b'1850',,https://az334033.vo.msecnd.net/images-8/minnehaha-falls-albert-bierstadt-1850-0fd1b38f.jpg
b'The Angel Appearing to the Shepherds',b'Thomas Cole',b'1834',b'US',https://az333960.vo.msecnd.net/images-1/the-angel-appearing-to-the-shepherds-thomas-cole-1834-06179725.jpg
b'Maid at Pontoise',b'Camille Pissarro',b'Pontoise',b'FR',https://az333959.vo.msecnd.net/images-6/maid-at-pontoise-camille-pissarro-feb9d9d7.jpg
b'Untitled (Seacape Scene)',b'William Trost Richards',b'1875',,https://az334034.vo.msecnd.net/images-2/untitled-seacape-scene-william-trost-richards-1875-47f73557.jpg
b'Temptation of Saint Anthony',b'Hieronymus Bosch',b'1510',b'NL',https://az334034.vo.msecnd.net/images-1/temptation-of-saint-anthony-hieronymus-bosch-1510-a1b6b5b7.jpg
b'The Lagoon of Saint Mark',b'Paul Signac',b'Mark',b'FR',https://az334034.vo.msecnd.net/images-4/the-lagoon-of-saint-mark-paul-signac-97e4924c.jpg
b"The Artist's Wives",b'James Tissot',b'1885',b'FR',https://az334034.vo.msecnd.net/images-5/the-artist-s-wives-james-tissot-1885-ae35d2c6.jpg
b'Study for The Angel Appearing to the Shepherds',b'Thomas Cole',b'1831',b'US',https://az334034.vo.msecnd.net/images-6/study-for-the-angel-appearing-to-the-shepherds-thomas-cole-1831-1-f32f4274.jpg
b'Study for The Angel Appearing to the Shepherds',b'Thomas Cole',b'1831',b'US',https://az333959.vo.msecnd.net/images-2/study-for-the-angel-appearing-to-the-shepherds-thomas-cole-1831-fbc5425e.jpg
