Title,Artist,Year,Country,Thumbnail
b'At the Piano',b'James Abbott McNeill Whistler',b'1858',b'US',https://az333959.vo.msecnd.net/images-3/untitled-james-abbott-mcneill-whistler-1858-4ad8b7d4.jpg
|b'Tequendama Falls, Near Bogota, New Granada'|,b'Frederic Edwin Church',b'1854',b'US',https://az333959.vo.msecnd.net/images-9/tequendama-falls-near-bogota-new-granada-frederic-edwin-church-1854-8751c998.jpg
b'Luigi Cherubini',b'Jean-Auguste-Dominique Ingres',b'1841',b'FR',https://az334033.vo.msecnd.net/images-4/luigi-cherubini-jean-auguste-dominique-ingres-55470ab5.jpg
b'The Glade',b'Hubert Robert',b'1775',b'FR',https://az334033.vo.msecnd.net/images-1/the-glade-hubert-robert-1775-df6f96b7.jpg
|b'Minneopa Falls, Minnesota'|,b'Robert S. Duncanson',b'1862',,https://az334033.vo.msecnd.net/images-5/minneopa-falls-minnesota-robert-s-duncanson-1862-3dda91f1.jpg
|b'Landscape, Hudson Valley'|,b'George Inness',b'1870',b'US',https://az333960.vo.msecnd.net/images-4/landscape-hudson-valley-george-inness-1870-4390c0e2.jpg
b'Daughters of Revolution',b'Grant Wood',b'1932',b'US',https://az333959.vo.msecnd.net/images-6/daughters-of-revolution-grant-wood-1932-744a3a20.jpg
|b'Blue Hole, Flood Waters, Little Miami River'|,b'Robert S. Duncanson',b'1851',,https://az333959.vo.msecnd.net/images-0/blue-hole-flood-waters-little-miami-river-robert-s-duncanson-1851-52e959a9.jpg
b'Still Life (Breakfast Piece with Berckemeyer))Alternative...',b'Pieter Claesz.',b'1641',b'BE',https://az333960.vo.msecnd.net/images-1/still-life-breakfast-piece-with-berckemeyer-alternative-title-s-still-life-with-a-rembrandt-jug-two-berkemeyers-a-fruit-pie-plates-with-bread-and-a-peeled-lemon-pieter-claesz-1641-bed0433e.jpg
|b"View Across Frenchman's Bay From Mt. Desert Island, After..."|,b'Thomas Cole',b'1845',b'US',https://az334033.vo.msecnd.net/images-9/view-across-frenchman-s-bay-from-mt-desert-island-after-a-squall-thomas-cole-1845-91643f25.jpg
b'The Flight into Egypt',b'Henry Ossawa Tanner',b'1907',b'US',https://az334034.vo.msecnd.net/images-5/the-flight-into-egypt-henry-ossawa-tanner-1907-916f1a6b.jpg
b'Western Forest',b'Robert S. Duncanson',b'1857',,https://az334034.vo.msecnd.net/images-8/western-forest-robert-s-duncanson-1857-ed935b0a.jpg
|b'Bridal Veil Falls, Yosemite Valley, California'|,b'Albert Bierstadt',b'1871',,https://az333960.vo.msecnd.net/images-9/bridal-veil-falls-yosemite-valley-california-albert-bierstadt-1871-44fb058c.jpg
|b"The Orchard at the Manoir d'Ango with Hens, Varengeville"|,b'Camille Pissarro',b'Varengeville',b'FR',https://az334034.vo.msecnd.net/images-5/the-orchard-at-the-manoir-d-ango-with-hens-varengeville-camille-pissarro-32321dfd.jpg
|b'Near the Village, October'|,b'George Inness',b'1892',b'US',https://az333960.vo.msecnd.net/images-1/near-the-village-october-george-inness-1892-799b75b0.jpg
b'Moret at Sunset',b'Alfred Sisley',b'1888',b'GB',https://az334033.vo.msecnd.net/images-3/moret-at-sunset-alfred-sisley-1888-bb2cba7b.jpg
b'Les Lauriers Roses (The Terrace at Meric)',b'Fr\xc3\xa9d\xc3\xa9ric Bazille',b'1867',b'FR',https://az334034.vo.msecnd.net/images-1/la-terrasse-a-meric-frederic-bazille-efa6152a.jpg
b'Variation on Composition XIII',b'Theo van Doesburg',b'XIII',b'NL',https://az333960.vo.msecnd.net/images-4/variation-on-composition-xiii-theo-van-doesburg-bfa36966.jpg
|b'Coast, Bay of Douarnenez, France'|,b'Maxime Maufra',b'1901',,https://az334034.vo.msecnd.net/images-8/coast-bay-of-douarnenez-france-maxime-maufra-1901-a3afe79b.jpg
b"Scene near Hawk's Nest",b'Worthington Whittredge',b'1845',,https://az334034.vo.msecnd.net/images-7/scene-near-hawk-s-nest-worthington-whittredge-1845-ebb88eaa.jpg
b'Flower Still Life',b'Maria van Oosterwijck',b'1669',,https://az333959.vo.msecnd.net/images-6/flower-still-life-maria-van-oosterwijck-1669-4f3c0ccd.jpg
b'Mountain Landscape with Lake',b'William Louis Sonntag',b'1865',,https://az334034.vo.msecnd.net/images-1/mountain-landscape-with-lake-william-louis-sonntag-1865-472a865a.jpg
b'Landscape with Stream and Deer',b'Worthington Whittredge',b'1877',,https://az334033.vo.msecnd.net/images-4/landscape-with-stream-and-deer-worthington-whittredge-1877-1c62c8eb.jpg
b'Mercury Entrusting the Infant Bacchus to the Nymphs of Nysa',b'Fran\xc3\xa7ois Boucher',b'1734',b'FR',https://az334033.vo.msecnd.net/images-3/mercury-entrusting-the-infant-bacchus-to-the-nymphs-of-nysa-francois-boucher-1734-c757d6db.jpg
b'Cabbage Patch Near the Village',b'Camille Pissarro',b'1875',b'FR',https://az334034.vo.msecnd.net/images-6/cabbage-patch-near-the-village-camille-pissarro-1875-7fe280cf.png
|b'Elizabeth, Duchess-Countess of Sutherland'|,b'George Romney',b'Sutherland',b'GB',https://az334033.vo.msecnd.net/images-1/elizabeth-duchess-countess-of-sutherland-george-romney-6d3a9053.jpg
|b'Philip IV, King of Spain'|,b'Diego Vel\xc3\xa1zquez',b'1655',b'ES',https://az333960.vo.msecnd.net/images-6/philip-iv-king-of-spain-diego-velazquez-1655-b055aead.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1858',b'FR',https://az334033.vo.msecnd.net/images-1/untitled-jean-baptiste-camille-corot-1858-614a1e80.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1830',b'FR',https://az334033.vo.msecnd.net/images-4/untitled-jean-baptiste-camille-corot-1830-2-edcae44f.jpg
b'Landscape',b'William Louis Sonntag',b'1854',,https://az333959.vo.msecnd.net/images-4/landscape-william-louis-sonntag-1854-536f7f04.jpg
b'Untitled',b'Andrea Mantegna',b'1495',b'IT',https://az333960.vo.msecnd.net/images-6/untitled-andrea-mantegna-1495-5-708a66ff.jpg
|b'Portrait of Eleonora of Toledo and Her Son, Francesco de...'|,b'Agnolo Bronzino',b'1549',b'IT',https://az333960.vo.msecnd.net/images-4/portrait-of-eleonora-of-toledo-and-her-son-francesco-de-medici-bronzino-1549-70defc2d.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1872',b'FR',https://az334033.vo.msecnd.net/images-2/untitled-jean-baptiste-camille-corot-1872-6-bae44e6e.jpg
b'Portrait of a Young Lady Distracted from Her Music Lesson',b'Sophie Guillemard',b'1801',,https://az333960.vo.msecnd.net/images-3/portrait-of-a-young-lady-distracted-from-her-music-lesson-sophie-guillemard-1801-ae5f4f51.jpg
b'Portrait of Ann Ford (later Mrs.Philip Thicknesse)',b'Thomas Gainsborough',b'1760',b'GB',https://az334033.vo.msecnd.net/images-4/portrait-of-ann-ford-later-mrs-philip-thicknesse-thomas-gainsborough-1760-1f5ba720.jpg
b'Le pain et les \xc5\x93ufs (Still Life with Bread and Eggs)',b'Paul C\xc3\xa9zanne',b'1865',b'FR',https://az334034.vo.msecnd.net/images-5/le-pain-et-les-oeufs-still-life-with-bread-and-eggs-paul-cezanne-1865-1ab16f33.jpg
b'Seated Woman',b'Alexej von Jawlensky',b'1911',b'RU',https://az333960.vo.msecnd.net/images-3/seated-woman-alexej-von-jawlensky-1911-d856305f.jpg
b'Sunday Morning in Virginia',b'Winslow Homer',b'1877',b'US',https://az333960.vo.msecnd.net/images-0/sunday-morning-in-virginia-winslow-homer-1877-647770df.jpg
b'St. Thomas of Villanueva Dividing His Clothes Among...',b'Bartolom\xc3\xa9 Esteban Murillo',b'1667',b'ES',https://az334033.vo.msecnd.net/images-7/st-thomas-of-villanueva-dividing-his-clothes-among-beggar-boys-bartolome-esteban-murillo-1667-8e489ad7.jpg
b'Captain Faulte du Puyparlier',b'Jean-Baptiste-Camille Corot',b'1829',b'FR',https://az334033.vo.msecnd.net/images-2/captain-faulte-du-puyparlier-camille-corot-1829-5a3d1c07.jpg
b'The Harp of Erin',b'Thomas Buchanan Read',b'1867',b'US',https://az333959.vo.msecnd.net/images-3/the-harp-of-erin-thomas-buchanan-read-1867-e5df0349.jpg
b'An Artist Studying from Nature',b'Claude Lorrain',b'1639',b'FR',https://az334034.vo.msecnd.net/images-9/an-artist-studying-from-nature-claude-lorrain-1639-0c0edbee.jpg
b'THE MIRROR',b'William Merritt Chase',b'MIRROR',b'US',https://az333960.vo.msecnd.net/images-5/the-mirror-william-merritt-chase-9acfa29b.jpg
b'Shepherd and Sheep',b'Anton Mauve',b'1880',b'NL',https://az334033.vo.msecnd.net/images-0/shepherd-and-sheep-anton-mauve-1880-567dc094.jpg
b'Vertumnus and Pomona',b'Ferdinand Bol',b'1644',b'NL',https://az333959.vo.msecnd.net/images-7/vertumnus-and-pomona-ferdinand-bol-1644-7f84b635.jpg
|b'Rocks at Belle-\xc3\x8ele, Port-Domois'|,b'Claude Monet',b'1886',b'FR',https://az333959.vo.msecnd.net/images-6/rocks-at-belle-ile-port-domois-claude-monet-1886-7ff92f62.jpg
b'The Ships "Winged Arrow" and "Southern Cross" in Boston...',b'Fitz Henry Lane',b'1853',b'US',https://az333959.vo.msecnd.net/images-5/the-ships-winged-arrow-and-southern-cross-in-boston-harbor-fitz-henry-lane-1853-cb8421c8.jpg
b'Christ on the Cross with a View of Toledo',b'El Greco',b'1600',b'GR',https://az334033.vo.msecnd.net/images-9/christ-on-the-cross-with-a-view-of-toledo-el-greco-1600-28f22173.jpg
b'Going to Work',b'Jean-Fran\xc3\xa7ois Millet',b'1851',b'FR',https://az334033.vo.msecnd.net/images-2/going-to-work-jean-francois-millet-1851-a037501e.jpg
b'Madame Titon de Cogny (Jeanne-Cecile le Guay de Mongermon)',b'Nicolas de Largilli\xc3\xa8re',b'1713',b'FR',https://az334033.vo.msecnd.net/images-1/madame-titon-de-cogny-jeanne-cecile-le-guay-de-mongermon-nicolas-de-largilliere-1713-2f6e76e1.jpg
b'At the Piano',b'Childe Hassam',b'1902',b'US',https://az334034.vo.msecnd.net/images-0/at-the-piano-childe-hassam-1902-8ad91bc8.jpg
b'The Cottage Door',b'Thomas Gainsborough',b'1778',b'GB',https://az334033.vo.msecnd.net/images-5/the-cottage-door-thomas-gainsborough-1778-90b204c5.jpg
|b'Ann Allen, Later Mrs. John Penn'|,b'Benjamin West',b'1763',b'US',https://az333959.vo.msecnd.net/images-0/ann-allen-later-mrs-john-penn-benjamin-west-1763-2bc90243.jpg
|b'Reverend Joseph Stevens Buckminster, D.D.'|,b'Gilbert Stuart',b'D.D.',b'US',https://az333960.vo.msecnd.net/images-0/reverend-joseph-stevens-buckminster-d-d-gilbert-stuart-00a6fb69.jpg
b'Water Mill with Smoking Chimney',b'Meindert Hobbema',b'1660',,https://az334033.vo.msecnd.net/images-5/water-mill-with-smoking-chimney-meindert-hobbema-1660-8650269b.jpg
b'Saint Helena with the Cross',b'Lucas Cranach the Elder',b'1525',b'DE',https://az334033.vo.msecnd.net/images-9/saint-helena-with-the-cross-lucas-cranach-the-elder-1525-f8c64bcc.jpg
b'The Music Party',b'Gerard ter Borch',b'1668',,https://az333959.vo.msecnd.net/images-4/the-music-party-gerard-ter-borch-1668-1ab16392.jpg
b'Siesta',b'Frank Duveneck',b'1886',b'US',https://az334034.vo.msecnd.net/images-1/siesta-frank-duveneck-1886-1e39715f.jpg
b'Madonna and Child with a Breviary',b'Francesco Botticini',b'1475',,https://az333960.vo.msecnd.net/images-8/madonna-and-child-with-a-breviary-francesco-botticini-1475-e76638cd.jpg
b'The Turkish Page (Unexpected Intrusion)',b'William Merritt Chase',b'1876',b'US',https://az333959.vo.msecnd.net/images-3/the-turkish-page-unexpected-intrusion-william-merritt-chase-1876-376ce9d5.jpg
|b'Sunset, Vevey, Switzerland'|,b'Gustave Courbet',b'1874',b'FR',https://az333960.vo.msecnd.net/images-3/sunset-vevey-switzerland-gustave-courbet-1874-b770ab6c.jpg
b'Fog on Guernsey',b'Auguste Renoir',b'1883',b'FR',https://az333959.vo.msecnd.net/images-4/fog-on-guernsey-pierre-auguste-renoir-1883-c55d8014.jpg
b'Frances Schillinger Hinkle',b'Frank Duveneck',b'1875',b'US',https://az333960.vo.msecnd.net/images-0/frances-schillinger-hinkle-frank-duveneck-1875-795880ee.jpg
b'FLORENTINE FLOWER GIRL',b'Frank Duveneck',b'1886',b'US',https://az333959.vo.msecnd.net/images-5/florentine-flower-girl-frank-duveneck-1886-bad94bfb.jpg
b'Winter Landscape',b'Aert van der Neer',b'1647',,https://az334033.vo.msecnd.net/images-8/winter-landscape-aert-van-der-neer-1647-b2db125f.jpg
b'Francis Boott',b'Frank Duveneck',b'Boott',b'US',https://az334034.vo.msecnd.net/images-4/francis-boott-frank-duveneck-47353cf1.jpg
b"Vente d'esclaves au Caire",b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1871',b'FR',https://az334033.vo.msecnd.net/images-6/vente-d-esclaves-au-caire-jean-leon-gerome-1871-d0c27af0.jpg
b'A Gentleman',b'Jean-Baptiste Jacques Augustin',b'1798',,https://az333959.vo.msecnd.net/images-0/a-gentleman-jean-baptiste-jacques-augustin-1798-718840e0.jpg
b'Fisher Girl',b'Anonymous',b'1650',,https://az334034.vo.msecnd.net/images-9/fisher-girl-anonymous-1650-9091576a.jpg
b'Mrs. Richard Pryce Corbet and Her Daughter Mary',b'George Romney',b'1783',b'GB',https://az333960.vo.msecnd.net/images-2/mrs-richard-pryce-corbet-and-her-daughter-mary-george-romney-1783-ee11da9f.jpg
b'Still Life in Blue with Lemon',b'Paul C\xc3\xa9zanne',b'1880',b'FR',https://az333959.vo.msecnd.net/images-9/still-life-in-blue-with-lemon-paul-cezanne-1880-195e332c.jpg
b'Max Jacob',b'Amedeo Modigliani',b'Jacob',b'IT',https://az333960.vo.msecnd.net/images-4/max-jacob-amedeo-modigliani-f2e5ecd6.jpg
