Title,Artist,Year,Country,Thumbnail
b'Portrait of Dora Wheeler',b'William Merritt Chase',b'1883',b'US',https://az334034.vo.msecnd.net/images-6/portrait-of-dora-wheeler-william-merritt-chase-1883-c2ed351f.jpg
b'View of Florence from San Miniato',b'Thomas Cole',b'1837',b'US',https://az334034.vo.msecnd.net/images-2/view-of-florence-from-san-miniato-thomas-cole-1837-991a2106.jpg
|b'Portrait of Catherine Grey, Lady Manners'|,b'Thomas Lawrence',b'1794',b'GB',https://az334033.vo.msecnd.net/images-7/portrait-of-catherine-grey-lady-manners-thomas-lawrence-1794-70eef30b.jpg
b'Portrait of Romaine Lacaux',b'Auguste Renoir',b'1864',b'FR',https://az334033.vo.msecnd.net/images-5/portrait-of-romaine-lacaux-pierre-auguste-renoir-1864-78ea0cf5.jpg
b'Head of an Italian Woman',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1860',b'FR',https://az334034.vo.msecnd.net/images-9/untitled-jean-leon-gerome-9-3b55775f.jpg
b'The Red Kerchief',b'Claude Monet',b'1873',b'FR',https://az334033.vo.msecnd.net/images-8/the-red-kerchief-claude-monet-1873-c0dfb1aa.jpg
b'Yosemite Valley',b'Albert Bierstadt',b'1866',,https://az333960.vo.msecnd.net/images-1/yosemite-valley-albert-bierstadt-1866-1-88b834e9.jpg
|b'Point Judith, Rhode Island'|,b'Martin Johnson Heade',b'1867',b'US',https://az333959.vo.msecnd.net/images-6/point-judith-rhode-island-martin-johnson-heade-1867-d369a66b.jpg
b'Sweet Melancholy',b'Joseph-Marie Vien',b'1756',,https://az334033.vo.msecnd.net/images-3/sweet-melancholy-joseph-marie-vien-1756-11a01025.jpg
b'The Holy Family with Mary Magdalen',b'El Greco',b'1595',b'GR',https://az334033.vo.msecnd.net/images-6/untitled-el-greco-88-9d1a619b.jpg
b'Poplars at Saint-R\xc3\xa9my',b'Vincent van Gogh',b'1889',b'NL',https://az333959.vo.msecnd.net/images-9/untitled-vincent-van-gogh-236-d5591008.jpg
b"Stag at Sharkey's",b'George Bellows',b'1909',b'US',https://az333959.vo.msecnd.net/images-4/stag-at-sharkey-s-george-bellows-1909-42df54d7.jpg
b'The Large Plane Trees (Road Menders at Saint-R\xc3\xa9my)',b'Vincent van Gogh',b'1889',b'NL',https://az334034.vo.msecnd.net/images-6/untitled-vincent-van-gogh-116-d2be7d9f.jpg
b"The Artist's Studio",b'Johann Georg Platzer',b'1750',,https://az333960.vo.msecnd.net/images-9/the-artist-s-studio-johann-georg-platzer-1750-19071058.jpg
b'The Crucifixion of Saint Andrew',b'Michelangelo Merisi da Caravaggio',b'1607',b'IT',https://az334034.vo.msecnd.net/images-9/the-crucifixion-of-saint-andrew-caravaggio-1607-0fca9710.jpg
|b"In the Woods at L'Hermitage, Pontoise"|,b'Camille Pissarro',b'Pontoise',b'FR',https://az334034.vo.msecnd.net/images-9/in-the-woods-at-l-hermitage-pontoise-camille-pissarro-812c6598.jpg
b'The Large Plane Trees',b'Vincent van Gogh',b'1889',b'NL',https://az333960.vo.msecnd.net/images-8/the-large-plane-trees-road-menders-at-saint-remy-vincent-van-gogh-1889-94495508.jpg
|b'The Artist in His Room at the Villa Medici, Rome'|,b'L\xc3\xa9on Cogniet',b'1817',b'FR',https://az333960.vo.msecnd.net/images-8/self-portrait-of-leon-cogniet-in-his-studio-at-the-villa-medici-rome-leon-cogniet-1817-81d0541c.jpg
|b'Portrait of Catherine Grey, Lady Manners'|,b'Thomas Lawrence',b'1794',b'GB',https://az334034.vo.msecnd.net/images-1/portrait-of-catherine-grey-lady-manners-thomas-lawrence-1794-1-866d5025.jpg
b'Samuel Williams',b'Washington Allston',b'1817',,https://az334033.vo.msecnd.net/images-8/samuel-williams-washington-allston-1817-1b3fcea6.jpg
b'Portrait of a family making music',b'Pieter de Hooch',b'music',b'NL',https://az334033.vo.msecnd.net/images-1/portrait-of-a-family-making-music-pieter-de-hooch-3e9bb1ac.jpg
b'The Waterfalls at Tivoli',b'Claude-Joseph Vernet',b'1737',b'FR',https://az334034.vo.msecnd.net/images-4/the-waterfalls-at-tivoli-claude-joseph-vernet-1737-a60a8e4a.jpg
b'Portrait of Agostino Barbarigo',b'Paolo Veronese',b'1571',b'IT',https://az333959.vo.msecnd.net/images-5/portrait-of-agostino-barbarigo-paolo-veronese-1571-0a258acc.jpg
b'An Elderly Man in Prayer',b'Rembrandt',b'Prayer',b'NL',https://az334034.vo.msecnd.net/images-6/an-elderly-man-in-prayer-rembrandt-d7c20542.jpg
b'The Brierwood Pipe',b'Winslow Homer',b'Pipe',b'US',https://az334033.vo.msecnd.net/images-5/the-brierwood-pipe-winslow-homer-fe5379af.jpg
b'Sacrifice of Isaac',b'Andrea del Sarto',b'1527',,https://az333959.vo.msecnd.net/images-5/sacrifice-of-isaac-andrea-del-sarto-1527-4ed7723b.jpg
b'A Bearded Man Wearing a Hat',b'Rembrandt',b'Hat',b'NL',https://az334034.vo.msecnd.net/images-4/a-bearded-man-wearing-a-hat-rembrandt-769c7f5a.jpg
b'Frieze of Dancers',b'Edgar Degas',b'1895',b'FR',https://az334033.vo.msecnd.net/images-2/frieze-of-dancers-edgar-degas-1895-447322cc.jpg
b'Hunting near Hartenfels Castle',b'Lucas Cranach the Elder',b'1540',b'DE',https://az334034.vo.msecnd.net/images-9/hunting-near-hartenfels-castle-lucas-cranach-the-elder-1540-965a20d9.jpg
b'The Heroine Who Waits Anxiously for Her Absent Lover ...',b'Anonymous',b'1762',,https://az333960.vo.msecnd.net/images-1/the-heroine-who-waits-anxiously-for-her-absent-lover-utka-nayika-anonymous-1762-b145d0e6.jpg
b'Portrait of a Young Woman (Cleveland)',b'Rembrandt',b'(Cleveland)',b'NL',https://az334033.vo.msecnd.net/images-5/portrait-of-a-young-woman-cleveland-rembrandt-1bef963c.jpg
