Title,Artist,Year,Country,Thumbnail
b'In the Hammock',b'Winslow Homer',b'1873',b'US',https://az333959.vo.msecnd.net/images-3/in-the-hammock-winslow-homer-ca2492d5.jpg
b'The Yellow Jacket',b'Winslow Homer',b'1879',b'US',https://az333960.vo.msecnd.net/images-0/the-yellow-jacket-winslow-homer-0849d8a1.jpg
b'Girl Shelling Peas',b'Winslow Homer',b'1873',b'US',https://az333960.vo.msecnd.net/images-9/girl-shelling-peas-winslow-homer-486a34ca.jpg
b'Autumn Tree Tops',b'Winslow Homer',b'1873',b'US',https://az333959.vo.msecnd.net/images-5/autumn-tree-tops-winslow-homer-1873-b498a99d.jpg
b'Summer Afternoon',b'Winslow Homer',b'Afternoon',b'US',https://az333960.vo.msecnd.net/images-0/summer-afternoon-winslow-homer-1d55752d.jpg
b'Painting. Study. In the Woods Maine.',b'Frederic Edwin Church',b'Maine.',b'US',https://az334034.vo.msecnd.net/images-0/painting-study-in-the-woods-maine-frederic-edwin-church-7c2cf37d.jpg
b'Birch Trees in Autumn',b'Frederic Edwin Church',b'1865',b'US',https://az334034.vo.msecnd.net/images-9/birch-trees-in-autumn-frederic-edwin-church-1865-7e168ca6.jpg
|b'Turner Pond with Pomola Peak and Baxter Peak, Maine'|,b'Frederic Edwin Church',b'1853',b'US',https://az333959.vo.msecnd.net/images-4/turner-pond-with-pomola-peak-and-baxter-peak-maine-frederic-edwin-church-1853-1a2e99fe.jpg
b'Mount Katahdin from Lake Millinocket',b'Frederic Edwin Church',b'1878',b'US',https://az334034.vo.msecnd.net/images-4/mount-katahdin-from-lake-millinocket-frederic-edwin-church-1878-7b80afa6.jpg
b'A Salon in a Residence of the Duke of Leuchtenberg',b'Otto Wagner',b'1850',b'AT',https://az334033.vo.msecnd.net/images-1/a-salon-in-a-residence-of-the-duke-of-leuchtenberg-otto-wagner-1850-47831aa0.jpg
b'Sandy Beach with Breakers',b'Winslow Homer',b'1869',b'US',https://az333959.vo.msecnd.net/images-7/sandy-beach-with-breakers-winslow-homer-55487b1e.jpg
b'Girl Picking Apple Blossoms',b'Winslow Homer',b'Blossoms',b'US',https://az333960.vo.msecnd.net/images-1/girl-picking-apple-blossoms-winslow-homer-db5a7017.jpg
b'The Bean Picker',b'Winslow Homer',b'Picker',b'US',https://az333959.vo.msecnd.net/images-5/the-bean-picker-winslow-homer-f6040517.jpg
b'Gathering Autumn Leaves',b'Winslow Homer',b'Leaves',b'US',https://az334034.vo.msecnd.net/images-0/gathering-autumn-leaves-winslow-homer-dd7502ac.jpg
|b'Cathedral, Chillo, Ecuador'|,b'Frederic Edwin Church',b'1857',b'US',https://az334033.vo.msecnd.net/images-9/cathedral-chillo-ecuador-frederic-edwin-church-1857-a72e45fc.jpg
b'South American Landscape',b'Frederic Edwin Church',b'1854',b'US',https://az333960.vo.msecnd.net/images-1/south-american-landscape-frederic-edwin-church-1854-0e2922d3.jpg
b'The Immaculate Conception',b'Giovanni Domenico Tiepolo',b'Conception',b'IT',https://az333959.vo.msecnd.net/images-8/the-immaculate-conception-giovanni-domenico-tiepolo-38a0a1fd.jpg
b'Haystacks and Children',b'Winslow Homer',b'Children',b'US',https://az334033.vo.msecnd.net/images-0/haystacks-and-children-winslow-homer-11dc70e9.jpg
|b'Mount Desert Island\xc2\xa0?, Landscape'|,b'Frederic Edwin Church',b'1850',b'US',https://az334034.vo.msecnd.net/images-2/mount-desert-island-landscape-frederic-edwin-church-1850-ae2240ed.jpg
b'Mountain Wagon',b'Winslow Homer',b'Wagon',b'US',https://az334034.vo.msecnd.net/images-9/mountain-wagon-winslow-homer-40999785.jpg
|b'Grand Canyon in Stormy Weather, Arizona'|,b'Thomas Moran',b'1908',b'US',https://az333960.vo.msecnd.net/images-2/grand-canyon-in-stormy-weather-arizona-thomas-moran-1908-c085bb21.jpg
