Title,Artist,Year,Country,Thumbnail
b'Margaret Stuyvesant Rutherfurd White (Mrs. Henry White)',b'John Singer Sargent',b'1883',b'US',https://az333959.vo.msecnd.net/images-1/mrs-henry-white-john-singer-sargent-a349843c.jpg
|b'The Louvre, Afternoon, Rainy Weather (First Series)'|,b'Camille Pissarro',b'Series)',b'FR',https://az333959.vo.msecnd.net/images-2/the-louvre-afternoon-rainy-weather-first-series-camille-pissarro-1befef8f.jpg
b'Lake George',b'John William Casilear',b'1851',,https://az333960.vo.msecnd.net/images-2/lake-george-john-william-casilear-1851-f765052b.jpg
b'May Night',b'Willard Metcalf',b'Night',,https://az334033.vo.msecnd.net/images-2/may-night-willard-metcalf-202fc562.png
b'The Moored Boatman: Souvenir of an Italian Lake',b'Jean-Baptiste Camille Corot',b'1862',,https://az333960.vo.msecnd.net/images-1/the-moored-boatman-souvenir-of-an-italian-lake-jean-baptiste-camille-corot-1862-4ac7ff13.jpg
b'Jacques Henri Bernardin de Saint-Pierre',b'Rembrandt Peale',b'1808',b'US',https://az334033.vo.msecnd.net/images-4/jacques-henri-bernardin-de-saint-pierre-rembrandt-peale-1808-9a13dd07.jpg
b'Repose',b'Jean-Baptiste-Camille Corot',b'1860',b'FR',https://az334033.vo.msecnd.net/images-6/untitled-jean-baptiste-camille-corot-1865-10-9b01d8d6.jpg
b'The Last of the Buffalo',b'Albert Bierstadt',b'1888',,https://az334033.vo.msecnd.net/images-5/the-last-of-the-buffalo-albert-bierstadt-1888-1-c5d2a66d.jpg
b'View of Marshfield',b'Martin Johnson Heade',b'1865',b'US',https://az334033.vo.msecnd.net/images-5/view-of-marshfield-martin-johnson-heade-1865-be00d705.jpg
b'Portrait of a Musician with a Sheet of Music in his Hand',b'Rembrandt',b'Hand',b'NL',https://az333959.vo.msecnd.net/images-1/portrait-of-a-musician-with-a-sheet-of-music-in-his-hand-rembrandt-6618f99e.jpg
b'Samson and Delilah',b'Anthony van Dyck',b'1640',b'NL',https://az333960.vo.msecnd.net/images-3/samson-and-delilah-anthony-van-dyck-1640-fdb2a67a.jpg
|b'Portrait of Charles Louis, Elector Palatine'|,b'Anthony van Dyck',b'1640',b'NL',https://az333959.vo.msecnd.net/images-8/portrait-of-charles-louis-elector-palatine-anthony-van-dyck-1640-c105da8f.jpg
