Title,Artist,Year,Country,Thumbnail
b'Still life with oranges',b'Rafael Romero Barros',b'oranges',,https://az334034.vo.msecnd.net/images-5/still-life-with-oranges-rafael-romero-barros-ca702977.jpg
b'Adoraci\xc3\xb3n de los Pastores',b'Anonymous',b'1630',,https://az334033.vo.msecnd.net/images-9/adoracion-de-los-pastores-anonymous-3e428a5c.jpg
b'Untitled',b'Julio Romero de Torres',b'Untitled',b'ES',https://az333959.vo.msecnd.net/images-8/untitled-julio-romero-de-torres-4-8b87483e.jpg
b'Binding of Isaac',b'Antonio del Castillo y Saavedra',b'Isaac',,https://az333959.vo.msecnd.net/images-4/binding-of-isaac-antonio-del-castillo-y-saavedra-c48825a1.jpg
b'A view of C\xc3\xb3rdoba',b'Fran\xc3\xa7ois Bossuet',b'C\xc3\xb3rdoba',,https://az334034.vo.msecnd.net/images-9/a-view-of-cordoba-francois-bossuet-d4cd1dfc.jpg
b'Untitled',b'Antonio del Castillo y Saavedra',b'Untitled',,https://az333960.vo.msecnd.net/images-2/untitled-antonio-del-castillo-y-saavedra-8bcf0949.jpg
b'Untitled',b'Tom\xc3\xa1s Campuzano',b'Untitled',,https://az334034.vo.msecnd.net/images-1/untitled-tomas-campuzano-b7fea06a.jpg
b'Untitled',b'Rafael Romero de Torres',b'Untitled',,https://az333960.vo.msecnd.net/images-9/untitled-rafael-romero-de-torres-36ea7625.jpg
b'Ni\xc3\xb1o Jes\xc3\xbas dormido',b'Antonio Palomino',b'1800',,https://az333960.vo.msecnd.net/images-6/nino-jesus-dormido-antonio-palomino-1800-7e73bff2.jpg
b'Flight into Egypt',b'Antonio Palomino',b'Egypt',,https://az333960.vo.msecnd.net/images-1/flight-into-egypt-antonio-palomino-01d50311.jpg
b'Birth of Saint Francis of Assisi',b'Juan de Alfaro y Gamez',b'Assisi',,https://az334034.vo.msecnd.net/images-1/birth-of-saint-francis-of-assisi-juan-de-alfaro-y-gamez-da55922f.jpg
b'Saint Acisclus',b'Antonio Palomino',b'Acisclus',,https://az334034.vo.msecnd.net/images-9/saint-acisclus-antonio-palomino-030185f4.jpg
b'Saint Thomas Aquinas',b'Juan de Pe\xc3\xb1alosa',b'Aquinas',,https://az333960.vo.msecnd.net/images-9/saint-thomas-aquinas-juan-de-penalosa-61745998.jpg
b'Virgin of the Silversmiths',b'Juan de Vald\xc3\xa9s Leal',b'Silversmiths',,https://az334033.vo.msecnd.net/images-5/virgin-of-the-silversmiths-juan-de-valdes-leal-44503e42.jpg
b'Christ tied to the column with Saint Peter and the donors',b'Alejo Fern\xc3\xa1ndez',b'donors',,https://az334033.vo.msecnd.net/images-1/christ-tied-to-the-column-with-saint-peter-and-the-donors-alejo-fernandez-ea9979c9.jpg
b'Untitled',b'Anonymous',b'Untitled',,https://az334034.vo.msecnd.net/images-0/untitled-anonymous-74-72c9b940.jpg
b'Paisaje con San Juan Bautista ni\xc3\xb1o dormido',b'Antonio del Castillo y Saavedra',b'dormido',,https://az334034.vo.msecnd.net/images-3/paisaje-con-san-juan-bautista-nino-dormido-antonio-del-castillo-y-saavedra-d81da08f.jpg
b'Calvario',b'Hermano Adriano',b'1590',,https://az333959.vo.msecnd.net/images-9/calvario-hermano-adriano-1590-b4fbd9eb.jpg
b'Jes\xc3\xbas Nazareno',b'Anonymous',b'1650',,https://az333960.vo.msecnd.net/images-7/jesus-nazareno-anonymous-0d6d6637.jpg
b'Subida a La Alhambra',b'Rafael Romero Barros',b'1888',,https://az333959.vo.msecnd.net/images-6/subida-a-la-alhambra-rafael-romero-barros-1888-1-0b8bef58.jpg
b'Rest on the Flight into Egypt',b'Diego Jos\xc3\xa9 Monroy y Aguilera',b'1900',,https://az333959.vo.msecnd.net/images-9/rest-on-the-flight-into-egypt-diego-jose-monroy-y-aguilera-1900-f18b5549.jpg
b'Lamentation over the Dead Christ',b'Fray Juan del Sant\xc3\xadsimo Sacramento',b'1700',,https://az333959.vo.msecnd.net/images-3/lamentation-over-the-dead-christ-fray-juan-del-santisimo-sacramento-1700-488d4121.jpg
b'Ni\xc3\xb1a de la Ribera',b'Julio Romero de Torres',b'1915',b'ES',https://az334033.vo.msecnd.net/images-9/nina-de-la-ribera-julio-romero-de-torres-1915-ebd9c5d5.jpg
b'Filipino woman',b'Lorenzo de la Rocha',b'woman',,https://az334034.vo.msecnd.net/images-2/filipino-woman-lorenzo-de-la-rocha-b93ff1c5.jpg
b'La muerte de Lucano',b'Jos\xc3\xa9 Garnelo y Alda',b'1877',,https://az334034.vo.msecnd.net/images-4/la-muerte-de-lucano-jose-garnelo-y-alda-1877-7c249880.jpg
b'La emboscada',b'Joaqu\xc3\xadn Mart\xc3\xadnez De La Vega',b'1877',,https://az334033.vo.msecnd.net/images-6/la-emboscada-joaquin-martinez-de-la-vega-1877-7907c85c.jpg
b'Retrato de Isabel II',b'Jos\xc3\xa9 Sal\xc3\xb3 y Junquet',b'1864',,https://az334034.vo.msecnd.net/images-1/retrato-de-isabel-ii-jose-salo-y-junquet-1864-4e278881.jpg
b'Subida a La Alhambra',b'Rafael Romero Barros',b'1888',,https://az334034.vo.msecnd.net/images-8/subida-a-la-alhambra-rafael-romero-barros-1888-5eb663e7.jpg
b'Paseo de Recoletos',b'Casimiro Sainz',b'1883',,https://az334034.vo.msecnd.net/images-3/paseo-de-recoletos-casimiro-sainz-1883-5c13310b.jpg
b'Crep\xc3\xbasculo (CE2478P)',b'Rafael Romero Barros',b'1890',,https://az334034.vo.msecnd.net/images-9/crepusculo-ce2478p-rafael-romero-barros-1890-b2a52c03.jpg
b'Ri\xc3\xb1a de Gitanos',b'Rafael Romero Barros',b'1871',,https://az333959.vo.msecnd.net/images-2/rina-de-gitanos-rafael-romero-barros-1871-e970255a.jpg
b'Virgen del racimo',b'Anonymous',b'1600',,https://az334034.vo.msecnd.net/images-8/virgen-del-racimo-anonymous-1600-a9fd5d55.jpg
b'Virgen con el Ni\xc3\xb1o',b'\xc3\x81ngel Mar\xc3\xada de Barcia Pav\xc3\xb3n',b'1900',,https://az334034.vo.msecnd.net/images-1/virgen-con-el-nino-angel-maria-de-barcia-pavon-1900-ac480465.jpg
b'Evangelista',b'Valeriano B\xc3\xa9cquer',b'1900',,https://az334034.vo.msecnd.net/images-9/evangelista-valeriano-becquer-1900-f9e55d4b.jpg
b'Portada de la Catedral de Burgos',b'Manuel Ruiz Sanchez Morales',b'1903',,https://az334033.vo.msecnd.net/images-7/portada-de-la-catedral-de-burgos-manuel-ruiz-sanchez-morales-1903-ffe6eea8.jpg
