Title,Artist,Year,Country,Thumbnail
b'La loge',b'Auguste Renoir',b'1874',b'FR',https://az334033.vo.msecnd.net/images-0/la-loge-pierre-auguste-renoir-1874-3b9fba4c.jpg
|b"The Village F\xc3\xaate at L'Hermitage, the Open-Air Stalls"|,b'Camille Pissarro',b'Stalls',b'FR',https://az334034.vo.msecnd.net/images-9/the-village-fete-at-l-hermitage-the-open-air-stalls-camille-pissarro-7845fdc2.jpg
b'Toll Gate',b'Henri Rousseau',b'1890',b'FR',https://az334033.vo.msecnd.net/images-0/toll-gate-henri-rousseau-1890-df3f7a52.jpg
b'Untitled',b'Paul Gauguin',b'1897',b'FR',https://az334033.vo.msecnd.net/images-7/untitled-paul-gauguin-1897-8f6c8e86.jpg
b'John Luttrell',b'Hans Eworth',b'1550',,https://az334034.vo.msecnd.net/images-7/john-luttrell-hans-eworth-1550-ad3f7bfe.jpg
b'Woman at a Window',b'Edgar Degas',b'1871',b'FR',https://az334033.vo.msecnd.net/images-7/woman-at-a-window-edgar-degas-1871-05fbd117.jpg
b'Dancer on a Stage',b'Edgar Degas',b'1879',b'FR',https://az333960.vo.msecnd.net/images-6/dancer-on-a-stage-edgar-degas-1879-fce3f202.jpg
|b'Boat by the Bank, Asni\xc3\xa8res'|,b'Georges Seurat',b'1883',b'FR',https://az333959.vo.msecnd.net/images-4/boat-by-the-bank-asnieres-georges-seurat-1883-717e438e.jpg
b'Man in a Boat',b'Georges Seurat',b'1884',b'FR',https://az334034.vo.msecnd.net/images-3/man-in-a-boat-georges-seurat-1884-cb12d012.jpg
b'Mont Sainte-Victoire with Large Pine',b'Paul C\xc3\xa9zanne',b'1887',b'FR',https://az334033.vo.msecnd.net/images-3/mont-sainte-victoire-with-large-pine-paul-cezanne-1887-b5ea6755.jpg
b'The Card Players',b'Paul C\xc3\xa9zanne',b'1892',b'FR',https://az334034.vo.msecnd.net/images-9/the-card-players-paul-cezanne-1892-2cd777b1.jpg
b'God the Father',b'Cima da Conegliano',b'1510',,https://az333959.vo.msecnd.net/images-4/untitled-cima-da-conegliano-1510-2-6a15e670.jpg
b'Triptych with the Entombment of Christ',b'Robert Campin',b'Christ',,https://az333959.vo.msecnd.net/images-1/triptych-with-the-entombment-of-christ-robert-campin-75bf3127.jpg
b'Untitled',b'Camille Pissarro',b'Untitled',b'FR',https://az333960.vo.msecnd.net/images-9/untitled-camille-pissarro-14-01f13ac8.jpg
b'Vase of Flowers',b'Claude Monet',b'1881',b'FR',https://az334033.vo.msecnd.net/images-6/vase-of-flowers-claude-monet-1881-455da22e.jpg
b'Au Bal - Marguerite de Conflans en toilette de bal',b'Edouard Manet',b'1875',b'FR',https://az334033.vo.msecnd.net/images-7/au-bal-marguerite-de-conflans-en-toilette-de-bal-edouard-manet-1875-2bfae907.jpg
b'Portrait of a Man (Guillaume Fillastre?)',b'Rogier van der Weyden',b'1430',,https://az333960.vo.msecnd.net/images-9/portrait-of-a-man-guillaume-fillastre-rogier-van-der-weyden-1430-04e2e839.jpg
b'Man Painting a Boat',b'Georges Seurat',b'1883',b'FR',https://az333960.vo.msecnd.net/images-1/man-painting-a-boat-georges-seurat-1883-699f4765.jpg
|b'The Adoration of the Shepherds, ca. 1618'|,b'Anthony van Dyck',b'1618',b'NL',https://az334034.vo.msecnd.net/images-0/the-adoration-of-the-shepherds-ca-1618-anthony-van-dyck-1618-8e958cf1.jpg
b'Deauville',b'Eug\xc3\xa8ne Louis Boudin',b'1893',,https://az334034.vo.msecnd.net/images-7/deauville-eugene-louis-boudin-1893-63325e4a.jpg
b'Lady with a Parasol',b'Edgar Degas',b'1871',b'FR',https://az333959.vo.msecnd.net/images-6/lady-with-a-parasol-edgar-degas-1871-a7f6c777.jpg
