Title,Artist,Year,Country,Thumbnail
b'Portrait of Professor Benjamin H. Rand',b'Thomas Eakins',b'1874',b'US',https://az333960.vo.msecnd.net/images-3/portrait-of-professor-benjamin-h-rand-thomas-eakins-1874-fe2af86e.jpg
b'Kindred Spirits',b'Asher Brown Durand',b'Spirits',,https://az333960.vo.msecnd.net/images-9/kindred-spirits-asher-brown-durand-c359cc11.jpg
b'War News from Mexico',b'Richard Caton Woodville',b'1848',b'US',https://az334033.vo.msecnd.net/images-2/war-news-from-mexico-richard-caton-woodville-1848-1-a4d86603.jpg
b'Portrait of George Henschel',b'John Singer Sargent',b'1889',b'US',https://az334033.vo.msecnd.net/images-5/portrait-of-george-henschel-john-singer-sargent-1889-cee43b8f.jpg
b'The Shores of Lake Superior',b'Thomas Moran',b'1866',b'US',https://az334033.vo.msecnd.net/images-8/the-shores-of-lake-superior-thomas-moran-1866-e8436e22.jpg
b'Travelers in a Tropical Landscape',b'Louis R\xc3\xa9my Mignot',b'1861',,https://az333960.vo.msecnd.net/images-5/travelers-in-a-tropical-landscape-louis-remy-mignot-1861-4a709431.jpg
b'Ruby-throated Hummingbird',b'Martin Johnson Heade',b'1863',b'US',https://az334034.vo.msecnd.net/images-1/ruby-throated-hummingbird-martin-johnson-heade-1863-e502ac40.jpg
b'Portrait of Mrs. Theodore Atkinson Jr.',b'John Singleton Copley',b'1765',b'US',https://az333959.vo.msecnd.net/images-8/portrait-of-mrs-theodore-atkinson-jr-john-singleton-copley-1765-fcab6035.jpg
|b'Indian Encampment, Late Afternoon'|,b'Albert Bierstadt',b'1862',,https://az334034.vo.msecnd.net/images-7/indian-encampment-late-afternoon-albert-bierstadt-1862-8044ea4f.jpg
b'Valley of the Catawissa in Autumn',b'George Bellows',b'1862',b'US',https://az334033.vo.msecnd.net/images-1/valley-of-the-catawissa-in-autumn-george-bellows-1862-54fb4f40.jpg
b'The Good Shepherd',b'Thomas Cole',b'1848',b'US',https://az334034.vo.msecnd.net/images-4/the-good-shepherd-thomas-cole-1848-77b4facc.jpg
b'Excavation at Night',b'George Bellows',b'1908',b'US',https://az334033.vo.msecnd.net/images-5/excavation-at-night-george-bellows-1908-8077e803.jpg
b'Marquis de Lafayette',b'Samuel Morse',b'Lafayette',,https://az334033.vo.msecnd.net/images-5/marquis-de-lafayette-samuel-morse-e8f0b705.jpg
b'Fork-tailed Woodnymph',b'Martin Johnson Heade',b'1863',b'US',https://az334033.vo.msecnd.net/images-2/fork-tailed-woodnymph-martin-johnson-heade-1863-3305c1b1.jpg
b'Paris at Twilight',b'Childe Hassam',b'1887',b'US',https://az334034.vo.msecnd.net/images-9/paris-at-twilight-childe-hassam-1887-9f0a076d.jpg
b'Return of the Useless',b'George Bellows',b'1918',b'US',https://az333959.vo.msecnd.net/images-6/return-of-the-useless-george-bellows-1918-007bc908.jpg
b'Study of Three Magnolia Blossoms',b'Martin Johnson Heade',b'1885',b'US',https://az334033.vo.msecnd.net/images-7/study-of-three-magnolia-blossoms-martin-johnson-heade-1885-77982732.jpg
b'The Song',b'William Merritt Chase',b'1907',b'US',https://az333959.vo.msecnd.net/images-6/the-song-william-merritt-chase-1907-bb15862a.jpg
b'Brazilian Ruby',b'Martin Johnson Heade',b'1863',b'US',https://az333959.vo.msecnd.net/images-1/brazilian-ruby-martin-johnson-heade-1863-d8cad054.jpg
b'Haystacks',b'Martin Johnson Heade',b'1873',b'US',https://az334034.vo.msecnd.net/images-7/haystacks-martin-johnson-heade-1873-814ac212.jpg
b'Study of Lealia Purpurata and Another Orchid',b'Martin Johnson Heade',b'1870',b'US',https://az333959.vo.msecnd.net/images-0/study-of-lealia-purpurata-and-another-orchid-martin-johnson-heade-1870-fecade6d.jpg
b'The Fortune Teller',b'Thomas Dewing',b'1904',,https://az334034.vo.msecnd.net/images-7/the-fortune-teller-thomas-dewing-1904-951bbc56.jpg
|b'Wild Turkey Cock, Hen and Young'|,b'John James Audubon',b'1826',,https://az333960.vo.msecnd.net/images-7/wild-turkey-cock-hen-and-young-john-james-audubon-1826-22063d17.jpg
|b'A Tight Fix\xe2\x80\x94Bear Hunting, Early Winter [The Life of a...'|,b'Arthur Fitzwilliam Tait',b'1856',,https://az334033.vo.msecnd.net/images-7/a-tight-fix-bear-hunting-early-winter-the-life-of-a-hunter-a-tight-fix-arthur-fitzwilliam-tait-1856-10e2a7fb.jpg
b'The Indian and the Lily',b'George de Forest Brush',b'1887',,https://az333960.vo.msecnd.net/images-8/the-indian-and-the-lily-george-de-forest-brush-1887-1ba01949.jpg
b'Landscape with Indian',b'Thomas Cole',b'1826',b'US',https://az334034.vo.msecnd.net/images-2/landscape-with-indian-thomas-cole-1826-ceeaf6a3.jpg
b'Green Book and Lard Lamp',b'John Frederick Peto',b'Lamp',b'US',https://az333959.vo.msecnd.net/images-5/green-book-and-lard-lamp-john-frederick-peto-1aa22bcd.jpg
b'Study of Two Magnolia Blossoms',b'Martin Johnson Heade',b'1870',b'US',https://az334034.vo.msecnd.net/images-9/study-of-two-magnolia-blossoms-martin-johnson-heade-1870-41c61ac8.jpg
|b'Shaumonekusse, Oto Half Chief (Husband of Eagle of Delight)'|,b'Charles Bird King',b'1822',b'US',https://az334033.vo.msecnd.net/images-1/shaumonekusse-oto-half-chief-husband-of-eagle-of-delight-charles-bird-king-1822-05dd9e78.jpg
b'An Old Roadway',b'George Inness',b'1880',b'US',https://az334034.vo.msecnd.net/images-9/an-old-roadway-george-inness-1880-c85bcee9.jpg
|b'Wakechai (Crouching Eagle), Saukie Chief'|,b'Charles Bird King',b'1824',b'US',https://az334034.vo.msecnd.net/images-5/wakechai-crouching-eagle-saukie-chief-charles-bird-king-1824-b2ed3157.jpg
b'View of Mount Washington',b'Alfred Thompson Bricher',b'1864',b'US',https://az334034.vo.msecnd.net/images-3/view-of-mount-washington-alfred-t-bricher-1864-aa8e585a.jpg
b'Misty Moonlight',b'Albert Pinkham Ryder',b'1885',b'US',https://az334033.vo.msecnd.net/images-4/misty-moonlight-albert-pinkham-ryder-1885-85a1a4dc.jpg
b"The River Epte with Monet's Atelier-Boat",b'John Leslie Breck',b'1888',,https://az333960.vo.msecnd.net/images-1/the-river-epte-with-monet-s-atelier-boat-john-leslie-breck-1888-f2c933cb.jpg
b'Self Portrait with Rack Picture',b'John Frederick Peto',b'1904',b'US',https://az333959.vo.msecnd.net/images-6/self-portrait-with-rack-picture-john-frederick-peto-1904-f8960eb7.jpg
b'Study of Silver Vase',b'Martin Johnson Heade',b'1870',b'US',https://az334034.vo.msecnd.net/images-6/study-of-silver-vase-martin-johnson-heade-1870-975a1dad.jpg
b'Winter Scene in Brooklyn',b'Francis Guy',b'1820',b'GB',https://az334034.vo.msecnd.net/images-6/winter-scene-in-brooklyn-francis-guy-1820-5b5e9b7d.jpg
b'Archbishop James Frederick Wood',b'Thomas Eakins',b'1877',b'US',https://az333959.vo.msecnd.net/images-6/archbishop-james-frederick-wood-thomas-eakins-1877-1fafe6da.jpg
