Title,Artist,Year,Country,Thumbnail
b'The Quack',b'Jan Steen',b'Quack',b'NL',https://az333959.vo.msecnd.net/images-6/the-quack-jan-steen-e8a85a2b.jpg
b'Heilige familie',b'Bartolom\xc3\xa9 Esteban Murillo',b'1840',b'ES',https://az334034.vo.msecnd.net/images-9/heilige-familie-bartolome-esteban-murillo-1840-eb833225.jpg
b'Winterlandschap met de vlucht naar Egypte',b'Abel Grimmer',b'1608',,https://az333959.vo.msecnd.net/images-2/winterlandschap-met-de-vlucht-naar-egypte-abel-grimmer-1608-5e0dcde0.jpg
b'Philemon and Baucis',b'Emanuel de Witte',b'1647',,https://az334033.vo.msecnd.net/images-1/philemon-and-baucis-emanuel-de-witte-1647-b678838b.jpg
b'Odysseus en Minerva',b'Pieter Lastman',b'1625',b'NL',https://az333960.vo.msecnd.net/images-2/odysseus-en-minerva-pieter-lastman-1625-8e74f5c2.jpg
b'Watermill',b'Jacob van Ruisdael',b'Watermill',b'NL',https://az333960.vo.msecnd.net/images-7/watermill-jacob-van-ruisdael-ee805efd.jpg
b'A Young Woman with a Parrot',b'Matthijs Naiveu',b'1715',,https://az333960.vo.msecnd.net/images-1/a-young-woman-with-a-parrot-matthijs-naiveu-7ac0ffef.jpg
b'Piazza San Marco in Venetie',b'Samuel Scott',b'Venetie',,https://az333959.vo.msecnd.net/images-4/piazza-san-marco-in-venetie-samuel-scott-43c1f045.jpg
b'Peasants drinking before an inn',b'Adriaen van Ostade',b'1657',b'NL',https://az334034.vo.msecnd.net/images-9/peasants-drinking-before-an-inn-adriaen-van-ostade-1657-ec1b0fa5.jpg
b'Portret van een man met een hond',b'Anonymous',b'1571',,https://az334034.vo.msecnd.net/images-7/portret-van-een-man-met-een-hond-anonymous-1571-387e3e99.jpg
b'Winterlandschap',b'Andreas Achenbach',b'1858',b'DE',https://az334034.vo.msecnd.net/images-6/winterlandschap-andreas-achenbach-1858-e02acf1c.jpg
b'Rivierlandschap met bomen',b'Paul Joseph Constantin Gabri\xc3\xabl',b'1850',b'NL',https://az334033.vo.msecnd.net/images-0/rivierlandschap-met-bomen-paul-joseph-constantin-gabriel-1850-21ae8886.jpg
|b'Stilleven met zilveren schaal, kist en potten met...'|,b'Th\xc3\xa9odore Rousseau',b'met...',b'FR',https://az334034.vo.msecnd.net/images-7/stilleven-met-zilveren-schaal-kist-en-potten-met-geconserveerd-fruit-theodore-rousseau-8c8b72b3.jpg
b'De Heilige Familie met de Heilige Johannes de Doper',b'Januarius Zick',b'1773',,https://az334033.vo.msecnd.net/images-8/untitled-januarius-zick-1773-616290f7.jpg
|b'Zwaan, aascholver en andere dode vogels in een landschap'|,b'Jacob de Wet II',b'1678',,https://az333960.vo.msecnd.net/images-5/zwaan-aascholver-en-andere-dode-vogels-in-een-landschap-jacob-de-wet-ii-1678-18d57ca6.jpg
b'Portret van een vrouw',b'Leendert de Koningh',b'1860',,https://az333960.vo.msecnd.net/images-6/portret-van-een-vrouw-leendert-de-koningh-1860-046ad15e.jpg
b'Een langharige hond',b'Henri\xc3\xabtte Ronner-Knip',b'1873',b'NL',https://az334034.vo.msecnd.net/images-6/een-langharige-hond-henriette-ronner-knip-1873-b8b5dfa1.jpg
