Title,Artist,Year,Country,Thumbnail
b'Miss Dorothy Quincy Roosevelt (later Mrs. Langdon Geer)',b'John White Alexander',b'1902',b'US',https://az333959.vo.msecnd.net/images-1/miss-dorothy-quincy-roosevelt-later-mrs-langdon-geer-john-white-alexander-4357576b.jpg
b'A Mountain Landscape with an Approaching Storm',b'Claude-Joseph Vernet',b'Storm',b'FR',https://az334034.vo.msecnd.net/images-2/a-mountain-landscape-with-an-approaching-storm-claude-joseph-vernet-b64e3327.jpg
|b'Murnau, Burggrabenstrasse 1, 1908'|,b'Wassily Kandinsky',b'1908',b'RU',https://az334033.vo.msecnd.net/images-3/murnau-burggrabenstrasse-1-1908-vasily-kandinsky-95fd4322.jpg
b'Yellow Roses in a Vase (Roses jaunes dans un vase)',b'Gustave Caillebotte',b'1882',b'FR',https://az333960.vo.msecnd.net/images-1/yellow-roses-in-a-vase-gustave-caillebotte-d11ab99a.jpg
|b'Still Life with Vase of Hawthorn, Bowl of Cherries,...'|,b'Henri Fantin-Latour',b'1872',b'FR',https://az333959.vo.msecnd.net/images-0/still-life-with-vase-of-hawthorn-bowl-of-cherries-japanese-bowl-and-cup-and-sauce-henri-fantin-latour-bb6960e0.jpg
b'Guitar and Pipe',b'Juan Gris',b'Pipe',b'ES',https://az333960.vo.msecnd.net/images-9/guitar-and-pipe-juan-gris-ddd6001c.jpg
b'The Abduction of Europa',b'Jean-Baptiste Marie Pierre',b'Europa',,https://az334034.vo.msecnd.net/images-7/the-abduction-of-europa-jean-baptiste-marie-pierre-a979d18c.jpg
b'Still Life with Bottle and Glasses',b'Georges Braque',b'1912',b'FR',https://az333959.vo.msecnd.net/images-3/still-life-with-bottle-and-glasses-georges-braque-43416c16.jpg
b'Portrait of a Woman in a Blue Turban',b'Eug\xc3\xa8ne Delacroix',b'Turban',b'FR',https://az333959.vo.msecnd.net/images-7/portrait-of-a-woman-in-a-blue-turban-eugene-delacroix-56026128.jpg
b'Winter Scene in Brooklyn',b'Francis Guy',b'1820',b'GB',https://az333959.vo.msecnd.net/images-0/winter-scene-in-brooklyn-francis-guy-4d963632.jpg
b'Nature or Abundance',b'L\xc3\xa9on Fr\xc3\xa9d\xc3\xa9ric',b'1897',b'BE',https://az333960.vo.msecnd.net/images-2/nature-or-abundance-leon-frederic-127d0999.jpg
b'The Fountain of Vaucluse',b'Thomas Cole',b'Vaucluse',b'US',https://az334033.vo.msecnd.net/images-8/the-fountain-of-vaucluse-thomas-cole-46c5cf80.jpg
b'Apollo and Diana Attacking the Children of Niobe',b'Jacques-Louis David',b'1772',b'FR',https://az333960.vo.msecnd.net/images-2/apollo-and-diana-attacking-the-children-of-niobe-jacques-louis-david-1772-dba06c2f.jpg
b'Self Portrait with Palette',b'Camille Pissarro',b'Palette',b'FR',https://az333959.vo.msecnd.net/images-8/self-portrait-with-palette-camille-pissarro-84592594.jpg
b"Outside the Print\xe2\x80\x93Seller's Shop",b'Honor\xc3\xa9 Daumier',b'Shop',b'FR',https://az333960.vo.msecnd.net/images-3/outside-the-print-seller-s-shop-honore-daumier-5c6da220.jpg
b'Bouquet of Flowers in a Terracotta Vase with Peaches and...',b'Anne Vallayer-Coster',b'and...',,https://az334034.vo.msecnd.net/images-0/bouquet-of-flowers-in-a-terracotta-vase-with-peaches-and-grapes-anne-vallayer-coster-b924dc01.jpg
b'Apple Harvest',b'Camille Pissarro',b'Harvest',b'FR',https://az334033.vo.msecnd.net/images-1/apple-harvest-camille-pissarro-68aec8b1.jpg
|b'Farm Near Duivendrecht, in the Evening'|,b'Piet Mondrian',b'Evening',b'NL',https://az333960.vo.msecnd.net/images-3/farm-near-duivendrecht-in-the-evening-piet-mondrian-79377d64.jpg
b'Willow Grove: Impression of Light and Shadow',b'Piet Mondrian',b'1905',b'NL',https://az334034.vo.msecnd.net/images-4/willow-grove-impression-of-light-and-shadow-piet-mondrian-1905-d3ee27be.jpg
b'College Animals',b'Cornelis Saftleven',b'Animals',,https://az333960.vo.msecnd.net/images-5/college-animals-cornelis-saftleven-62947bf2.jpg
b'The Seine at Lavacourt',b'Claude Monet',b'1880',b'FR',https://az333959.vo.msecnd.net/images-4/the-seine-at-lavacourt-claude-monet-4bbb356b.jpg
b'Boy in Short Pants',b'Amedeo Modigliani',b'Pants',b'IT',https://az333960.vo.msecnd.net/images-7/boy-in-short-pants-amedeo-modigliani-a8bbb9fc.jpg
b'The First Steps',b'\xc3\x89douard Vuillard',b'Steps',b'FR',https://az333960.vo.msecnd.net/images-2/the-first-steps-edouard-vuillard-3e2adb09.jpg
b'Sheaves of Wheat',b'Vincent van Gogh',b'1890',b'NL',https://az334033.vo.msecnd.net/images-9/sheaves-of-wheat-vincent-van-gogh-324d65a0.jpg
b'Landscape at Eragny',b'Camille Pissarro',b'Eragny',b'FR',https://az334033.vo.msecnd.net/images-5/landscape-at-eragny-camille-pissarro-147a185b.jpg
b'Untitled (Field of Bluebonnets)',b'Julian Onderdonk',b'Bluebonnets)',,https://az334033.vo.msecnd.net/images-9/untitled-field-of-bluebonnets-julian-onderdonk-225616c4.jpg
b'The Matterhorn',b'Albert Bierstadt',b'1867',,https://az334033.vo.msecnd.net/images-3/the-matterhorn-albert-bierstadt-1867-c201b3cb.jpg
b'Christ and His Mother Studying the Scriptures',b'Henry Ossawa Tanner',b'Scriptures',b'US',https://az334034.vo.msecnd.net/images-1/christ-and-his-mother-studying-the-scriptures-henry-ossawa-tanner-0aaa95d0.jpg
b'The Duck Pond',b'Auguste Renoir',b'Pond',b'FR',https://az334034.vo.msecnd.net/images-3/the-duck-pond-pierre-auguste-renoir-02481da0.jpg
|b'Comblat-le-Ch\xc3\xa2teau, the Meadow (Le Pr\xc3\xa9), Opus 161'|,b'Paul Signac',b'161',b'FR',https://az334033.vo.msecnd.net/images-0/comblat-le-chateau-the-meadow-le-pre-opus-161-paul-signac-ab5ca322.jpg
b'Ice Skater',b'Ernst Ludwig Kirchner',b'Skater',b'DE',https://az334033.vo.msecnd.net/images-5/ice-skater-ernst-ludwig-kirchner-213b8e59.jpg
|b'Apple Tree, Pointillist Version'|,b'Piet Mondrian',b'Version',b'NL',https://az334034.vo.msecnd.net/images-9/apple-tree-pointillist-version-piet-mondrian-b1147930.jpg
b'Windmill',b'Piet Mondrian',b'Windmill',b'NL',https://az333959.vo.msecnd.net/images-9/windmill-piet-mondrian-647cd9e9.jpg
b'Four Wooden Sculptures/Ice Skater',b'Ernst Ludwig Kirchner',b'Skater',b'DE',https://az334033.vo.msecnd.net/images-9/four-wooden-sculptures-ice-skater-ernst-ludwig-kirchner-e5ce7d04.jpg
|b'Along the Seine, Winter'|,b'Childe Hassam',b'1887',b'US',https://az333960.vo.msecnd.net/images-6/along-the-seine-winter-childe-hassam-4df3d980.jpg
b'The Pilgrim at the Gate of Idleness',b'Edward Burne-Jones',b'1884',b'GB',https://az334033.vo.msecnd.net/images-7/the-pilgrim-at-the-gate-of-idleness-edward-burne-jones-1884-5657c51d.jpg
b'Captain John Pratt (1753-1824)',b'Ralph Earl',b'(1753-1824)',,https://az334033.vo.msecnd.net/images-5/captain-john-pratt-1753-1824-ralph-earl-6cc698af.jpg
