Title,Artist,Year,Country,Thumbnail
b'Allegory of the Four Seasons',b'Bartolomeo Manfredi',b'1610',,https://az334034.vo.msecnd.net/images-7/allegory-of-the-four-seasons-bartolomeo-manfredi-1610-cd5befb9.jpg
b'Scene in Yosemite Valley',b'Albert Bierstadt',b'1864',,https://az333959.vo.msecnd.net/images-5/scene-in-yosemite-valley-albert-bierstadt-1864-68cc52e9.jpg
b"Scribner's Pasture in the Catskills",b'Sanford Robinson Gifford',b'1863',b'US',https://az334033.vo.msecnd.net/images-6/scribner-s-pasture-in-the-catskills-sanford-robinson-gifford-1863-a50627d1.jpg
b'The Immaculate Conception',b'Bartolom\xc3\xa9 Esteban Murillo',b'1670',b'ES',https://az333960.vo.msecnd.net/images-4/the-immaculate-conception-bartolome-esteban-murillo-1670-6ac76213.jpg
|b'Mayan Ruins, Yucatan'|,b'Robert S. Duncanson',b'1848',,https://az334033.vo.msecnd.net/images-7/mayan-ruins-yucatan-robert-s-duncanson-1848-1b2bc84d.jpg
b'Dinner at the Casino',b'Gaston La Touche',b'1903',,https://az334033.vo.msecnd.net/images-4/dinner-at-the-casino-gaston-la-touche-1903-b376492a.jpg
b'Rocky Landscape with Castle and Cascade',b'Jacob van Ruisdael',b'Cascade',b'NL',https://az334034.vo.msecnd.net/images-0/rocky-landscape-with-castle-and-cascade-jacob-van-ruisdael-3a8de044.jpg
b'The Panheon',b'Canaletto',b'Panheon',b'IT',https://az333959.vo.msecnd.net/images-5/the-panheon-canaletto-47efbfe4.jpg
b'Fly Fishing',b'Worthington Whittredge',b'1866',,https://az333960.vo.msecnd.net/images-5/fly-fishing-worthington-whittredge-1866-8554731f.jpg
b'Mary Magdalen between Two Angels',b'Guido Reni',b'Angels',b'IT',https://az333959.vo.msecnd.net/images-2/mary-magdalen-between-two-angels-guido-reni-8d0fddc7.jpg
|b'Porto Venere, Spezia, Italy'|,b'William Stanley Haseltine',b'1878',,https://az333960.vo.msecnd.net/images-7/porto-venere-spezia-italy-william-stanley-haseltine-1878-174e1814.jpg
b'Autumn Landscape',b'Jasper Francis Cropsey',b'1889',b'US',https://az334034.vo.msecnd.net/images-2/autumn-landscape-jasper-francis-cropsey-1889-0b2f7366.jpg
b'Romantic Landscape',b'John Trumbull',b'1783',b'US',https://az334034.vo.msecnd.net/images-0/romantic-landscape-john-trumbull-1783-a0aefa9f.jpg
b'The Cascades of Tivoli',b'Claude-Joseph Vernet',b'1760',b'FR',https://az333959.vo.msecnd.net/images-4/the-cascades-of-tivoli-claude-joseph-vernet-1760-c5ce36cb.jpg
