Title,Artist,Year,Country,Thumbnail
b"Love's Messenger",b'Marie Spartali Stillman',b'1885',b'GB',https://az333959.vo.msecnd.net/images-6/love-s-messenger-marie-spartali-stillman-1885-5e40b3c8.jpg
b'Lady Lilith',b'Dante Gabriel Rossetti',b'1866',b'GB',https://az333960.vo.msecnd.net/images-5/lady-lilith-dante-gabriel-rossetti-1866-1-61c9d4ad.jpg
b'Mnemosyne',b'Dante Gabriel Rossetti',b'1875',b'GB',https://az333960.vo.msecnd.net/images-2/mnemosyne-dante-gabriel-rossetti-1875-f89aa094.jpg
b'Veronica Veronese',b'Dante Gabriel Rossetti',b'1872',b'GB',https://az333959.vo.msecnd.net/images-9/veronica-veronese-dante-gabriel-rossetti-1872-fc5f8cac.jpg
b'La Bella Mano',b'Dante Gabriel Rossetti',b'Mano',b'GB',https://az333959.vo.msecnd.net/images-5/la-bella-mano-dante-gabriel-rossetti-9c13be68.jpg
b"Cupid's Hunting Fields",b'Edward Burne-Jones',b'1882',b'GB',https://az334033.vo.msecnd.net/images-4/cupid-s-hunting-fields-edward-burne-jones-1882-a9dc8eed.jpg
b'Bottles',b'Dante Gabriel Rossetti',b'Bottles',b'GB',https://az333959.vo.msecnd.net/images-7/bottles-dante-gabriel-rossetti-5b4c0a2b.jpg
b'Head of Nimue',b'Edward Burne-Jones',b'1873',b'GB',https://az333959.vo.msecnd.net/images-0/head-of-nimue-edward-burne-jones-1873-c20ed7be.jpg
b'An Attack on a Galleon',b'Howard Pyle',b'1905',b'US',https://az333959.vo.msecnd.net/images-3/an-attack-on-a-galleon-howard-pyle-1905-f6c7b70c.jpg
b'Romeo and Juliet',b'Ford Madox Brown',b'1870',b'GB',https://az333960.vo.msecnd.net/images-0/romeo-and-juliet-ford-madox-brown-1870-0693a3b1.jpg
b'Beatrice',b'Marie Spartali Stillman',b'Beatrice',b'GB',https://az333959.vo.msecnd.net/images-4/beatrice-marie-spartali-stillman-9a5b77cb.jpg
b'Mary Magdalene',b'Dante Gabriel Rossetti',b'Magdalene',b'GB',https://az334033.vo.msecnd.net/images-5/mary-magdalene-dante-gabriel-rossetti-9f571693.jpg
b"The Prioress's Tale",b'Edward Burne-Jones',b'Tale',b'GB',https://az334034.vo.msecnd.net/images-5/the-prioress-s-tale-edward-burne-jones-e866773d.jpg
b'Elizabeth Siddal',b'Dante Gabriel Rossetti',b'Siddal',b'GB',https://az334034.vo.msecnd.net/images-0/elizabeth-siddal-dante-gabriel-rossetti-cc09bcbd.jpg
b'Hesterna Rosa',b'Dante Gabriel Rossetti',b'Rosa',b'GB',https://az333959.vo.msecnd.net/images-8/hesterna-rosa-dante-gabriel-rossetti-e7a76708.jpg
b'Hymenaeus',b'Edward Burne-Jones',b'1869',b'GB',https://az334033.vo.msecnd.net/images-3/hymenaeus-edward-burne-jones-1869-37ce22c2.jpg
b'Found',b'Dante Gabriel Rossetti',b'1854',b'GB',https://az333960.vo.msecnd.net/images-5/found-dante-gabriel-rossetti-1854-f489a52c.jpg
b'Water Willow',b'Dante Gabriel Rossetti',b'1871',b'GB',https://az334033.vo.msecnd.net/images-9/water-willow-dante-gabriel-rossetti-1871-499e7e8c.jpg
