Title,Artist,Year,Country,Thumbnail
b'Cardinal Melchior de Polignac Visiting St. Peter',b'Giovanni Paolo Panini',b'Peter',b'IT',https://az333959.vo.msecnd.net/images-6/cardinal-melchior-de-polignac-visiting-st-peter-giovanni-paolo-panini-61635b31.jpg
b'Adam and Eve',b'Adriaen van der Werff',b'1700',b'NL',https://az334034.vo.msecnd.net/images-9/adam-and-eve-adriaen-van-der-werff-1700-1af0e67b.jpg
b'Le Singe peintre',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1740',b'FR',https://az334034.vo.msecnd.net/images-5/le-singe-peintre-jean-baptiste-simeon-chardin-1740-7adc591c.jpg
b'Portrait de femme en amazone avec son chien',b'Ferdinand Georg Waldm\xc3\xbcller',b'1839',b'AT',https://az334033.vo.msecnd.net/images-0/portrait-de-femme-en-amazone-avec-son-chien-ferdinand-georg-waldmuller-1839-621d2189.jpg
b'Portrait of Fran\xc3\xa7ois I as St John the Baptist',b'Jean Clouet',b'1518',,https://az334034.vo.msecnd.net/images-8/portrait-of-francois-i-as-st-john-the-baptist-jean-clouet-1518-2b111655.jpg
b'Autumn',b'Hugues Taraval',b'1769',,https://az334034.vo.msecnd.net/images-2/autumn-hugues-taraval-1769-bb1afd84.jpg
b'Adoration and gifts from France to the Dauphin of Heavens',b'Justus van Egmont',b'1637',,https://az334033.vo.msecnd.net/images-8/adoration-and-gifts-from-france-to-the-dauphin-of-heavens-justus-van-egmont-1637-d2151019.jpg
b'Vanitas',b'Anonymous',b'1625',,https://az334033.vo.msecnd.net/images-1/vanitas-anonymous-1625-fcb28a13.jpg
b'Stag hunt',b'Paul Brill',b'1610',,https://az333959.vo.msecnd.net/images-8/stag-hunt-paul-brill-1610-abd9039e.jpg
b"The Coronation of Marie de' Medici in Saint-Denis",b'Peter Paul Rubens',b'1623',b'NL',https://az334034.vo.msecnd.net/images-5/the-coronation-of-marie-de-medici-in-saint-denis-peter-paul-rubens-1623-c68866a2.jpg
b'Gathering of Smokers and Drinkers',b'Simon de Vos',b'1626',,https://az334034.vo.msecnd.net/images-9/gathering-of-smokers-and-drinkers-simon-de-vos-1626-04f76053.jpg
b'The Nymphs of Parthenope Led toward the Banks of the Seine',b'Charles Meynier',b'1827',,https://az334033.vo.msecnd.net/images-3/the-nymphs-of-parthenope-led-toward-the-banks-of-the-seine-charles-meynier-1827-a2a2e560.jpg
b'Neptune and Amymone',b'Charles-Andr\xc3\xa9 van Loo',b'1757',,https://az334033.vo.msecnd.net/images-3/neptune-and-amymone-charles-andre-van-loo-1757-55e20e7d.jpg
b"The Presentation of Marie de' Medici's Portrait to Henry IV",b'Peter Paul Rubens',b'1623',b'NL',https://az334034.vo.msecnd.net/images-5/the-presentation-of-marie-de-medici-s-portrait-to-henry-iv-peter-paul-rubens-1623-260b659d.jpg
b'Madonna and Child with St Dorothy',b'David Teniers the Younger',b'1656',b'NL',https://az334034.vo.msecnd.net/images-0/madonna-and-child-with-st-dorothy-david-teniers-the-younger-1656-b59328a9.jpg
b'Minerva and the Muses',b'Jacques Stella',b'1650',,https://az334034.vo.msecnd.net/images-5/minerva-and-the-muses-jacques-stella-1650-65821a32.jpg
b'Eliezer and Rebecca',b'Antoine Coypel',b'1701',,https://az334033.vo.msecnd.net/images-0/eliezer-and-rebecca-antoine-coypel-1701-8e8859a2.jpg
b'La Courtisane amoureuse',b'Pierre Subleyras',b'1735',,https://az334033.vo.msecnd.net/images-1/la-courtisane-amoureuse-pierre-subleyras-1735-1ff39b4a.jpg
|b'Portrait of a Nobleman, His Hand on a Sword'|,b'Tintoretto',b'1540',,https://az333960.vo.msecnd.net/images-8/portrait-of-a-nobleman-his-hand-on-a-sword-tintoretto-1540-3698f1b2.jpg
b'Titania Sleeping',b'Richard Dadd',b'Sleeping',b'GB',https://az334033.vo.msecnd.net/images-9/titania-sleeping-richard-dadd-ba062e12.jpg
b'St. John the Baptist Preaching in the Desert',b'Pier Francesco Mola',b'1659',,https://az334033.vo.msecnd.net/images-9/st-john-the-baptist-preaching-in-the-desert-pier-francesco-mola-1659-7fe0ff8c.jpg
b'Untitled',b'Nicolas Poussin',b'Untitled',b'FR',https://az333959.vo.msecnd.net/images-7/untitled-nicolas-poussin-7-85b2f880.jpg
b'Landscape Near Rhenen',b'Aelbert Cuyp',b'1650',b'NL',https://az333959.vo.msecnd.net/images-6/landscape-near-rhenen-aelbert-cuyp-1650-a2ec2d86.jpg
b'Landscape with St. Eustachius',b'Giovanni Battista Viola',b'1620',,https://az333959.vo.msecnd.net/images-9/landscape-with-st-eustachius-giovanni-battista-viola-1620-a20a4d3d.jpg
b"Landscape with Absalom Wounded by Joab's Spear",b'Giovanni Battista Viola',b'Spear',,https://az334033.vo.msecnd.net/images-6/landscape-with-absalom-wounded-by-joab-s-spear-giovanni-battista-viola-79e979a6.jpg
b'The Lamentation over Christ',b'Otto van Veen',b'1495',,https://az333960.vo.msecnd.net/images-1/the-lamentation-over-christ-otto-van-veen-1495-21dbb74e.jpg
|b'Johann Wilhelm, Elector Palatine, Entering D\xc3\xbcsseldorf'|,b'Giovanni Antonio Pellegrini',b'1713',b'IT',https://az334034.vo.msecnd.net/images-1/johann-wilhelm-elector-palatine-entering-dusseldorf-giovanni-antonio-pellegrini-1713-85563469.jpg
b'Untitled',b'Alexandre-Gabriel Decamps',b'1841',,https://az334034.vo.msecnd.net/images-7/untitled-alexandre-gabriel-decamps-1841-73de7340.jpg
b"Jephthah's Daughter",b'Giuseppe Bazzani',b'Daughter',,https://az334034.vo.msecnd.net/images-8/jephthah-s-daughter-giuseppe-bazzani-4efce73c.jpg
b'Apollo Crowned by Victory',b'No\xc3\xabl Coypel',b'1675',,https://az333960.vo.msecnd.net/images-7/apollo-crowned-by-victory-noel-coypel-1675-0db195be.jpg
b'The Continence of Scipio',b'Giambattista Pittoni',b'1733',,https://az333960.vo.msecnd.net/images-1/the-continence-of-scipio-giambattista-pittoni-1733-3f7ecb83.jpg
b'Latona Transforming the Lycian Peasants into Frogs',b'Pietro Paolo Bonzi',b'Frogs',,https://az333959.vo.msecnd.net/images-5/latona-transforming-the-lycian-peasants-into-frogs-pietro-paolo-bonzi-2497f5f1.jpg
|b'Cornelia, Mother of the Gracchi'|,b'Giuseppe Cades',b'Gracchi',,https://az334034.vo.msecnd.net/images-5/cornelia-mother-of-the-gracchi-giuseppe-cades-3890c8fc.jpg
b'The Wedding at Cana',b'Leandro Bassano',b'Cana',,https://az334034.vo.msecnd.net/images-5/the-wedding-at-cana-leandro-bassano-40d2c9cf.jpg
b'La Marquise de Pompadour',b'Fran\xc3\xa7ois Boucher',b'1725',b'FR',https://az334034.vo.msecnd.net/images-5/la-marquise-de-pompadour-francois-boucher-1725-6159ac19.jpg
b'The Road to Calvary',b'Francesco Bassano the Younger',b'Calvary',,https://az334033.vo.msecnd.net/images-8/the-road-to-calvary-francesco-bassano-the-younger-53b43ceb.jpg
b'The Greens Market in Amsterdam',b'Gabri\xc3\xabl Metsu',b'1660',b'NL',https://az334033.vo.msecnd.net/images-8/the-greens-market-in-amsterdam-gabriel-metsu-1660-033dd5c8.jpg
b'Earth or The Earthly Paradise',b'Jan Brueghel the Elder',b'1621',b'BE',https://az333960.vo.msecnd.net/images-1/earth-or-the-earthly-paradise-jan-brueghel-the-elder-1621-fd17386f.jpg
