Title,Artist,Year,Country,Thumbnail
b'Rest on the Flight into Egypt',b'Michelangelo Merisi da Caravaggio',b'1597',b'IT',https://az334034.vo.msecnd.net/images-0/rest-on-the-flight-into-egypt-caravaggio-1597-59b632a3.jpg
b'Portrait of Andrea Navagero and Agostino Beazzano',b'Raphael',b'1516',b'IT',https://az333959.vo.msecnd.net/images-7/portrait-of-andrea-navagero-and-agostino-beazzano-raphael-1516-ad8aae3c.jpg
b'Portrait of Innocent X',b'Diego Vel\xc3\xa1zquez',b'1650',b'ES',https://az334034.vo.msecnd.net/images-6/portrait-of-innocent-x-diego-velazquez-1650-afadf085.jpg
b'Salome',b'Titian',b'1515',b'IT',https://az333960.vo.msecnd.net/images-1/salome-titian-1515-287e97d1.jpg
b'Hafen von Neapel',b'Jan Brueghel the Elder',b'1558',b'BE',https://az334034.vo.msecnd.net/images-6/untitled-jan-brueghel-the-elder-1558-1-ab81f9ef.jpg
b'Untitled',b'Parmigianino',b'1525',b'IT',https://az334034.vo.msecnd.net/images-5/untitled-parmigianino-1525-1-bb4b19c9.jpg
b'Two monks in prayer',b'Anonymous',b'prayer',,https://az334034.vo.msecnd.net/images-0/two-monks-in-prayer-anonymous-2b6e9506.jpg
b'The Flight into Egypt',b'Annibale Carracci',b'1604',b'IT',https://az333959.vo.msecnd.net/images-7/the-flight-into-egypt-annibale-carracci-1604-a08f0bee.jpg
b'Vedute von Delphi mit einer Opferprozession',b'Claude Lorrain',b'Opferprozession',b'FR',https://az333959.vo.msecnd.net/images-7/vedute-von-delphi-mit-einer-opferprozession-claude-lorrain-9fe3e556.jpg
b'Penitent Magdalene',b'Michelangelo Merisi da Caravaggio',b'1593',b'IT',https://az333960.vo.msecnd.net/images-5/penitent-magdalene-caravaggio-1593-0d5cbdb7.jpg
b'Portrait of Andrea Doria',b'Sebastiano del Piombo',b'1526',b'IT',https://az333959.vo.msecnd.net/images-1/portrait-of-andrea-doria-sebastiano-del-piombo-1526-5ce86bd8.jpg
b'St Anthony with a Donor',b'Jan Gossaert',b'Donor',b'NL',https://az334034.vo.msecnd.net/images-1/st-anthony-with-a-donor-jan-gossaert-29b8dddf.jpg
b'Naval Battle in the Gulf of Naples',b'Pieter Brueghel the Elder',b'1556',b'NL',https://az333959.vo.msecnd.net/images-3/naval-battle-in-the-gulf-of-naples-pieter-brueghel-the-elder-1556-a0511102.jpg
b'Lamentation',b'Hans Memling',b'Lamentation',b'NL',https://az333960.vo.msecnd.net/images-6/lamentation-hans-memling-0472059b.jpg
b'Portrait of a Man aged 37',b'Lorenzo Lotto',b'1543',b'IT',https://az333959.vo.msecnd.net/images-1/portrait-of-a-man-aged-37-lorenzo-lotto-1543-345d6bee.jpg
b'Untitled',b'Domenichino',b'1600',b'IT',https://az334034.vo.msecnd.net/images-7/untitled-domenichino-1600-3a8104d0.jpg
