Title,Artist,Year,Country,Thumbnail
b'The Martyrdom of St Maurice',b'El Greco',b'1582',b'GR',https://az334033.vo.msecnd.net/images-5/untitled-el-greco-1580-2-e5ab7c5d.jpg
b"Joseph's Tunic",b'Diego Vel\xc3\xa1zquez',b'1630',b'ES',https://az333960.vo.msecnd.net/images-4/joseph-s-tunic-diego-velazquez-1630-3c5ca54f.jpg
b'St Ildefonso',b'El Greco',b'1610',b'GR',https://az334033.vo.msecnd.net/images-7/untitled-el-greco-1609-1-8d8fa7e0.jpg
b'Untitled',b'Pietro Martire Neri',b'1652',,https://az334034.vo.msecnd.net/images-3/untitled-pietro-martire-neri-1652-f235407f.jpg
b'Virgin and Child with a Rosary',b'Artemisia Gentileschi',b'1651',b'IT',https://az334034.vo.msecnd.net/images-3/virgin-and-child-with-a-rosary-artemisia-gentileschi-1651-9482ac44.jpg
|b'Philips II (1527-1598), King of Spain'|,b'Antonis Mor',b'1560',,https://az334033.vo.msecnd.net/images-1/philips-ii-1527-1598-king-of-spain-antonis-mor-1560-ef3ea068.jpg
b'Saint Francis receiving stigmata',b'El Greco',b'1605',b'GR',https://az333960.vo.msecnd.net/images-7/saint-francis-receiving-stigmata-el-greco-1605-eb67bf4d.jpg
b'Landscape with St. Christopher',b'Joachim Patinir',b'1520',,https://az334033.vo.msecnd.net/images-0/landscape-with-st-christopher-joachim-patinir-1520-b89f61e5.jpg
b'The Adoration of the Name of Jesus',b'El Greco',b'1580',b'GR',https://az334033.vo.msecnd.net/images-2/adoration-of-the-name-of-jesus-el-greco-1577-d731d080.jpg
b'The Martyrdom of St. Maurice',b'El Greco',b'1582',b'GR',https://az334033.vo.msecnd.net/images-0/untitled-el-greco-1580-76431fc2.jpg
b'Christ Crowned with Thorns',b'Hieronymus Bosch',b'1495',b'NL',https://az333959.vo.msecnd.net/images-0/christ-crowned-with-thorns-hieronymus-bosch-1495-1-78316141.jpg
b'Saint Jerome in Penitence',b'Titian',b'1575',b'IT',https://az334033.vo.msecnd.net/images-5/saint-jerome-in-penitence-titian-1575-28a4f10a.jpg
b'The Haywain Triptych',b'Anonymous',b'Triptych',,https://az333960.vo.msecnd.net/images-8/the-haywain-triptych-anonymous-13967fc3.jpg
b'Crucifixion',b'Titian',b'1555',b'IT',https://az334034.vo.msecnd.net/images-9/crucifixion-titian-1555-93d5cb33.jpg
b'Saint Francis Receiving the Stigmata',b'El Greco',b'1595',b'GR',https://az334033.vo.msecnd.net/images-3/saint-francis-receiving-the-stigmata-el-greco-1595-25411227.jpg
b'Charles II of Spain',b'Juan Carre\xc3\xb1o de Miranda',b'1675',,https://az334034.vo.msecnd.net/images-1/charles-ii-of-spain-juan-carreno-de-miranda-1675-0b5fdb96.jpg
