Title,Artist,Year,Country,Thumbnail
b'Our Banner in the Sky',b'Frederic Edwin Church',b'1861',b'US',https://az333960.vo.msecnd.net/images-0/our-banner-in-the-sky-frederic-edwin-church-ced1a6b5.jpg
b'The Broken Pitcher',b'William-Adolphe Bouguereau',b'1891',b'FR',https://az333959.vo.msecnd.net/images-1/the-broken-pitcher-william-adolphe-bouguereau-1891-0a83f807.jpg
b'Young Boy with Dog',b'Samuel Miller',b'1850',b'US',https://az333960.vo.msecnd.net/images-6/young-boy-with-dog-samuel-miller-1850-474cce79.jpg
|b'Afternoon in the Cluny Garden, Paris'|,b'Charles Courtney Curran',b'1889',b'US',https://az333960.vo.msecnd.net/images-7/old-house-pont-neuf-paris-will-ashton-1933-767f240f.jpg
b'Portrait of a Lady of the Saxon Court as Judith with the...',b'Lucas Cranach the Elder and Workshop',b'1537',,https://az334033.vo.msecnd.net/images-6/portrait-of-a-lady-of-the-saxon-court-as-judith-with-the-head-of-holofernes-lucas-cranach-the-elder-and-workshop-1537-95dee983.jpg
b'Sunlight and Shadow',b'Albert Bierstadt',b'1862',,https://az334033.vo.msecnd.net/images-6/sunlight-and-shadow-albert-bierstadt-1862-d385cd68.jpg
b'Flowers in a Silver Vase',b'Willem van Aelst',b'1663',,https://az333959.vo.msecnd.net/images-5/flowers-in-a-silver-vase-willem-van-aelst-1663-6c507cba.jpg
b'St. Francis Venerating the Crucifix',b'El Greco',b'1595',b'GR',https://az333960.vo.msecnd.net/images-5/st-francis-venerating-the-crucifix-el-greco-1595-218a6fed.jpg
b'Le verre de porto (A Dinner Table at Night)',b'John Singer Sargent',b'1884',b'US',https://az334034.vo.msecnd.net/images-2/le-verre-de-porto-john-singer-sargent-1884-ca39df06.jpg
b'California Spring',b'Albert Bierstadt',b'1875',,https://az334033.vo.msecnd.net/images-6/california-spring-albert-bierstadt-1875-02404e8c.jpg
|b'Thalia, Muse of Comedy'|,b'Jean-Marc Nattier',b'1739',b'FR',https://az334034.vo.msecnd.net/images-0/thalia-muse-of-comedy-jean-marc-nattier-1739-b998cee3.jpg
b'St. Peter',b'El Greco',b'1610',b'GR',https://az333959.vo.msecnd.net/images-3/st-peter-el-greco-1605-badd503c.jpg
b'Landscape at Beaulieu',b'Auguste Renoir',b'1893',b'FR',https://az333960.vo.msecnd.net/images-3/landscape-at-beaulieu-pierre-auguste-renoir-1893-6b6287e5.jpg
b'Scene in the Arctic',b'William Bradford',b'1880',b'US',https://az333960.vo.msecnd.net/images-6/scene-in-the-arctic-william-bradford-1880-feb714b9.jpg
b'St. John the Baptist',b'El Greco',b'1600',b'GR',https://az333959.vo.msecnd.net/images-8/untitled-el-greco-57-6d3bccdf.jpg
b'Third Class Carriage',b'Honor\xc3\xa9 Daumier',b'1856',b'FR',https://az334034.vo.msecnd.net/images-2/third-class-carriage-honore-daumier-1856-4531a670.jpg
b'Harbor at Dieppe',b'Camille Pissarro',b'1902',b'FR',https://az333960.vo.msecnd.net/images-1/harbor-at-dieppe-camille-pissarro-1902-514351d7.jpg
b'The Gold Scab: Eruption in Frilthy Lucre',b'James Abbott McNeill Whistler',b'1879',b'US',https://az334034.vo.msecnd.net/images-6/the-gold-scab-eruption-in-frilthy-lucre-james-abbott-mcneill-whistler-1879-534797f5.jpg
b'The Road Near the Farm',b'Camille Pissarro',b'1871',b'FR',https://az333960.vo.msecnd.net/images-1/the-road-near-the-farm-camille-pissarro-1871-f946ad35.jpg
b'Marie-Anne Carolus-Duran',b'Carolus-Duran',b'1874',b'FR',https://az333959.vo.msecnd.net/images-5/marie-anne-carolus-duran-carolus-duran-1874-fbc3261a.jpg
b'Untitled',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'Untitled',b'FR',https://az334034.vo.msecnd.net/images-0/untitled-louise-elisabeth-vigee-le-brun-1-f604b4c1.jpg
b'Mont-Saint-Michel',b'William Stanley Haseltine',b'1868',,https://az333960.vo.msecnd.net/images-9/mont-saint-michel-william-stanley-haseltine-1868-db91e501.jpg
b'Madame Cl\xc3\xa9mentine Valensi Stora',b'Auguste Renoir',b'1870',b'FR',https://az333960.vo.msecnd.net/images-5/madame-clementine-valensi-stora-pierre-auguste-renoir-1870-89fd0640.jpg
b'Blackberries',b'Raphaelle Peale',b'Blackberries',,https://az334034.vo.msecnd.net/images-1/blackberries-raphaelle-peale-e16c52f4.jpg
b'View near the Village of Catskill',b'Thomas Cole',b'1827',b'US',https://az334033.vo.msecnd.net/images-5/view-near-the-village-of-catskill-thomas-cole-1827-3c184efb.jpg
|b'Laure-Emilie-Felicite David, La Baronne Meunier'|,b'Jacques-Louis David',b'1812',b'FR',https://az334033.vo.msecnd.net/images-2/laure-emilie-felicite-david-la-baronne-meunier-jacques-louis-david-1812-e88f695c.jpg
b'Portrait of a Lady',b'Anthony van Dyck',b'1620',b'NL',https://az333959.vo.msecnd.net/images-4/portrait-of-a-lady-anthony-van-dyck-1620-40a45e36.jpg
b'The Eiffel Tower',b'Georges Seurat',b'1889',b'FR',https://az334033.vo.msecnd.net/images-7/the-eiffel-tower-georges-seurat-1889-fd94f7cd.jpg
|b'The Grand Canal, Venice'|,b'Claude Monet',b'1908',b'FR',https://az333960.vo.msecnd.net/images-7/the-grand-canal-venice-claude-monet-1908-8d9dc706.jpg
b'A Cloud and Landscape Study by Moonlight',b'Johan Christian Dahl',b'1822',b'NO',https://az334033.vo.msecnd.net/images-6/a-cloud-and-landscape-study-by-moonlight-johan-christian-dahl-1822-0fac9ba2.jpg
b'Nassau Harbor',b'Albert Bierstadt',b'1877',,https://az333960.vo.msecnd.net/images-0/nassau-harbor-albert-bierstadt-1877-ffbd2de4.jpg
|b'Tshi-Zun-Hau-Kau (He-Who-Runs-with-Deer), Winnebago'|,b'Henry Inman',b'1832',b'US',https://az333960.vo.msecnd.net/images-7/tshi-zun-hau-kau-he-who-runs-with-deer-winnebago-henry-inman-1832-30d1e013.jpg
b"At the Milliner's (La Modiste)",b'Edouard Manet',b'1881',b'FR',https://az333960.vo.msecnd.net/images-4/at-the-milliner-s-la-modiste-edouard-manet-1881-c93b5b72.jpg
b'Albert Post (1843-1872)',b'Winslow Homer',b'1864',b'US',https://az334034.vo.msecnd.net/images-4/albert-post-1843-1872-winslow-homer-1864-e2f035a8.jpg
b'Portrait of a Gentleman (Pierre Van Schuppen?)',b'Nicolas de Largilli\xc3\xa8re',b'1680',b'FR',https://az334033.vo.msecnd.net/images-7/portrait-of-a-gentleman-pierre-van-schuppen-nicolas-de-largilliere-1680-ee138d4d.jpg
b'Portrait of a Gentleman in Black',b'Gerard ter Borch',b'1639',,https://az333960.vo.msecnd.net/images-0/portrait-of-a-gentleman-in-black-gerard-ter-borch-1639-32286b48.jpg
b'Female Model',b'Thomas Eakins',b'1867',b'US',https://az333959.vo.msecnd.net/images-4/female-model-thomas-eakins-1867-458b33eb.png
|b'Woman Nursing an Infant, with a Child and a Dog'|,b'Pieter de Hooch',b'Dog',b'NL',https://az334034.vo.msecnd.net/images-6/woman-nursing-an-infant-with-a-child-and-a-dog-pieter-de-hooch-eaf5de79.jpg
b'Farallon Islands',b'Albert Bierstadt',b'1872',,https://az334034.vo.msecnd.net/images-6/farallon-islands-albert-bierstadt-1872-ecbccd72.jpg
b'Moonlight',b'George Inness',b'1893',b'US',https://az333960.vo.msecnd.net/images-5/moonlight-george-inness-1893-f9928551.jpg
b'Madonna and Child',b'Taddeo di Bartolo',b'1400',b'IT',https://az333960.vo.msecnd.net/images-4/madonna-and-child-taddeo-di-bartolo-1400-46219a22.jpg
b'Saint Anthony and Saint Stephen',b'Bicci di Lorenzo',b'Stephen',,https://az334033.vo.msecnd.net/images-7/saint-anthony-and-saint-stephen-bicci-di-lorenzo-2c99ad31.jpg
b'Autumn',b'Karl H. Baumann',b'1941',,https://az334034.vo.msecnd.net/images-7/autumn-karl-h-baumann-1941-9dbe8a3b.jpg
b'The Beach at Trouville',b'Eug\xc3\xa8ne Boudin',b'1879',b'FR',https://az334034.vo.msecnd.net/images-8/the-beach-at-trouville-eugene-boudin-1879-abd2cd13.jpg
b'Adam and Eve',b'Adriaen Isenbrandt',b'Eve',,https://az333960.vo.msecnd.net/images-2/adam-and-eve-adriaen-isenbrandt-7dc08805.jpg
b'George Washington',b'Rembrandt Peale',b'1850',b'US',https://az333960.vo.msecnd.net/images-0/george-washington-rembrandt-peale-1850-65d854c0.jpg
b'The Landing',b'Hubert Robert',b'Landing',b'FR',https://az333960.vo.msecnd.net/images-7/the-landing-hubert-robert-c186529e.jpg
b'Saint John the Baptist and Saint Miniato',b'Bicci di Lorenzo',b'Miniato',,https://az333960.vo.msecnd.net/images-2/saint-john-the-baptist-and-saint-miniato-bicci-di-lorenzo-54eab697.jpg
b'Portrait of Rembrandt Sketching',b'Anonymous',b'1653',,https://az333960.vo.msecnd.net/images-0/portrait-of-rembrandt-sketching-anonymous-1653-5995b7ab.jpg
b'Portrait of a Man',b'Lucas Cranach the Younger',b'1545',,https://az333959.vo.msecnd.net/images-3/portrait-of-a-man-lucas-cranach-the-younger-1545-d7fa22bd.jpg
b'Self-Portrait',b'Charles Willson Peale',b'1822',,https://az334033.vo.msecnd.net/images-2/self-portrait-charles-willson-peale-1822-d184281e.jpg
b'Sacramento Indian',b'Charles Christian Nahl',b'1867',,https://az333960.vo.msecnd.net/images-2/sacramento-indian-charles-christian-nahl-1867-f6103dba.jpg
b'Shelter on Montmartre',b'Vincent van Gogh',b'1886',b'NL',https://az334033.vo.msecnd.net/images-8/shelter-on-montmartre-vincent-van-gogh-1-1455f47e.jpg
b'Moment Musicale',b'Charles Frederic Ulrich',b'1883',,https://az334034.vo.msecnd.net/images-2/moment-musicale-charles-frederic-ulrich-1883-1269ef60.jpg
|b'Seaweed and Surf, Appledore, at Sunset'|,b'Childe Hassam',b'1912',b'US',https://az334034.vo.msecnd.net/images-5/seaweed-and-surf-appledore-at-sunset-childe-hassam-1912-d39a366d.jpg
b'The Adoration of the Lamb (Modello from the apse fresco...',b'Giovanni Battista Gaulli',b'1680',,https://az334033.vo.msecnd.net/images-7/the-adoration-of-the-lamb-modello-from-the-apse-fresco-in-il-gesu-rome-giovanni-battista-gaulli-1680-6748d1df.jpg
b'St. John the Baptist Preaching',b'Mattia Preti',b'1665',,https://az334033.vo.msecnd.net/images-4/st-john-the-baptist-preaching-mattia-preti-1665-2a7aadea.jpg
b'Madonna Enthroned with Saints and Angels',b'Raffaellino del Garbo',b'1502',,https://az334034.vo.msecnd.net/images-9/madonna-enthroned-with-saints-and-angels-raffaellino-del-garbo-1502-84c54a34.jpg
b'The Empire of Flora',b'Giovanni Battista Tiepolo',b'1743',b'IT',https://az334034.vo.msecnd.net/images-9/the-empire-of-flora-giovanni-battista-tiepolo-1743-5c326a70.jpg
b'Portrait of Joris de Caullery',b'Rembrandt',b'1632',b'NL',https://az333959.vo.msecnd.net/images-8/portrait-of-joris-de-caullery-rembrandt-1632-17248437.jpg
b'A View on Hampstead Heath with Harrow in the Distance',b'John Constable',b'1822',b'GB',https://az333959.vo.msecnd.net/images-0/a-view-on-hampstead-heath-with-harrow-in-the-distance-john-constable-1822-a56b0cc5.jpg
b'The Courtship',b'Thomas Eakins',b'Courtship',b'US',https://az334033.vo.msecnd.net/images-2/the-courtship-thomas-eakins-77baef46.jpg
b'Latona and the Frogs',b'David Teniers the Younger',b'Frogs',b'NL',https://az334033.vo.msecnd.net/images-6/latona-and-the-frogs-david-teniers-the-younger-c8634af0.jpg
