Title,Artist,Year,Country,Thumbnail
|b'The Luxembourg Gardens, Paris'|,b'Albert Edelfelt',b'1887',b'FI',https://az334033.vo.msecnd.net/images-7/the-luxembourg-gardens-paris-albert-edelfelt-1887-9c37d273.jpg
b'Hearing the Homework',b'Yrj\xc3\xb6 Ollila',b'1923',b'FI',https://az333960.vo.msecnd.net/images-0/hearing-the-homework-yrjo-ollila-1923-d70297b7.jpg
b'Kreeta Haapasalo Playing the Kantele in a Peasant Cottage',b'Robert Wilhelm Ekman',b'1868',,https://az333959.vo.msecnd.net/images-3/kreeta-haapasalo-playing-the-kantele-in-a-peasant-cottage-robert-wilhelm-ekman-1868-5fae3806.jpg
b'Connoisseurs at a Gallery',b'Hieronymous Francken II',b'Gallery',,https://az333959.vo.msecnd.net/images-2/connoisseurs-at-a-gallery-hieronymous-francken-ii-1607-a876612f.jpg
b'Seated Lady',b'Valle Rosenberg',b'1913',,https://az334033.vo.msecnd.net/images-5/seated-lady-valle-rosenberg-1913-8f293b9f.jpg
b'Monk Reading',b'Rembrandt',b'1661',b'NL',https://az334034.vo.msecnd.net/images-1/monk-reading-rembrandt-1661-dc3837a0.jpg
b'Boys Playing on the Shore (Children Playing on the Shore)',b'Albert Edelfelt',b'1884',b'FI',https://az334033.vo.msecnd.net/images-7/boys-playing-on-the-shore-children-playing-on-the-shore-albert-edelfelt-1884-700f0972.jpg
b'Queen Bianca',b'Albert Edelfelt',b'1877',b'FI',https://az334033.vo.msecnd.net/images-0/queen-bianca-albert-edelfelt-1877-d11ea8f8.jpg
b"Conveying the Child's Coffin (A Child's Funeral)",b'Albert Edelfelt',b'1879',b'FI',https://az333960.vo.msecnd.net/images-2/conveying-the-child-s-coffin-a-child-s-funeral-albert-edelfelt-1879-f89da2b0.jpg
|b'Female Nude, Study'|,b'Albert Edelfelt',b'1874',b'FI',https://az334034.vo.msecnd.net/images-6/female-nude-study-albert-edelfelt-1874-31e52eb6.jpg
b'The Wounded Angel',b'Hugo Simberg',b'1903',b'FI',https://az333959.vo.msecnd.net/images-1/the-wounded-angel-hugo-simberg-1903-c9329fa4.jpg
b'Out into the World',b'Maria Wiik',b'1889',,https://az334034.vo.msecnd.net/images-9/out-into-the-world-maria-wiik-1889-a647af27.jpg
b'The Bells',b'Ilmari Aalto',b'1914',,https://az333960.vo.msecnd.net/images-3/the-bells-ilmari-aalto-1914-bbfa6722.jpg
b'Self-Portrait',b'Vilho Lampi',b'1933',b'FI',https://az333959.vo.msecnd.net/images-0/self-portrait-vilho-lampi-1933-48b27c1c.jpg
b'The Grey Dance',b'V\xc3\xa4in\xc3\xb6 Kunnas',b'1928',,https://az333960.vo.msecnd.net/images-5/the-grey-dance-vaino-kunnas-4e9d1edd.jpg
b'Lucretia',b'Lucas Cranach the Elder',b'1530',b'DE',https://az333959.vo.msecnd.net/images-7/lucretia-lucas-cranach-the-elder-1530-243932f0.jpg
b'Portrait of the Artist\xc2\xb4s Sister Berta Edelfelt',b'Albert Edelfelt',b'1876',b'FI',https://az333960.vo.msecnd.net/images-5/portrait-of-the-artist-s-sister-berta-edelfelt-albert-edelfelt-1876-ae956084.jpg
|b'Christ and Mary Magdalene, a Finnish Legend'|,b'Albert Edelfelt',b'1890',b'FI',https://az334033.vo.msecnd.net/images-4/christ-and-mary-magdalene-a-finnish-legend-albert-edelfelt-1890-b47779ae.jpg
b'Duke Karl Insulting the Corpse of Klaus Fleming',b'Albert Edelfelt',b'1878',b'FI',https://az333959.vo.msecnd.net/images-3/duke-karl-insulting-the-corpse-of-klaus-fleming-albert-edelfelt-1878-2cab59cf.jpg
b'Garland Bearer ; Boy Carrying the Garland of Life',b'Hugo Simberg',b'1905',b'FI',https://az333959.vo.msecnd.net/images-5/garland-bearer-boy-carrying-the-garland-of-life-hugo-simberg-1905-9f2ce5dd.jpg
b'Mother',b'Elin Danielson-Gambogi',b'1893',,https://az333959.vo.msecnd.net/images-8/mother-elin-danielson-gambogi-1893-349c6447.jpg
|b'Spring Evening when the Ice Is Melting :Spring Evening,...'|,b'Hugo Simberg',b'1897',b'FI',https://az334033.vo.msecnd.net/images-8/spring-evening-when-the-ice-is-melting-spring-evening-the-ice-is-breaking-up-spring-evening-when-the-ice-is-melting-spring-evening-ice-break-hugo-simberg-1897-96718046.jpg
b'Girl Straightening Her Hair',b'Magnus Enckell',b'1902',b'FI',https://az334034.vo.msecnd.net/images-1/girl-straightening-her-hair-magnus-enckell-1902-674cdafd.jpg
