Title,Artist,Year,Country,Thumbnail
b'Self-Portrait Dedicated to Paul Gauguin',b'Vincent van Gogh',b'1888',b'NL',https://az333960.vo.msecnd.net/images-4/self-portrait-dedicated-to-paul-gauguin-vincent-van-gogh-1888-612f7dc2.jpg
b"Lander's Peak",b'Albert Bierstadt',b'1863',,https://az334033.vo.msecnd.net/images-7/lander-s-peak-albert-bierstadt-1863-0fb98088.jpg
b"Summer Scene (Scene d'Ete / Les Baigneurs)",b'Fr\xc3\xa9d\xc3\xa9ric Bazille',b'1898',b'FR',https://az333960.vo.msecnd.net/images-1/scene-d-ete-frederic-bazille-1898-2b1aa242.jpg
b'Night',b'Edward Burne-Jones',b'Night',b'GB',https://az333960.vo.msecnd.net/images-8/night-edward-burne-jones-1-a5db713b.jpg
b'The Miracle of the Holy Fire',b'William Holman Hunt',b'1892',b'GB',https://az333959.vo.msecnd.net/images-6/the-miracle-of-the-holy-fire-william-holman-hunt-1892-033d5209.jpg
b'Pan and Psyche',b'Edward Burne-Jones',b'1874',b'GB',https://az333959.vo.msecnd.net/images-6/untitled-edward-burne-jones-2-f1e08940.jpg
b'Self-Portrait',b'Paul Gauguin',b'Self-Portrait',b'FR',https://az334033.vo.msecnd.net/images-8/self-portrait-paul-gauguin-6f300749.jpg
b'Portrait of the Artist (Fogg)',b'Rembrandt',b'(Fogg)',b'NL',https://az333960.vo.msecnd.net/images-6/portrait-of-the-artist-fogg-rembrandt-b98bb5b4.jpg
b'Days of Creation',b'Edward Burne-Jones',b'1870',b'GB',https://az333959.vo.msecnd.net/images-1/days-of-creation-edward-burne-jones-1870-c224010e.jpg
b'Portrait de Suzanne Valadon (The hangover)',b'Henri de Toulouse-Lautrec',b'hangover)',b'FR',https://az334034.vo.msecnd.net/images-0/untitled-henri-de-toulouse-lautrec-1-3c7e0951.jpg
b'In the Sierras / Lake Tahoe',b'Albert Bierstadt',b'1868',,https://az334034.vo.msecnd.net/images-3/in-the-sierras-lake-tahoe-albert-bierstadt-1868-732fbb82.jpg
b'The Blessed Damozel',b'Dante Gabriel Rossetti',b'1875',b'GB',https://az334034.vo.msecnd.net/images-4/the-blessed-damozel-dante-gabriel-rossetti-1875-a77b6926.jpg
b'Odalisque with Slave',b'Jean-Auguste-Dominique Ingres',b'1839',b'FR',https://az333960.vo.msecnd.net/images-8/odalisque-with-slave-jean-auguste-dominique-ingres-1839-a86cd96e.jpg
b'Days of Creation - Third',b'Edward Burne-Jones',b'1870',b'GB',https://az334034.vo.msecnd.net/images-8/days-of-creation-third-edward-burne-jones-1870-26b18dd3.jpg
b'Days of Creation - First',b'Edward Burne-Jones',b'1870',b'GB',https://az333959.vo.msecnd.net/images-9/days-of-creation-first-edward-burne-jones-1870-bc4c6bce.jpg
b'Untitled',b'Sandro Botticelli',b'1497',b'IT',https://az334034.vo.msecnd.net/images-0/untitled-sandro-botticelli-1497-26c6d8f6.jpg
b'Night',b'Edward Burne-Jones',b'Night',b'GB',https://az333959.vo.msecnd.net/images-9/night-edward-burne-jones-1e2efe00.jpg
b'Portrait of a preacher',b'Frans Hals',b'1635',b'NL',https://az333959.vo.msecnd.net/images-1/portrait-of-a-preacher-frans-hals-1635-b5432b25.jpg
