Title,Artist,Year,Country,Thumbnail
b'Cattle with a Milkmaid',b'Paulus Potter',b'1643',b'NL',https://az334033.vo.msecnd.net/images-4/cattle-with-a-milkmaid-paulus-potter-1643-a17d6f24.jpg
b'Dunes with a herdsman and his herd',b'Jacob van Ruisdael',b'herd',b'NL',https://az333959.vo.msecnd.net/images-9/dunes-with-a-herdsman-and-his-herd-jacob-van-ruisdael-8877262a.jpg
|b'Un faubourg de ville (Rochefort-sur-Mer, Charente)'|,b'Jean-Baptiste-Camille Corot',b'1851',b'FR',https://az334034.vo.msecnd.net/images-3/un-faubourg-de-ville-rochefort-sur-mer-charente-camille-corot-1851-1a2b6591.jpg
b'Portrait of Abraham van Lennep',b'Caspar Netscher',b'1678',b'NL',https://az333959.vo.msecnd.net/images-0/portrait-of-abraham-van-lennep-caspar-netscher-1678-792f0a60.jpg
|b'Portrait of Cornelia Bouwers, the artist\xe2\x80\x99s wife'|,b'Karel Slabbaert',b'1650',,https://az333960.vo.msecnd.net/images-9/portrait-of-cornelia-bouwers-the-artist-s-wife-karel-slabbaert-1650-664a06cd.jpg
b'Portrait of a woman and Portrait of a man',b'David Teniers the Younger',b'1635',b'NL',https://az333959.vo.msecnd.net/images-5/portrait-of-a-woman-and-portrait-of-a-man-david-teniers-the-younger-1635-ef8d46e1.jpg
b'Portrait of a girl picking grapes',b'Johannes Mytens',b'1640',b'NL',https://az334034.vo.msecnd.net/images-3/portrait-of-a-girl-picking-grapes-johannes-mytens-1640-6c927324.jpg
b'Self-portrait',b'Sofonisba Anguissola',b'1558',,https://az334033.vo.msecnd.net/images-4/self-portrait-sofonisba-anguissola-1558-91eddade.jpg
b'Landscape with Castle Kronenburg',b'Nicolaes Pieterszoon Berchem',b'1655',,https://az334034.vo.msecnd.net/images-0/landscape-with-castle-kronenburg-nicolaes-pieterszoon-berchem-1655-0e64ca0c.jpg
b'Books and Pamphlets',b'Jan Davidsz. de Heem',b'Pamphlets',b'NL',https://az334034.vo.msecnd.net/images-8/books-and-pamphlets-jan-davidsz-de-heem-75c383aa.jpg
b'Winter Landscape with a windmill',b'Jacob van Ruisdael',b'windmill',b'NL',https://az333959.vo.msecnd.net/images-7/winter-landscape-with-a-windmill-jacob-van-ruisdael-a19a0016.jpg
b'Mountain landscape with a bridge',b'Jan Both',b'1642',b'NL',https://az333959.vo.msecnd.net/images-3/mountain-landscape-with-a-bridge-jan-both-1642-19505861.jpg
|b'Adoration of the shepherds, after Andrea Schiavone'|,b'David Teniers the Younger',b'1656',b'NL',https://az334034.vo.msecnd.net/images-0/adoration-of-the-shepherds-after-andrea-schiavone-david-teniers-the-younger-1656-2509fa6c.jpg
b'View on the Rhine',b'Aelbert Cuyp',b'1645',b'NL',https://az333960.vo.msecnd.net/images-7/view-on-the-rhine-aelbert-cuyp-1645-905eed31.jpg
b'The Baptism of Christ',b'Gillis Mostaert',b'1598',,https://az333959.vo.msecnd.net/images-0/the-baptism-of-christ-gillis-mostaert-1598-9d78c6f5.jpg
b'The bulwark \xe2\x80\x98Het Blauwhoofd\xe2\x80\x99 in Amsterdam',b'Ludolf Bakhuizen',b'1660',,https://az333960.vo.msecnd.net/images-9/the-bulwark-het-blauwhoofd-in-amsterdam-ludolf-bakhuizen-1660-99470f7f.jpg
b'Winter landscape',b'Isaac van Ostade',b'1640',,https://az333959.vo.msecnd.net/images-8/winter-landscape-isaac-van-ostade-1640-aa70dcc8.jpg
b'Self-portrait',b'Karel Slabbaert',b'1650',,https://az333960.vo.msecnd.net/images-0/self-portrait-karel-slabbaert-1650-96505afa.jpg
