Title,Artist,Year,Country,Thumbnail
b'Vanitas - Still Life',b'Pieter Claesz.',b'1625',b'BE',https://az333959.vo.msecnd.net/images-1/vanitas-still-life-pieter-claesz-1625-fc9ee02c.jpg
b'The Banquet of the Officers of the St. Adrian Militia...',b'Cornelis van Haarlem',b'1583',,https://az334033.vo.msecnd.net/images-7/the-banquet-of-the-officers-of-the-st-adrian-militia-company-in-1583-cornelis-van-haarlem-1583-54d7f832.jpg
b'The Banquet of the Officers of the St Adrian Militia...',b'Frans Hals',b'1627',b'NL',https://az334033.vo.msecnd.net/images-2/the-banquet-of-the-officers-of-the-st-adrian-militia-company-in-1627-frans-hals-1627-7dfc38b8.jpg
b'The Officers of the St Adrian Militia Company in 1642',b'Pieter Soutman',b'1642',,https://az334034.vo.msecnd.net/images-7/the-officers-of-the-st-adrian-militia-company-in-1642-pieter-soutman-1642-4ce151f0.jpg
b'The Banquet of the Officers of the St George Militia...',b'Frans Hals',b'1627',b'NL',https://az333959.vo.msecnd.net/images-4/the-banquet-of-the-officers-of-the-st-george-militia-company-in-1627-frans-hals-1627-52d49798.jpg
b'Banquet of the Officers of both companies of the Haarlem...',b'Cornelis van Haarlem',b'1599',,https://az333960.vo.msecnd.net/images-5/banquet-of-the-officers-of-both-companies-of-the-haarlem-militia-1597-1600-cornelis-van-haarlem-1599-108c14c7.jpg
|b'Breakfast Piece with a Tazza, Fruit, and Cheese in a Basket'|,b'Pieter Claesz.',b'Basket',b'BE',https://az333960.vo.msecnd.net/images-4/breakfast-piece-with-a-tazza-fruit-and-cheese-in-a-basket-pieter-claesz-7a2b94d9.jpg
b'Banquet of the officers of the St. Joris civic guard in 1618',b'Frans Pietersz de Grebber',b'1618',,https://az333960.vo.msecnd.net/images-3/banquet-of-the-officers-of-the-st-joris-civic-guard-in-1618-frans-pietersz-de-grebber-1618-b2aecdf7.jpg
b'The Officers of the St Adrian Militia Company in 1630',b'Hendrik Gerritsz Pot',b'1630',,https://az333959.vo.msecnd.net/images-2/the-officers-of-the-st-adrian-militia-company-in-1630-hendrik-gerritsz-pot-1630-cfbef863.jpg
b'The Officers of the St Adrian Militia Company in 1633',b'Frans Hals',b'1633',b'NL',https://az333959.vo.msecnd.net/images-9/the-officers-of-the-st-adrian-militia-company-in-1633-frans-hals-1633-3499b0cb.jpg
b'The Banquet of the Officers of the St George Militia...',b'Frans Hals',b'1616',b'NL',https://az333959.vo.msecnd.net/images-0/the-banquet-of-the-officers-of-the-st-george-militia-company-in-1616-frans-hals-1616-e05ae442.jpg
b'The Banquet of the Officers of the St. Adrian Militia...',b'Cornelis Engelsz',b'Militia...',,https://az333959.vo.msecnd.net/images-0/the-banquet-of-the-officers-of-the-st-adrian-militia-company-in-1618-cornelis-engelsz-6467a4d3.jpg
b'A Monk With a Beguine',b'Cornelis van Haarlem',b'1591',,https://az334034.vo.msecnd.net/images-9/a-monk-with-a-beguine-cornelis-van-haarlem-1591-41d7237d.jpg
b'The prophet Elisha rejects the gifts of Naaman',b'Pieter de Grebber',b'1637',,https://az333959.vo.msecnd.net/images-4/the-prophet-elisha-rejects-the-gifts-of-naaman-pieter-de-grebber-1637-5b48989e.jpg
b'Seascape with ships along the coast',b'Cornelis Verbeeck',b'coast',b'NL',https://az334034.vo.msecnd.net/images-6/seascape-with-ships-along-the-coast-cornelis-verbeeck-f9e9bae3.jpg
b'The Drawing Class',b'Michael Sweerts',b'1656',b'NL',https://az334033.vo.msecnd.net/images-2/the-drawing-class-michiel-sweerts-1656-0b947e73.jpg
b'The Officers of the St George Militia Company in 1639',b'Frans Hals',b'1639',b'NL',https://az334033.vo.msecnd.net/images-8/the-officers-of-the-st-george-militia-company-in-1639-frans-hals-1639-03c07b79.jpg
b"Regentesses of the Old Men's Almshouse",b'Frans Hals',b'1664',b'NL',https://az333960.vo.msecnd.net/images-9/regentesses-of-the-old-men-s-almshouse-frans-hals-1664-182bb0b7.jpg
b'Untitled',b'Floris van Schooten',b'Untitled',,https://az334034.vo.msecnd.net/images-2/untitled-floris-van-schooten-7d432864.jpg
b'Portrait of Maria Geertruida Snabili\xc3\xa9',b'Pieter Pietersz Barbiers',b'1826',,https://az333959.vo.msecnd.net/images-6/portrait-of-maria-geertruida-snabilie-pieter-pietersz-barbiers-1826-638b576e.jpg
b'Banquet of the officers of the St. Adrian civic guard in...',b'Frans Pietersz de Grebber',b'1619',,https://az334033.vo.msecnd.net/images-7/banquet-of-the-officers-of-the-st-adrian-civic-guard-in-1619-frans-pietersz-de-grebber-1619-b7c4544d.jpg
|b'Still-Life with Fruit, Nuts and Cheese'|,b'Floris van Dyck',b'1613',,https://az333959.vo.msecnd.net/images-0/still-life-with-fruit-nuts-and-cheese-floris-van-dyck-1613-420a224f.jpg
b'Christ crowned with thorns',b'Maarten van Heemskerck',b'thorns',b'NL',https://az334034.vo.msecnd.net/images-1/christ-crowned-with-thorns-maarten-van-heemskerck-e9904fce.jpg
b'Venus and Cupid',b'Roeloff van Zijl',b'Cupid',,https://az333959.vo.msecnd.net/images-8/venus-and-cupid-roeloff-van-zijl-b562a49f.jpg
b"Regents of the Children's Orphanage in Haarlem",b'Jan de Bray',b'1663',b'NL',https://az334034.vo.msecnd.net/images-0/regents-of-the-children-s-orphanage-in-haarlem-jan-de-bray-1663-76fb48a6.jpg
b'Soldiers plundering a Village',b'Pieter de Molijn',b'Village',,https://az333960.vo.msecnd.net/images-5/soldiers-plundering-a-village-pieter-de-molijn-5c5adb12.jpg
b'Triptych with Ecce Homo',b'Maarten van Heemskerck',b'Homo',b'NL',https://az333960.vo.msecnd.net/images-7/triptych-with-ecce-homo-maarten-van-heemskerck-09ce90ba.jpg
b'Stag Hunting in the Dunes',b'Gerrit Claesz Bleker',b'Dunes',,https://az333960.vo.msecnd.net/images-1/stag-hunting-in-the-dunes-gerrit-claesz-bleker-93790698.jpg
b'Landscape with the Good Samaritan',b'Maarten van Heemskerck',b'1550',b'NL',https://az334034.vo.msecnd.net/images-3/landscape-with-the-good-samaritan-maarten-van-heemskerck-1550-33069648.jpg
b'The Banquet of the St Adrian Militia Company in 1610',b'Frans Pietersz de Grebber',b'1610',,https://az333959.vo.msecnd.net/images-1/the-banquet-of-the-st-adrian-militia-company-in-1610-frans-pietersz-de-grebber-1610-51d12d4d.jpg
b'The pancake maker',b'Jan Miense Molenaer',b'maker',b'NL',https://az334033.vo.msecnd.net/images-9/the-pancake-maker-jan-miense-molenaer-f960ce0b.jpg
b'Juda and Tamar',b'Cornelis van Haarlem',b'Tamar',,https://az333959.vo.msecnd.net/images-0/juda-and-tamar-cornelis-van-haarlem-6709380e.jpg
b'Interior of the St. Pieterskerk in Utrecht',b'Pieter Jansz. Saenredam',b'1654',b'NL',https://az334034.vo.msecnd.net/images-4/interior-of-the-st-pieterskerk-in-utrecht-pieter-jansz-saenredam-1654-57a404eb.jpg
b"Drapers' altarpiece: outside doors with the Annunciation",b'Maarten van Heemskerck',b'Annunciation',b'NL',https://az333959.vo.msecnd.net/images-2/drapers-altarpiece-outside-doors-with-the-annunciation-maarten-van-heemskerck-e66db9ea.jpg
|b'Interior of the Nieuwe Kerk, Haarlem'|,b'Pieter Jansz. Saenredam',b'1652',b'NL',https://az334033.vo.msecnd.net/images-3/interior-of-the-nieuwe-kerk-haarlem-pieter-jansz-saenredam-1652-5565d777.jpg
b'The Dance around the Golden Calf',b'Karel van Mander',b'1602',,https://az334033.vo.msecnd.net/images-3/the-dance-around-the-golden-calf-karel-van-mander-1602-783ab0dc.jpg
b"Self-Portrait with the Artist's Family",b'Jan Miense Molenaer',b'Family',b'NL',https://az333960.vo.msecnd.net/images-3/self-portrait-with-the-artist-s-family-jan-miense-molenaer-4b161400.jpg
b'Interior of the St. Bavochurch in Haarlem',b'Job Adriaenszoon Berckheyde',b'Haarlem',,https://az333960.vo.msecnd.net/images-6/interior-of-the-st-bavochurch-in-haarlem-job-adriaenszoon-berckheyde-6354fdd0.jpg
|b'Regentesses of the Leproos-, Pest, and Dolhuis in Haarlem'|,b'Jan de Bray',b'1667',b'NL',https://az333960.vo.msecnd.net/images-5/regentesses-of-the-leproos-pest-and-dolhuis-in-haarlem-jan-de-bray-1667-d31d6c77.jpg
b'The Marriage of Peleus and Thetis',b'Cornelis van Haarlem',b'Thetis',,https://az334034.vo.msecnd.net/images-1/the-marriage-of-peleus-and-thetis-cornelis-van-haarlem-a3ace898.jpg
b'Family Portrait of Braems-Van der Laen with Christ...',b'Jan de Bray',b'1663',b'NL',https://az334033.vo.msecnd.net/images-4/family-portrait-of-braems-van-der-laen-with-christ-blessing-the-children-jan-de-bray-1663-66b962b5.jpg
b'Portrait of Jacobus Zaffius',b'Frans Hals',b'1611',b'NL',https://az334034.vo.msecnd.net/images-5/portrait-of-jacobus-zaffius-frans-hals-1611-db81d627.jpg
b'Groep Portrait of the Jerusalem Pilgrims',b'Jan van Scorel',b'Pilgrims',b'NL',https://az334033.vo.msecnd.net/images-7/groep-portrait-of-the-jerusalem-pilgrims-jan-van-scorel-9c988d37.jpg
b'Festive Company in a Renaissance Room',b'Dirck Hals',b'Room',b'NL',https://az334034.vo.msecnd.net/images-7/festive-company-in-a-renaissance-room-dirck-hals-35b60377.jpg
b'The Arrival at Vlissingen of the Elector Palatinate...',b'Hendrick Cornelisz Vroom',b'1623',,https://az333959.vo.msecnd.net/images-2/the-arrival-at-vlissingen-of-the-elector-palatinate-frederick-v-hendrick-cornelisz-vroom-1623-e212032d.jpg
