Title,Artist,Year,Country,Thumbnail
b"Comtesse d'Haussonville",b'Jean-Auguste-Dominique Ingres',b'1845',b'FR',https://az334034.vo.msecnd.net/images-8/comtesse-d-haussonville-jean-auguste-dominique-ingres-1845-6c0f3070.jpg
b'Harmony in Pink and Grey: Portrait of Lady Meux',b'James Abbott McNeill Whistler',b'Meux',b'US',https://az334033.vo.msecnd.net/images-8/harmony-in-pink-and-grey-portrait-of-lady-meux-james-abbott-mcneill-whistler-376fb526.jpg
b'V\xc3\xa9theuil in Winter',b'Claude Monet',b'1879',b'FR',https://az333960.vo.msecnd.net/images-3/vetheuil-in-winter-claude-monet-b059260c.jpg
b'Portrait of a Man in a Red Cap',b'Titian',b'1515',b'IT',https://az334034.vo.msecnd.net/images-1/portrait-of-a-man-in-a-red-cap-titian-1515-c0839e9e.jpg
b'Mistress and Maid',b'Johannes Vermeer',b'1666',b'NL',https://az333959.vo.msecnd.net/images-6/mistress-and-maid-johannes-vermeer-1666-955e84a0.jpg
b'The Progress of Love: Reverie',b'Jean-Honor\xc3\xa9 Fragonard',b'Reverie',b'FR',https://az334033.vo.msecnd.net/images-2/the-progress-of-love-reverie-jean-honore-fragonard-51f2cf75.jpg
b'The Four Seasons: Summer',b'Fran\xc3\xa7ois Boucher',b'Summer',b'FR',https://az334034.vo.msecnd.net/images-9/the-four-seasons-summer-francois-boucher-0c264182.jpg
b'Miss Mary Edwards',b'William Hogarth',b'Edwards',b'GB',https://az334033.vo.msecnd.net/images-6/miss-mary-edwards-william-hogarth-f2418a79.jpg
b'The Progress of Love: Love Letters',b'Jean-Honor\xc3\xa9 Fragonard',b'Letters',b'FR',https://az333960.vo.msecnd.net/images-5/the-progress-of-love-love-letters-jean-honore-fragonard-b264319a.jpg
b'Symphony in Flesh Color and Pink: Portrait of Mrs....',b'James Abbott McNeill Whistler',b'1874',b'US',https://az333960.vo.msecnd.net/images-6/symphony-in-flesh-color-and-pink-james-abbott-mcneill-whistler-ee46c52c.jpg
b'Officer and Laughing Girl',b'Johannes Vermeer',b'1657',b'NL',https://az333959.vo.msecnd.net/images-2/officer-and-laughing-girl-johannes-vermeer-1657-d077af2b.jpg
b'St. Jerome',b'El Greco',b'1600',b'GR',https://az333959.vo.msecnd.net/images-8/st-jerome-el-greco-1609-778aa8cc.jpg
b'Mother and Children',b'Auguste Renoir',b'1874',b'FR',https://az334034.vo.msecnd.net/images-5/mother-and-children-pierre-auguste-renoir-1874-ae489564.jpg
b'Girl Interrupted at her Music',b'Johannes Vermeer',b'1660',b'NL',https://az333960.vo.msecnd.net/images-1/girl-interrupted-at-her-music-johannes-vermeer-1660-6a7f7889.jpg
b'The Education of the Virgin',b'Georges de La Tour',b'Virgin',b'FR',https://az333959.vo.msecnd.net/images-6/the-education-of-the-virgin-georges-de-la-tour-a6ab6c8d.jpg
b'Landscape with a Footbridge',b'Jacob van Ruisdael',b'Footbridge',b'NL',https://az333959.vo.msecnd.net/images-3/landscape-with-a-footbridge-jacob-van-ruisdael-e5213456.jpg
b'Lodovico Capponi',b'Agnolo Bronzino',b'Capponi',b'IT',https://az334033.vo.msecnd.net/images-8/lodovico-capponi-bronzino-e9f0d297.jpg
b'The Harbor of Dieppe',b'Joseph Mallord William Turner',b'1826',b'GB',https://az333959.vo.msecnd.net/images-2/the-harbor-of-dieppe-j-m-w-turner-1826-ecbee1ec.jpg
b'Portrait of Philip IV in Fraga',b'Diego Vel\xc3\xa1zquez',b'1644',b'ES',https://az334033.vo.msecnd.net/images-2/portrait-of-philip-iv-in-fraga-diego-velazquez-1644-f31e1972.jpg
b'Adoration of the Magi',b'Lazzaro Bastiani',b'Magi',b'IT',https://az333960.vo.msecnd.net/images-5/adoration-of-the-magi-lazzaro-bastiani-38193707.jpg
