Title,Artist,Year,Country,Thumbnail
b'Harvest Time',b'Anna Ancher',b'1901',b'DK',https://az334034.vo.msecnd.net/images-7/untitled-anna-ancher-5-9678a4f3.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az333960.vo.msecnd.net/images-7/untitled-laurits-andersen-ring-1-f18a8645.jpg
|b'View of the Cliffs of M\xc3\xb8n, Denmark'|,b'P C Skovgaard',b'Denmark',,https://az333959.vo.msecnd.net/images-7/view-of-the-cliffs-of-mon-denmark-p-c-skovgaard-3a1e9c31.jpg
b'portrait of the painter Niels Peter Holbech',b'Wilhelm Bendz',b'1824',b'DK',https://az333959.vo.msecnd.net/images-5/portrait-of-the-painter-niels-peter-holbech-wilhelm-bendz-1824-bf2916c4.jpg
b'Untitled',b'Kristian Zahrtmann',b'1916',,https://az333959.vo.msecnd.net/images-1/untitled-kristian-zahrtmann-1916-c4986a4f.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az333960.vo.msecnd.net/images-4/untitled-laurits-andersen-ring-16-bd0e6a3f.jpg
b'Untitled',b'Martinus R\xc3\xb8rbye',b'Untitled',b'DK',https://az333959.vo.msecnd.net/images-9/untitled-martinus-rorbye-4-45d93349.jpg
b'View from the British Museum',b'Vilhelm Hammersh\xc3\xb8i',b'Museum',b'DK',https://az333960.vo.msecnd.net/images-2/view-from-the-british-museum-vilhelm-hammershoi-954ec980.jpg
b'View of the Cliffs of M\xc3\xb8n',b'P C Skovgaard',b'1852',,https://az333960.vo.msecnd.net/images-0/view-of-the-cliffs-of-mon-p-c-skovgaard-1852-db59e4d5.jpg
b'A sunny coastal scenery.',b'C A K\xc3\xb8lle',b'1866',,https://az334033.vo.msecnd.net/images-3/a-sunny-coastal-scenery-c-a-kolle-1866-e5603e3a.png
