Title,Artist,Year,Country,Thumbnail
b'Still Life with a Wine Cooler',b'Frans Snyders',b'1610',,https://az334034.vo.msecnd.net/images-2/still-life-with-a-wine-cooler-frans-snyders-1610-5cfbf7c7.jpg
b'Michel Ophovius',b'Peter Paul Rubens',b'1635',b'NL',https://az334033.vo.msecnd.net/images-9/michel-ophovius-peter-paul-rubens-1635-e66dc89f.jpg
b'Exterior View of Buildings',b'Leonardo Coccorante',b'1715',,https://az333960.vo.msecnd.net/images-5/exterior-view-of-buildings-leonardo-coccorante-1715-ffb5fc50.jpg
b'Untitled',b'Ramon Casas i Carb\xc3\xb3',b'Untitled',b'ES',https://az334034.vo.msecnd.net/images-3/untitled-ramon-casas-i-carbo-9-e5882c01.jpg
b'Avenue of Plane Trees',b'Santiago Rusi\xc3\xb1ol',b'1916',b'ES',https://az333959.vo.msecnd.net/images-7/avenue-of-plane-trees-santiago-rusinol-1916-7cb8025f.jpg
b'Dolors',b'Isidre Nonell',b'1910',,https://az334034.vo.msecnd.net/images-7/dolors-isidre-nonell-1910-2d76c615.jpg
b'Cabaret Singer',b'Isidre Nonell',b'1897',,https://az334034.vo.msecnd.net/images-2/cabaret-singer-isidre-nonell-1897-f442dbbc.jpg
b'Landscape',b'Modest Urgell',b'Landscape',b'ES',https://az334034.vo.msecnd.net/images-4/landscape-modest-urgell-1-e23de50f.jpg
b'The Child Virgin Asleep',b'Francisco de Zurbar\xc3\xa1n',b'1627',b'ES',https://az334034.vo.msecnd.net/images-2/the-child-virgin-asleep-francisco-de-zurbaran-1627-8aa21495.jpg
b'The Sermon of St. John the Baptist',b'Lucas Cranach the Elder',b'1538',b'DE',https://az333960.vo.msecnd.net/images-1/the-sermon-of-st-john-the-baptist-lucas-cranach-the-elder-1538-70448c7e.jpg
b'View of the Interior of a Building',b'Leonardo Coccorante',b'1710',,https://az333959.vo.msecnd.net/images-8/view-of-the-interior-of-a-building-leonardo-coccorante-1710-d2d0c428.jpg
b'Untitled',b'Ramon Casas i Carb\xc3\xb3',b'Untitled',b'ES',https://az334033.vo.msecnd.net/images-2/untitled-ramon-casas-i-carbo-11-b541b8ec.jpg
b'Girl in a Field',b'Alberto Pla y Rubio',b'1920',,https://az334033.vo.msecnd.net/images-6/girl-in-a-field-alberto-pla-y-rubio-1920-3458482a.jpg
b'The Arrival at Calvary',b'Jose Echenagus\xc3\xada Errazquin',b'1884',b'ES',https://az333959.vo.msecnd.net/images-1/the-arrival-at-calvary-jose-echenagusia-errazquin-1884-572b76f4.jpg
b'Boats on the Seine',b'Santiago Rusi\xc3\xb1ol',b'1894',b'ES',https://az333960.vo.msecnd.net/images-4/boats-on-the-seine-santiago-rusinol-1894-1ded7f3b.jpg
b'Bishop Jan van Malderen',b'Anthony van Dyck',b'1629',b'NL',https://az333960.vo.msecnd.net/images-2/bishop-jan-van-malderen-anthony-van-dyck-1629-f8a4973b.jpg
b'The Messenger',b'Juan Rizi',b'Messenger',,https://az333960.vo.msecnd.net/images-8/the-messenger-juan-rizi-a7b12d9d.jpg
b'Landscape with Four Trees',b'Johan de Lagoor',b'1650',,https://az334033.vo.msecnd.net/images-5/landscape-with-four-trees-johan-de-lagoor-1650-cbe9b328.jpg
