Title,Artist,Year,Country,Thumbnail
b'Boy with a Basket of Fruit',b'Michelangelo Merisi da Caravaggio',b'1593',b'IT',https://az334034.vo.msecnd.net/images-5/boy-with-a-basket-of-fruit-caravaggio-1593-b793e857.jpg
b'David with the Head of Goliath',b'Michelangelo Merisi da Caravaggio',b'1610',b'IT',https://az333959.vo.msecnd.net/images-4/david-with-the-head-of-goliath-michelangelo-merisi-da-caravaggio-1607-13e03b43.jpg
b'Saint Jerome Writing',b'Michelangelo Merisi da Caravaggio',b'1606',b'IT',https://az333959.vo.msecnd.net/images-5/saint-jerome-writing-caravaggio-1606-db85ed1b.jpg
b'Susanna and the Elders',b'Peter Paul Rubens',b'1607',b'NL',https://az333960.vo.msecnd.net/images-3/susanna-and-the-elders-peter-paul-rubens-1607-101a1467.jpg
b'Pala Baglioni',b'Raphael',b'1507',b'IT',https://az333959.vo.msecnd.net/images-9/pala-baglioni-raphael-1507-5901d6bf.jpg
b'Portrait of Pope Paul V',b'Michelangelo Merisi da Caravaggio',b'1605',b'IT',https://az333960.vo.msecnd.net/images-8/portrait-of-pope-paul-v-caravaggio-1605-584dfc09.jpg
b"An Antique Dealer's Gallery",b'Frans Francken the Younger',b'1615',b'BE',https://az333960.vo.msecnd.net/images-2/an-antique-dealer-s-gallery-frans-francken-the-younger-1615-30c6571b.jpg
b'Untitled',b'Giovanni Bellini',b'1510',b'IT',https://az334034.vo.msecnd.net/images-8/untitled-giovanni-bellini-1510-1-c9749f33.jpg
b'John the Baptist',b'Michelangelo Merisi da Caravaggio',b'1602',b'IT',https://az333960.vo.msecnd.net/images-9/john-the-baptist-caravaggio-1602-5142fabf.jpg
b'Young Woman with Unicorn',b'Raphael',b'1505',b'IT',https://az334034.vo.msecnd.net/images-1/young-woman-with-unicorn-raphael-1505-de41653f.jpg
b'Madonna and Child with St. Anne',b'Michelangelo Merisi da Caravaggio',b'1605',b'IT',https://az333960.vo.msecnd.net/images-9/madonna-and-child-with-st-anne-caravaggio-1605-db6857c1.jpg
b'Young Sick Bacchus',b'Michelangelo Merisi da Caravaggio',b'1593',b'IT',https://az334034.vo.msecnd.net/images-2/young-sick-bacchus-caravaggio-1593-c00e0a99.jpg
b'Dana\xc3\xab',b'Antonio da Correggio',b'1531',b'IT',https://az334033.vo.msecnd.net/images-4/danae-antonio-da-correggio-1531-f07189c8.jpg
b'The Deposition',b'Raphael',b'1507',b'IT',https://az334033.vo.msecnd.net/images-9/the-deposition-raphael-1507-c7bc0ecb.jpg
b'Leda and the Swan',b'Anonymous',b'1510',,https://az333959.vo.msecnd.net/images-5/leda-and-the-swan-anonymous-1510-ed66be60.jpg
b'Saint John the Baptist',b'Michelangelo Merisi da Caravaggio',b'1610',b'IT',https://az333959.vo.msecnd.net/images-0/saint-john-the-baptist-caravaggio-1610-b1e13601.jpg
b'Portrait of a Gentleman',b'Lorenzo Lotto',b'1535',b'IT',https://az334034.vo.msecnd.net/images-5/portrait-of-a-gentleman-lorenzo-lotto-1535-2391ff22.jpg
b'Diana and her Nymphs',b'Domenichino',b'Nymphs',b'IT',https://az334034.vo.msecnd.net/images-9/diana-and-her-nymphs-domenichino-a7adba4f.jpg
b'Tobias and the Angel',b'Girolamo Savoldo',b'Angel',,https://az334033.vo.msecnd.net/images-8/tobias-and-the-angel-girolamo-savoldo-3f9bc59c.jpg
b'The Colisseum',b'Canaletto',b'1745',b'IT',https://az334034.vo.msecnd.net/images-8/the-colisseum-canaletto-1745-dee0f08d.jpg
b'St Anthony Preaching to the Fish',b'Paolo Veronese',b'1580',b'IT',https://az334033.vo.msecnd.net/images-6/st-anthony-preaching-to-the-fish-paolo-veronese-1580-4760a75d.jpg
b'The Basilica of Maxentius and the Church of Santa...',b'Canaletto',b'1755',b'IT',https://az334034.vo.msecnd.net/images-7/the-basilica-of-maxentius-and-the-church-of-santa-francesca-romana-canaletto-1755-d5c9267d.jpg
b'Last Supper',b'Jacopo Bassano',b'1546',b'IT',https://az334034.vo.msecnd.net/images-7/last-supper-jacopo-bassano-1546-4da8381c.jpg
b'The Laughing Youth',b'Annibale Carracci',b'1583',b'IT',https://az333960.vo.msecnd.net/images-4/the-laughing-youth-annibale-carracci-1583-6548089a.jpg
b'The Anatomy Lesson',b'Bartolomeo Passarotti',b'1550',,https://az334034.vo.msecnd.net/images-7/the-anatomy-lesson-bartolomeo-passarotti-1550-e0701151.jpg
b'San Domenico (Tiziano)',b'Titian',b'(Tiziano)',b'IT',https://az334034.vo.msecnd.net/images-9/san-domenico-tiziano-titian-85447340.jpg
b'Untitled',b'Sisto Badalocchio',b'1610',,https://az333959.vo.msecnd.net/images-2/untitled-sisto-badalocchio-1610-abecac5d.jpg
b'Portrait of a woman',b'Innocenzo di Pietro Francucci da Imola',b'1600',,https://az333960.vo.msecnd.net/images-0/portrait-of-a-woman-innocenzo-di-pietro-francucci-da-imola-1600-47335561.jpg
b'Adoration of the Child',b'Fra Bartolomeo',b'Child',,https://az334033.vo.msecnd.net/images-5/adoration-of-the-child-fra-bartolomeo-7cc91726.png
b'Portrait of Charles V',b'Bernard van Orley',b'1520',,https://az333960.vo.msecnd.net/images-6/portrait-of-charles-v-bernard-van-orley-1520-f9cd7533.jpg
