Title,Artist,Year,Country,Thumbnail
b'Narcissus',b'Michelangelo Merisi da Caravaggio',b'1597',b'IT',https://az333959.vo.msecnd.net/images-2/narcissus-caravaggio-1597-03bad57d.jpg
b'Saint Francis in Prayer',b'Michelangelo Merisi da Caravaggio',b'1603',b'IT',https://az334033.vo.msecnd.net/images-2/saint-francis-in-prayer-caravaggio-1603-6365fc44.jpg
b'David with Head of Goliath',b'Gian Lorenzo Bernini',b'Goliath',b'IT',https://az334033.vo.msecnd.net/images-0/david-with-head-of-goliath-gian-lorenzo-bernini-fba25095.jpg
b'Saint John the Baptist',b'Michelangelo Merisi da Caravaggio',b'1603',b'IT',https://az333959.vo.msecnd.net/images-0/saint-john-the-baptist-caravaggio-1603-f58fe9dc.jpg
b'A Woman Painting a Man',b'Artemisia Gentileschi',b'Man',b'IT',https://az333960.vo.msecnd.net/images-2/a-woman-painting-a-man-artemisia-gentileschi-32760953.jpg
b'Unequal love',b'Judith Leyster',b'love',b'NL',https://az333959.vo.msecnd.net/images-1/unequal-love-judith-leyster-1dddfb91.jpg
b'Venice: The Piazzeta and San Marco Library',b'Canaletto',b'1741',b'IT',https://az333959.vo.msecnd.net/images-5/venice-the-piazzeta-and-san-marco-library-canaletto-1741-51d102cc.jpg
b'Untitled',b'Berlinghiero Berlinghieri',b'Untitled',,https://az333960.vo.msecnd.net/images-8/untitled-berlinghiero-berlinghieri-3-80e24a6f.jpg
b'Untitled',b'Lorenzo Lotto',b'1524',b'IT',https://az333960.vo.msecnd.net/images-5/untitled-lorenzo-lotto-1524-1-e1667c9b.jpg
b'Saint Cecilia and the Angel',b'Carlo Saraceni',b'1610',b'IT',https://az334034.vo.msecnd.net/images-7/saint-cecilia-and-the-angel-carlo-saraceni-1610-0506bf53.jpg
b'La fornarina',b'Raphael',b'1518',b'IT',https://az333960.vo.msecnd.net/images-8/la-fornarina-raphael-1518-f56212d2.jpg
b'Venus and Adonis',b'Titian',b'1560',b'IT',https://az334034.vo.msecnd.net/images-4/venus-and-adonis-titian-1560-1-a7684587.jpg
b'Et in Arcadia ego',b'Guercino',b'1618',b'IT',https://az333960.vo.msecnd.net/images-9/et-in-arcadia-ego-guercino-1618-7222bf0e.jpg
b'Scenes from the Life of Christ',b'Giovanni da Rimini',b'Christ',,https://az333959.vo.msecnd.net/images-1/scenes-from-the-life-of-christ-giovanni-da-rimini-68922501.jpg
b'Untitled',b'Berlinghiero Berlinghieri',b'Untitled',,https://az334033.vo.msecnd.net/images-6/untitled-berlinghiero-berlinghieri-382f4912.jpg
b'A Friar Tempted by Demons',b'Salvator Rosa',b'1660',b'IT',https://az333959.vo.msecnd.net/images-3/a-friar-tempted-by-demons-salvator-rosa-1660-73e5fa5a.jpg
b'Portrait of Pope Urban VIII',b'Gian Lorenzo Bernini',b'VIII',b'IT',https://az333960.vo.msecnd.net/images-1/portrait-of-pope-urban-viii-gian-lorenzo-bernini-af7c94b2.jpg
b'Untitled',b'Mattia Preti',b'1630',,https://az334034.vo.msecnd.net/images-7/untitled-mattia-preti-1630-1552d407.jpg
b"The Fishmonger's Shop",b'Bartolomeo Passarotti',b'1580',,https://az334033.vo.msecnd.net/images-0/the-fishmonger-s-shop-bartolomeo-passarotti-1580-c9e6a00f.jpg
b'Portrait of a Man',b'Johannes Cornelisz Verspronck',b'1640',,https://az334033.vo.msecnd.net/images-4/portrait-of-a-man-johannes-cornelisz-verspronck-1640-6b039917.jpg
b'Samson and Delilah',b'Matthias Stom',b'1630',b'NL',https://az334034.vo.msecnd.net/images-7/samson-and-delilah-matthias-stom-1630-c75bd33d.jpg
b'Constantine Ordering the Destruction of the Pagan Idols',b'Pietro da Cortona',b'1636',b'IT',https://az334033.vo.msecnd.net/images-9/constantine-ordering-the-destruction-of-the-pagan-idols-pietro-da-cortona-1636-033629b9.jpg
