Title,Artist,Year,Country,Thumbnail
b"Sant'Agostino tra i flagellanti",b'Pinturicchio',b'1500',b'IT',https://az333960.vo.msecnd.net/images-5/untitled-pinturicchio-1500-ee35341c.jpg
b'Untitled',b'Pietro Perugino',b'1473',b'IT',https://az333959.vo.msecnd.net/images-5/untitled-pietro-perugino-1473-ee323396.jpg
b'Polyptych of Perugia',b'Piero della Francesca',b'1469',b'IT',https://az334033.vo.msecnd.net/images-8/polyptych-of-perugia-piero-della-francesca-1469-b0539d95.jpg
b'Untitled',b'Pietro Perugino',b'1513',b'IT',https://az334033.vo.msecnd.net/images-8/untitled-pietro-perugino-1513-f08d3d11.jpg
b'Adoration of the Magi',b'Pietro Perugino',b'1470',b'IT',https://az334034.vo.msecnd.net/images-0/adoration-of-the-magi-pietro-perugino-1470-8ce39e88.jpg
b'Saint Bernard',b'Pietro Perugino',b'1473',b'IT',https://az334033.vo.msecnd.net/images-5/saint-bernard-pietro-perugino-1473-5d3b8a6d.jpg
b'Untitled',b'Pinturicchio',b'1496',b'IT',https://az334033.vo.msecnd.net/images-2/untitled-pinturicchio-1496-3c5e87d5.jpg
b'Untitled',b'Pietro Perugino',b'1515',b'IT',https://az334033.vo.msecnd.net/images-0/untitled-pietro-perugino-1515-9e687419.jpg
b'Untitled',b'Pietro Perugino',b'1502',b'IT',https://az334033.vo.msecnd.net/images-6/untitled-pietro-perugino-1502-26c37bd2.jpg
b'Madonna with Child',b'Gentile da Fabriano',b'1405',b'IT',https://az334034.vo.msecnd.net/images-0/untitled-gentile-da-fabriano-1405-c72cb055.jpg
b'Madonna with Child and six Angels',b'Duccio di Buoninsegna',b'Angels',,https://az334034.vo.msecnd.net/images-4/madonna-with-child-and-six-angels-duccio-di-buoninsegna-a347bcf3.jpg
b'Perugia Altarpiece',b'Fra Angelico',b'1438',b'IT',https://az334034.vo.msecnd.net/images-1/perugia-altarpiece-fra-angelico-1438-263ba90a.jpg
b'Untitled',b'Pietro Perugino',b'1502',b'IT',https://az334033.vo.msecnd.net/images-2/untitled-pietro-perugino-1502-2-ffdacc80.jpg
b'Pala della Trasfigurazione',b'Pietro Perugino',b'1517',b'IT',https://az334033.vo.msecnd.net/images-4/pala-della-trasfigurazione-pietro-perugino-1517-fd879a16.jpg
b'Gonfalon with the Piet\xc3\xa0',b'Pietro Perugino',b'1472',b'IT',https://az334033.vo.msecnd.net/images-1/gonfalon-with-the-pieta-pietro-perugino-1472-31948077.jpg
b'Untitled',b'Piero della Francesca',b'1469',b'IT',https://az334034.vo.msecnd.net/images-3/untitled-piero-della-francesca-1469-1a45c36a.jpg
b'Untitled',b'Pietro Perugino',b'1496',b'IT',https://az334034.vo.msecnd.net/images-1/untitled-pietro-perugino-1496-5a6d5be4.jpg
b'Untitled',b'Pietro Perugino',b'1502',b'IT',https://az333959.vo.msecnd.net/images-1/untitled-pietro-perugino-1502-1-c8ce94a6.jpg
